ik,level5,level1_description,level2_description,level3_description,IK14
XAUDJQYHKZQPEU-KVQBGUIXSA-N,L01BC08,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,XAUDJQYHKZQPEU
FBPFZTCFMRRESA-KVTDHHQDSA-N,B05CX04,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,IRRIGATING SOLUTIONS,FBPFZTCFMRRESA
GMRQFYUYWCNGIN-NKMMMXOESA-N,A11CC04,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",GMRQFYUYWCNGIN
MSYKRHVOOPPJKU-BDAKNGLRSA-N,N03AX23,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,MSYKRHVOOPPJKU
HEFNNWSXXWATRW-UHFFFAOYSA-N,G02CC01,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS,HEFNNWSXXWATRW
TZRHLKRLEZJVIJ-UHFFFAOYSA-N,M01AH04,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",TZRHLKRLEZJVIJ
GGXKWVWZWMLJEH-UHFFFAOYSA-N,J05AB09,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,GGXKWVWZWMLJEH
WOFMFGQZHJDGCX-ZULDAHANSA-N,D07AC13,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",WOFMFGQZHJDGCX
GNXFOGHNGIVQEH-UHFFFAOYSA-N,M03BA53,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",GNXFOGHNGIVQEH
HTQMVQVXFRQIKW-UHFFFAOYSA-N,C09CA06,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",HTQMVQVXFRQIKW
PRMWGUBFXWROHD-UHFFFAOYSA-N,N03AX22,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,PRMWGUBFXWROHD
WMDSZGFJQKSLLH-RBBKRZOGSA-N,C07AB14,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,WMDSZGFJQKSLLH
CGIGDMFJXJATDK-UHFFFAOYSA-N,C01EB03,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,CGIGDMFJXJATDK
OROGSEYTTFOCAN-DNJOTXNNSA-N,N02AA59,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,OROGSEYTTFOCAN
NOZIJMHMKORZBA-KJCUYJGMSA-N,B02BX07,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,NOZIJMHMKORZBA
GFNANZIMVAIWHM-OBYCQNJPSA-N,H02AB08,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",GFNANZIMVAIWHM
GFNANZIMVAIWHM-OBYCQNJPSA-N,R03BA06,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",GFNANZIMVAIWHM
SHGAZHPCJJPHSC-XFYACQKRSA-N,D10BA01,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,SHGAZHPCJJPHSC
DTGLZDAWLRGWQN-UHFFFAOYSA-N,B01AC22,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,DTGLZDAWLRGWQN
WPVFJKSGQUFQAP-GKAPJAKFSA-N,J05AB14,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,WPVFJKSGQUFQAP
VLCYCQAOQCDTCN-UHFFFAOYSA-N,D11AX16,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,VLCYCQAOQCDTCN
PTOAARAWEBMLNO-KVQBGUIXSA-N,L01BB04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,PTOAARAWEBMLNO
KGFYHTZWPPHNLQ-AWEZNQCLSA-N,B01AF01,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,KGFYHTZWPPHNLQ
UZHSEJADLWPNLE-GRGSLBFTSA-N,A06AH04,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,UZHSEJADLWPNLE
YQEZLKZALYSWHR-UHFFFAOYSA-N,N01AX03,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",YQEZLKZALYSWHR
XXSMGPRMXLTPCZ-UHFFFAOYSA-N,P01BA02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,XXSMGPRMXLTPCZ
WEAJZXNPAWBCOA-INIZCTEOSA-N,G04BE10,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,WEAJZXNPAWBCOA
KUVIULQEHSCUHY-XYWKZLDCSA-N,R03BA01,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",KUVIULQEHSCUHY
ZCVMWBYGMWKGHF-UHFFFAOYSA-N,R06AX17,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,ZCVMWBYGMWKGHF
KWGRBVOPPLSCSI-WCBMZHEXSA-N,R01BA52,RESPIRATORY SYSTEM,NASAL PREPARATIONS,NASAL DECONGESTANTS FOR SYSTEMIC USE,KWGRBVOPPLSCSI
UJLAWZDWDVHWOW-YPMHNXCESA-N,L04AF01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,UJLAWZDWDVHWOW
XYLJNLCSTIOKRM-UHFFFAOYSA-N,S01GA07,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,XYLJNLCSTIOKRM
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,D04AA32,DERMATOLOGICALS,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",ZZVUWRFHKOJYTH
JUZNIMUFDBIJCM-ANEDZVCMSA-N,J01DH03,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,JUZNIMUFDBIJCM
PHXJVRSECIGDHY-UHFFFAOYSA-N,L01EA05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,PHXJVRSECIGDHY
CXOXHMZGEKVPMT-UHFFFAOYSA-N,N05BA09,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,CXOXHMZGEKVPMT
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,L01EA02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,ZBNZXTGUTAYRHI
XEYBRNLFEZDVAW-ARSRFYASSA-N,G02AD02,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,UTEROTONICS,XEYBRNLFEZDVAW
SIFNOOUKXBRGGB-AREMUKBSSA-N,L02BA04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,SIFNOOUKXBRGGB
GBLBJPZSROAGMF-RWYJCYHVSA-N,L01EX23,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,GBLBJPZSROAGMF
GPRBEKHLDVQUJE-QSWIMTSFSA-N,J01DD01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,GPRBEKHLDVQUJE
DKNWSYNQZKUICI-UHFFFAOYSA-N,N04BB01,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,DKNWSYNQZKUICI
WGFOBBZOWHGYQH-MXHNKVEKSA-N,A06AX03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,WGFOBBZOWHGYQH
SNICXCGAKADSCV-JTQLQIEISA-N,N07BA01,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,SNICXCGAKADSCV
JGCMEBMXRHSZKX-UHFFFAOYSA-N,C02KX04,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,JGCMEBMXRHSZKX
KPQZUUQMTUIKBP-UHFFFAOYSA-N,P01AB07,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,KPQZUUQMTUIKBP
YXSLJKQTIDHPOT-LJCJQEJUSA-N,M03AC11,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",YXSLJKQTIDHPOT
VUAFHZCUKUDDBC-BYPYZUCNSA-N,M01CC02,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,SPECIFIC ANTIRHEUMATIC AGENTS,VUAFHZCUKUDDBC
FBPFZTCFMRRESA-JGWLITMVSA-N,V04CC01,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,FBPFZTCFMRRESA
DUGOZIWVEXMGBE-CHWSQXEVSA-N,N06BA11,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",DUGOZIWVEXMGBE
XNKCCCKFOQNXKV-ZRSCBOBOSA-N,A06AH03,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,XNKCCCKFOQNXKV
VHRSUDSXCMQTMA-PJHHCJLFSA-N,H02BX01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",VHRSUDSXCMQTMA
DCOPUUMXTXDBNB-UHFFFAOYSA-N,M01AB55,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",DCOPUUMXTXDBNB
DCOPUUMXTXDBNB-UHFFFAOYSA-N,S01BC03,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,DCOPUUMXTXDBNB
YWXYYJSYQOXTPL-SLPGGIOYSA-N,C01DA14,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,YWXYYJSYQOXTPL
RONZAEMNMFQXRA-UHFFFAOYSA-N,N06AX11,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,RONZAEMNMFQXRA
