ik,level5,level1_description,level2_description,level3_description,IK14
PURKAOJPTOLRMP-UHFFFAOYSA-N,R07AX02,RESPIRATORY SYSTEM,OTHER RESPIRATORY SYSTEM PRODUCTS,OTHER RESPIRATORY SYSTEM PRODUCTS,PURKAOJPTOLRMP
XDAOLTSRNUSPPH-XMMPIXPASA-N,J04AK06,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,XDAOLTSRNUSPPH
WIKYUJGCLQQFNW-UHFFFAOYSA-N,N05AB04,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,WIKYUJGCLQQFNW
WHXMKTBCFHIYNQ-SECBINFHSA-N,C01CX08,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,WHXMKTBCFHIYNQ
OUJTZYPIHDYQMC-LJQANCHMSA-N,C02KX02,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,OUJTZYPIHDYQMC
YBBLVLTVTVSKRW-UHFFFAOYSA-N,L02BG03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,YBBLVLTVTVSKRW
RKUNBYITZUJHSG-SPUOUPEWSA-N,A03BA01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"BELLADONNA AND DERIVATIVES, PLAIN",RKUNBYITZUJHSG
KORNTPPJEAJQIU-KJXAQDMKSA-N,G02CB03,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS,KORNTPPJEAJQIU
UEJJHQNACJXSKW-UHFFFAOYSA-N,L04AX02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,UEJJHQNACJXSKW
FEBLZLNTKCEFIT-VSXGLTOVSA-N,S02BA08,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,FEBLZLNTKCEFIT
MKPLKVHSHYCHOC-AHTXBMBWSA-N,S01EE04,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,MKPLKVHSHYCHOC
SGDBTWWWUNNDEQ-LBPRGKRZSA-N,L01AA03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,SGDBTWWWUNNDEQ
MVFGUOIZUNYYSO-UHFFFAOYSA-N,N01BB04,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",MVFGUOIZUNYYSO
MVFGUOIZUNYYSO-UHFFFAOYSA-N,N01BB54,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",MVFGUOIZUNYYSO
VDJHFHXMUKFKET-WDUFCVPESA-N,D06BX02,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,CHEMOTHERAPEUTICS FOR TOPICAL USE,VDJHFHXMUKFKET
LCQLHJZYVOQKHU-VKHMYHEASA-N,A16AA05,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,LCQLHJZYVOQKHU
LUMKNAVTFCDUIE-VHXPQNKSSA-N,G03XC05,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,LUMKNAVTFCDUIE
HVFLCNVBZFFHBT-ZKDACBOMSA-N,J01DE01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,HVFLCNVBZFFHBT
GJSURZIOUXUGAL-UHFFFAOYSA-N,C02AC01,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",GJSURZIOUXUGAL
FABPRXSRWADJSP-MEDUHNTESA-N,J01MA14,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,FABPRXSRWADJSP
FABPRXSRWADJSP-MEDUHNTESA-N,S01AE07,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,FABPRXSRWADJSP
WDZCUPBHRAEYDL-GZAUEHORSA-N,J04AB05,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,WDZCUPBHRAEYDL
KHOITXIGCFIULA-UHFFFAOYSA-N,A06AB02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,KHOITXIGCFIULA
OVBPIULPVIDEAO-LBPRGKRZSA-N,V04CX02,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,OVBPIULPVIDEAO
FBPFZTCFMRRESA-KVTDHHQDSA-N,B05BC01,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTIONS,FBPFZTCFMRRESA
OUBCNLGXQFSTLU-UHFFFAOYSA-N,A16AX04,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OUBCNLGXQFSTLU
HYIMSNHJOBLJNT-UHFFFAOYSA-N,C08CA05,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,HYIMSNHJOBLJNT
WOFMFGQZHJDGCX-ZULDAHANSA-N,D07XC03,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS",WOFMFGQZHJDGCX
PJMPHNIQZUBGLI-UHFFFAOYSA-N,N02AB03,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,PJMPHNIQZUBGLI
FIHJKUPKCHIPAT-AHIGJZGOSA-N,P01BE03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,FIHJKUPKCHIPAT
MLDQJTXFUGDVEO-UHFFFAOYSA-N,L01EX02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,MLDQJTXFUGDVEO
RHWKPHLQXYSBKR-BMIGLBTASA-N,J05AJ03,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,RHWKPHLQXYSBKR
SHGAZHPCJJPHSC-ZVCIMWCZSA-N,D11AH04,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,SHGAZHPCJJPHSC
GFNANZIMVAIWHM-OBYCQNJPSA-N,R01AD11,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,GFNANZIMVAIWHM
GXJABQQUPOEUTA-RDJZCZTQSA-N,L01XG01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,GXJABQQUPOEUTA
LTMHDMANZUZIPE-PUGKRICDSA-N,C01AA05,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,LTMHDMANZUZIPE
XFCLJVABOIYOMF-QPLCGJKRSA-N,L02BA02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,XFCLJVABOIYOMF
PWWVAXIEGOYWEE-UHFFFAOYSA-N,R06AD52,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,PWWVAXIEGOYWEE
MBUVEWMHONZEQD-UHFFFAOYSA-N,R01AC03,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,MBUVEWMHONZEQD
OLNTVTPDXPETLC-XPWALMASSA-N,C10AX09,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",OLNTVTPDXPETLC
UAHFGYDRQSXQEB-LEBBXHLNSA-N,D02BB02,DERMATOLOGICALS,EMOLLIENTS AND PROTECTIVES,PROTECTIVES AGAINST UV-RADIATION,UAHFGYDRQSXQEB
KTEIFNKAUNYNJU-GFCCVEGCSA-N,L01ED01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,KTEIFNKAUNYNJU
MLYYVTUWGNIJIB-BXKDBHETSA-N,J01DB04,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,MLYYVTUWGNIJIB
OIPILFWXSMYKGL-UHFFFAOYSA-N,S01EB09,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,OIPILFWXSMYKGL
RWTNPBWLLIMQHL-UHFFFAOYSA-N,R06AX26,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RWTNPBWLLIMQHL
UOZODPSAJZTQNH-LSWIJEOBSA-N,A07AA06,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,UOZODPSAJZTQNH
FBOUYBDGKBSUES-VXKWHMMOSA-N,G04BD08,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,FBOUYBDGKBSUES
UCTWMZQNUQWSLP-VIFPVBQESA-N,R03AA01,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",UCTWMZQNUQWSLP
UCTWMZQNUQWSLP-VIFPVBQESA-N,S01EA51,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,UCTWMZQNUQWSLP
QWCRAEMEVRGPNT-UHFFFAOYSA-N,N05BE01,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,QWCRAEMEVRGPNT
XYLJNLCSTIOKRM-UHFFFAOYSA-N,S01EA05,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,XYLJNLCSTIOKRM
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,R06AA52,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,ZZVUWRFHKOJYTH
JURKNVYFZMSNLP-UHFFFAOYSA-N,M03BX08,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",JURKNVYFZMSNLP
OIGNJSKKLXVSLS-VWUMJDOOSA-N,S02BA03,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,OIGNJSKKLXVSLS
IPVQLZZIHOAWMC-QXKUPLGCSA-N,C09AA04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN",IPVQLZZIHOAWMC
NBGABHGMJVIVBW-QHCPKHFHSA-N,N05CJ03,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,NBGABHGMJVIVBW
SONNWYBIRXJNDC-VIFPVBQESA-N,R01AA04,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,SONNWYBIRXJNDC
MFWNKCLOYSRHCJ-UHFFFAOYSA-N,A04AA02,ALIMENTARY TRACT AND METABOLISM,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,MFWNKCLOYSRHCJ
WVLOADHCBXTIJK-YNHQPCIGSA-N,N02AA03,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,WVLOADHCBXTIJK
FBOZXECLQNJBKD-ZDUSSCGKSA-N,L04AX03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,FBOZXECLQNJBKD
NZWOPGCLSHLLPA-UHFFFAOYSA-N,V04CX03,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,NZWOPGCLSHLLPA
KKZJGLLVHKMTCM-UHFFFAOYSA-N,L01DB07,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,KKZJGLLVHKMTCM
GZSOSUNBTXMUFQ-YFAPSIMESA-N,C05CA53,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,GZSOSUNBTXMUFQ
FBPFZTCFMRRESA-JGWLITMVSA-N,B05CX02,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,IRRIGATING SOLUTIONS,FBPFZTCFMRRESA
JYGXADMDTFJGBT-VWUMJDOOSA-N,A07EA02,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,JYGXADMDTFJGBT
JYGXADMDTFJGBT-VWUMJDOOSA-N,S01CB03,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,JYGXADMDTFJGBT
RJMUSRYZPJIFPJ-UHFFFAOYSA-N,P02DA01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTICESTODALS,RJMUSRYZPJIFPJ
HBOMLICNUCNMMY-XLPZGREQSA-N,J05AF01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,HBOMLICNUCNMMY
UREBDLICKHMUKA-DVTGEIKXSA-N,D07AC01,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",UREBDLICKHMUKA
ZIAOVIPSKUPPQW-UHFFFAOYSA-N,J05AG06,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,ZIAOVIPSKUPPQW
AHJRHEGDXFFMBM-UHFFFAOYSA-N,L01EF01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,AHJRHEGDXFFMBM
JAUOIFJMECXRGI-UHFFFAOYSA-N,R06AX27,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,JAUOIFJMECXRGI
XJGVXQDUIWGIRW-UHFFFAOYSA-N,N05AH01,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,XJGVXQDUIWGIRW
LHHCSNFAOIFYRV-DOVBMPENSA-N,J05AP03,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,LHHCSNFAOIFYRV
FDLYAMZZIXQODN-UHFFFAOYSA-N,L01XK01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,FDLYAMZZIXQODN
USZAGAREISWJDP-UHFFFAOYSA-N,D11AH06,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,USZAGAREISWJDP
XRVDGNKRPOAQTN-FQEVSTJZSA-N,L04AE02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,XRVDGNKRPOAQTN
DKYWVDODHFEZIM-UHFFFAOYSA-N,M01AE53,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",DKYWVDODHFEZIM
BQJCRHHNABKAKU-KBQPJGBKSA-N,N02AA51,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,BQJCRHHNABKAKU
GBBSUAFBMRNDJC-UHFFFAOYSA-N,N05CF01,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,GBBSUAFBMRNDJC
TVYLLZQTGLZFBW-UHFFFAOYSA-N,N02AX02,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,TVYLLZQTGLZFBW
MIWWSGDADVMLTG-UHFFFAOYSA-N,P01CA03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,MIWWSGDADVMLTG
QIVUCLWGARAQIO-OLIXTKCUSA-N,N02CD07,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,QIVUCLWGARAQIO
JDUBGYFRJFOXQC-KRWDZBQOSA-N,L01EX27,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,JDUBGYFRJFOXQC
HCDMJFOHIXMBOV-UHFFFAOYSA-N,L01EN02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,HCDMJFOHIXMBOV
DEVSOMFAQLZNKR-RJRFIUFISA-N,L01XX66,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,DEVSOMFAQLZNKR
YQEZLKZALYSWHR-ZDUSSCGKSA-N,N06AX27,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,YQEZLKZALYSWHR
DHMTURDWPRKSOA-RUZDIDTESA-N,A16AX20,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,DHMTURDWPRKSOA
RIJLVEAXPNLDTC-UHFFFAOYSA-N,L04AF04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,RIJLVEAXPNLDTC
XUZMWHLSFXCVMG-UHFFFAOYSA-N,L04AF02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,XUZMWHLSFXCVMG
HLWURFKMDLAKOD-UHFFFAOYSA-N,R05DB29,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",HLWURFKMDLAKOD
XAYGBKHKBBXDAK-UHFFFAOYSA-N,B06AX04,BLOOD AND BLOOD FORMING ORGANS,OTHER HEMATOLOGICAL AGENTS,OTHER HEMATOLOGICAL AGENTS,XAYGBKHKBBXDAK
PHWXUGHIIBDVKD-UHFFFAOYSA-N,C02KX03,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,PHWXUGHIIBDVKD
KGPGQDLTDHGEGT-SZUNQUCBSA-N,J01XA04,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,KGPGQDLTDHGEGT
RMRJXGBAOAMLHD-CTAPUXPBSA-N,N07BC51,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,RMRJXGBAOAMLHD
WYWIFABBXFUGLM-UHFFFAOYSA-N,D11AX27,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,WYWIFABBXFUGLM
WYWIFABBXFUGLM-UHFFFAOYSA-N,R01AA05,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,WYWIFABBXFUGLM
ISWRGOKTTBVCFA-UHFFFAOYSA-N,L04AX05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ISWRGOKTTBVCFA
GMVPRGQOIOIIMI-DWKJAMRDSA-N,C01EA01,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,GMVPRGQOIOIIMI
KPWSJANDNDDRMB-QAQDUYKDSA-N,N05AX15,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,KPWSJANDNDDRMB
DBEPLOCGEIEOCV-WSBQPABSSA-N,G04CB01,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,DBEPLOCGEIEOCV
TYZROVQLWOKYKF-ZDUSSCGKSA-N,J01XX08,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,TYZROVQLWOKYKF
RZEKVGVHFLEQIL-UHFFFAOYSA-N,M01AH01,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",RZEKVGVHFLEQIL
VOVIALXJUBGFJZ-KWVAZRHASA-N,R03BA02,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",VOVIALXJUBGFJZ
XMAYWYJOQHXEEK-UHFFFAOYSA-N,D01AC08,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,XMAYWYJOQHXEEK
YQNWZWMKLDQSAC-UHFFFAOYSA-N,N06AX26,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,YQNWZWMKLDQSAC
DOMXUEMWDBAQBQ-WEVVVXLNSA-N,D01BA02,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR SYSTEMIC USE,DOMXUEMWDBAQBQ
FEBLZLNTKCEFIT-VSXGLTOVSA-N,D07AC04,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",FEBLZLNTKCEFIT
GYHCTFXIZSNGJT-UHFFFAOYSA-N,C03XA01,CARDIOVASCULAR SYSTEM,DIURETICS,OTHER DIURETICS,GYHCTFXIZSNGJT
QXWZQTURMXZVHJ-UHFFFAOYSA-N,B01AC27,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,QXWZQTURMXZVHJ
ZDXPYRJPNDTMRX-VKHMYHEASA-N,A16AA03,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,ZDXPYRJPNDTMRX
NIJJYAXOARWZEE-UHFFFAOYSA-N,N03AG01,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,NIJJYAXOARWZEE
KOHIRBRYDXPAMZ-UHFFFAOYSA-N,C07AB12,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,KOHIRBRYDXPAMZ
VAOCPAMSLUNLGC-UHFFFAOYSA-N,P01AB51,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,VAOCPAMSLUNLGC
FBHSPRKOSMHSIF-GRMWVWQJSA-N,H02AB13,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",FBHSPRKOSMHSIF
HEFNNWSXXWATRW-UHFFFAOYSA-N,M01AE51,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",HEFNNWSXXWATRW
MNJVRJDLRVPLFE-UHFFFAOYSA-N,M01AH05,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",MNJVRJDLRVPLFE
GNXFOGHNGIVQEH-UHFFFAOYSA-N,M03BA03,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",GNXFOGHNGIVQEH
GNXFOGHNGIVQEH-UHFFFAOYSA-N,M03BA73,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",GNXFOGHNGIVQEH
SYTBZMRGLBWNTM-UHFFFAOYSA-N,M02AA19,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,SYTBZMRGLBWNTM
PJMPHNIQZUBGLI-UHFFFAOYSA-N,N01AH01,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",PJMPHNIQZUBGLI
UVSMNLNDYGZFPF-UHFFFAOYSA-N,L04AX06,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,UVSMNLNDYGZFPF
ZCCUWMICIWSJIX-NQJJCJBVSA-N,J01DI02,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,ZCCUWMICIWSJIX
LOUPRKONTZGTKE-LHHVKLHASA-N,C01BA01,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III",LOUPRKONTZGTKE
CGIGDMFJXJATDK-UHFFFAOYSA-N,M02AA23,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,CGIGDMFJXJATDK
