ik14,target_gene,action_type,mechanism_of_action
TYZROVQLWOKYKF,rplX,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplY,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmA,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmB,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmC,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplB,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmD,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,ykgM,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmE,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmF,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmG,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmH,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmI,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,ykgO,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rpmJ,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplC,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplE,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplF,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplL,INHIBITOR,Bacterial 70S ribosome inhibitor
DMJNNHOOLUXYBV,dacB,INHIBITOR,Bacterial penicillin-binding protein inhibitor
DMJNNHOOLUXYBV,ftsI,INHIBITOR,Bacterial penicillin-binding protein inhibitor
DMJNNHOOLUXYBV,mrcA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
DMJNNHOOLUXYBV,mrcB,INHIBITOR,Bacterial penicillin-binding protein inhibitor
DMJNNHOOLUXYBV,dacA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
DMJNNHOOLUXYBV,mrdA,INHIBITOR,Bacterial penicillin-binding protein inhibitor
DMJNNHOOLUXYBV,dacC,INHIBITOR,Bacterial penicillin-binding protein inhibitor
NNYBQONXHNTVIJ,PTGS2,INHIBITOR,Cyclooxygenase-2 inhibitor
KQKPFRSPSRPDEB,HTR1B,AGONIST,Serotonin 1b (5-HT1b) receptor agonist
KQKPFRSPSRPDEB,HTR1D,AGONIST,Serotonin 1d (5-HT1d) receptor agonist
UREBDLICKHMUKA,NR3C1,AGONIST,Glucocorticoid receptor agonist
XOFYZVNMUHMLCC,NR3C1,AGONIST,Glucocorticoid receptor agonist
XSVMFMHYUFZWBK,BCHE,INHIBITOR,Cholinesterases; ACHE & BCHE inhibitor
XSVMFMHYUFZWBK,ACHE,INHIBITOR,Cholinesterases; ACHE & BCHE inhibitor
HBOMLICNUCNMMY,pol,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor
OIGNJSKKLXVSLS,NR3C1,AGONIST,Glucocorticoid receptor agonist
VHRSUDSXCMQTMA,NR3C1,AGONIST,Glucocorticoid receptor agonist
GJSURZIOUXUGAL,ADRA2A,AGONIST,Adrenergic receptor alpha-2 agonist
GJSURZIOUXUGAL,ADRA2C,AGONIST,Adrenergic receptor alpha-2 agonist
GJSURZIOUXUGAL,ADRA2B,AGONIST,Adrenergic receptor alpha-2 agonist
RONZAEMNMFQXRA,HTR2A,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist
RONZAEMNMFQXRA,HTR2C,ANTAGONIST,Serotonin 2c (5-HT2c) receptor antagonist
RONZAEMNMFQXRA,ADRA2A,ANTAGONIST,Adrenergic receptor alpha-2 antagonist
RONZAEMNMFQXRA,ADRA2C,ANTAGONIST,Adrenergic receptor alpha-2 antagonist
RONZAEMNMFQXRA,ADRA2B,ANTAGONIST,Adrenergic receptor alpha-2 antagonist
DDLIGBOFAVUZHB,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
DDLIGBOFAVUZHB,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
VOXZDWNPVJITMN,ESR1,AGONIST,Estrogen receptor alpha agonist
YMTINGFKWWXKFG,PPARA,AGONIST,Peroxisome proliferator-activated receptor alpha agonist
UCTWMZQNUQWSLP,ADRA1A,AGONIST,Adrenergic receptor agonist
UCTWMZQNUQWSLP,ADRA2A,AGONIST,Adrenergic receptor agonist
UCTWMZQNUQWSLP,ADRB1,AGONIST,Adrenergic receptor agonist
UCTWMZQNUQWSLP,ADRB2,AGONIST,Adrenergic receptor agonist
UCTWMZQNUQWSLP,ADRA2C,AGONIST,Adrenergic receptor agonist
UCTWMZQNUQWSLP,ADRA1D,AGONIST,Adrenergic receptor agonist
UCTWMZQNUQWSLP,ADRA1B,AGONIST,Adrenergic receptor agonist
UCTWMZQNUQWSLP,ADRA2B,AGONIST,Adrenergic receptor agonist
UCTWMZQNUQWSLP,ADRB3,AGONIST,Adrenergic receptor agonist
NPUKDXXFDDZOKR,GABRA1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRB2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRG2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRB3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRA4,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRG3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRQ,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRA3,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRP,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRD,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRG1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRB1,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRE,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRA2,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRA5,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
NPUKDXXFDDZOKR,GABRA6,POSITIVE MODULATOR,GABA-A receptor; anion channel positive modulator
DCOPUUMXTXDBNB,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
DCOPUUMXTXDBNB,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
GKCBAIGFKIBETG,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
GKCBAIGFKIBETG,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
KPYSYYIEGFHWSV,GABBR1,AGONIST,GABA-B receptor agonist
KPYSYYIEGFHWSV,GABBR2,AGONIST,GABA-B receptor agonist
KBOPZPXVLCULAV,ALOX5,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor
KBOPZPXVLCULAV,PPARG,AGONIST,Peroxisome proliferator-activated receptor gamma agonist
KBOPZPXVLCULAV,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
KBOPZPXVLCULAV,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
SHGAZHPCJJPHSC,RXRB,AGONIST,Retinoid receptor agonist
SHGAZHPCJJPHSC,RXRG,AGONIST,Retinoid receptor agonist
SHGAZHPCJJPHSC,RXRA,AGONIST,Retinoid receptor agonist
UHTHHESEBZOYNR,SRC,INHIBITOR,Tyrosine-protein kinase SRC inhibitor
UHTHHESEBZOYNR,PTK6,INHIBITOR,Tyrosine-protein kinase BRK inhibitor
UHTHHESEBZOYNR,TEK,INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor
UHTHHESEBZOYNR,FLT1,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
UHTHHESEBZOYNR,FLT4,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
UHTHHESEBZOYNR,KDR,INHIBITOR,Vascular endothelial growth factor receptor inhibitor
UHTHHESEBZOYNR,RET,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor
UHTHHESEBZOYNR,EPHA2,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHB2,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHA5,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHA4,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHA8,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHA6,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHA7,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHB3,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHA3,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHB1,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHB4,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHA1,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHB6,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,EPHA10,INHIBITOR,Ephrin receptor inhibitor
UHTHHESEBZOYNR,ERBB2,INHIBITOR,Epidermal growth factor receptor inhibitor
UHTHHESEBZOYNR,EGFR,INHIBITOR,Epidermal growth factor receptor inhibitor
UHTHHESEBZOYNR,ERBB4,INHIBITOR,Epidermal growth factor receptor inhibitor
UHTHHESEBZOYNR,ERBB3,INHIBITOR,Epidermal growth factor receptor inhibitor
DBEPLOCGEIEOCV,SRD5A2,INHIBITOR,Steroid 5-alpha-reductase 2 inhibitor
NFBAXHOPROOJAW,VKORC1,INHIBITOR,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor
JTEGQNOMFQHVDC,pol,INHIBITOR,Human immunodeficiency virus type 1 reverse transcriptase inhibitor
JTEGQNOMFQHVDC,P,INHIBITOR,DNA polymerase/reverse transcriptase inhibitor
NDAUXUAQIAJITI,ADRB2,AGONIST,Beta-2 adrenergic receptor agonist
KVWDHTXUZHCGIO,HTR2A,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist
KVWDHTXUZHCGIO,HTR2C,ANTAGONIST,Serotonin 2c (5-HT2c) receptor antagonist
KVWDHTXUZHCGIO,DRD2,ANTAGONIST,D2-like dopamine receptor antagonist
KVWDHTXUZHCGIO,DRD3,ANTAGONIST,D2-like dopamine receptor antagonist
KVWDHTXUZHCGIO,DRD4,ANTAGONIST,D2-like dopamine receptor antagonist
PSGAAPLEWMOORI,PGR,AGONIST,Progesterone receptor agonist
MINDHVHHQZYEEK,ileS,INHIBITOR,Isoleucyl-tRNA synthetase inhibitor
OGHNVEJMJSYVRP,ADRB1,ANTAGONIST,Adrenergic receptor beta antagonist
OGHNVEJMJSYVRP,ADRB2,ANTAGONIST,Adrenergic receptor beta antagonist
OGHNVEJMJSYVRP,ADRB3,ANTAGONIST,Adrenergic receptor beta antagonist
OGHNVEJMJSYVRP,ADRA1A,ANTAGONIST,Adrenergic receptor alpha-1 antagonist
OGHNVEJMJSYVRP,ADRA1D,ANTAGONIST,Adrenergic receptor alpha-1 antagonist
OGHNVEJMJSYVRP,ADRA1B,ANTAGONIST,Adrenergic receptor alpha-1 antagonist
DSLPMJSGSBLWRE,STS,INHIBITOR,Steryl-sulfatase inhibitor
WIKYUJGCLQQFNW,DRD2,ANTAGONIST,Dopamine D2 receptor antagonist
KJHKTHWMRKYKJE,pol,INHIBITOR,Human immunodeficiency virus type 1 protease inhibitor
SNIOPGDIGTZGOP,GUCY1B1,ACTIVATOR,Soluble guanylate cyclase activator
SNIOPGDIGTZGOP,GUCY1B2,ACTIVATOR,Soluble guanylate cyclase activator
SNIOPGDIGTZGOP,GUCY1A2,ACTIVATOR,Soluble guanylate cyclase activator
SNIOPGDIGTZGOP,GUCY1A1,ACTIVATOR,Soluble guanylate cyclase activator
PYZRQGJRPPTADH,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
PYZRQGJRPPTADH,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
FTALBRSUTCGOEG,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
UBQNRHZMVUUOMG,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
DYDCUQKUCUHJBH,ddl,INHIBITOR,D-alanylalanine synthetase inhibitor
DYDCUQKUCUHJBH,alr,INHIBITOR,Alanine racemase inhibitor
WOXKDUGGOYFFRN,PDE5A,INHIBITOR,Phosphodiesterase 5A inhibitor
OELFLUMRDSZNSF,KCNJ11,BLOCKER,"Sulfonylurea receptor 1, Kir6.2 blocker"
OELFLUMRDSZNSF,ABCC8,BLOCKER,"Sulfonylurea receptor 1, Kir6.2 blocker"
DUGOZIWVEXMGBE,SLC6A3,INHIBITOR,Dopamine transporter inhibitor
DUGOZIWVEXMGBE,SLC6A2,INHIBITOR,Norepinephrine transporter inhibitor
FBOZXECLQNJBKD,DHFR,INHIBITOR,Dihydrofolate reductase inhibitor
RRGUKTPIGVIEKM,PDE3A,INHIBITOR,Phosphodiesterase 3A inhibitor
GHBCIXGRCZIPNQ,AGTR2,ANTAGONIST,Angiotensin II type 2 (AT-2) receptor antagonist
UHDGCWIWMRVCDJ,POLA1,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,POLD4,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,POLD3,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,POLD1,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,POLD2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,POLE,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,POLA2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,PRIM1,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,PRIM2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,POLE2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
UHDGCWIWMRVCDJ,POLE3,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor
MFWNKCLOYSRHCJ,HTR3A,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist
UAHFGYDRQSXQEB,MC1R,AGONIST,Melanocortin receptor 1 agonist
PLHJCIYEEKOWNM,FNTA,INHIBITOR,Protein farnesyltransferase inhibitor
PLHJCIYEEKOWNM,FNTB,INHIBITOR,Protein farnesyltransferase inhibitor
XJGVXQDUIWGIRW,HTR2A,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist
XJGVXQDUIWGIRW,HTR2C,ANTAGONIST,Serotonin 2c (5-HT2c) receptor antagonist
XJGVXQDUIWGIRW,DRD2,ANTAGONIST,D2-like dopamine receptor antagonist
XJGVXQDUIWGIRW,DRD3,ANTAGONIST,D2-like dopamine receptor antagonist
XJGVXQDUIWGIRW,DRD4,ANTAGONIST,D2-like dopamine receptor antagonist
UBPYILGKFZZVDX,ABL1,INHIBITOR,Tyrosine-protein kinase ABL inhibitor
UBPYILGKFZZVDX,SRC,INHIBITOR,Tyrosine-protein kinase SRC inhibitor
UBPYILGKFZZVDX,HCK,INHIBITOR,Tyrosine-protein kinase HCK inhibitor
UBPYILGKFZZVDX,LYN,INHIBITOR,Tyrosine-protein kinase Lyn inhibitor
UVSMNLNDYGZFPF,CRBN,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor
UVSMNLNDYGZFPF,DDB1,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor
UVSMNLNDYGZFPF,CUL4A,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor
UVSMNLNDYGZFPF,RBX1,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor
GMRQFYUYWCNGIN,VDR,AGONIST,Vitamin D receptor agonist
GOTYRUGSSMKFNF,CRBN,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor
GOTYRUGSSMKFNF,DDB1,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor
GOTYRUGSSMKFNF,CUL4A,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor
GOTYRUGSSMKFNF,RBX1,INHIBITOR,CRL4(CRBN) E3 ubiquitin ligase inhibitor
HPNSFSBZBAHARI,IMPDH1,INHIBITOR,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
HPNSFSBZBAHARI,IMPDH2,INHIBITOR,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor
VJJPUSNTGOMMGY,TOP2A,INHIBITOR,DNA topoisomerase II inhibitor
VJJPUSNTGOMMGY,TOP2B,INHIBITOR,DNA topoisomerase II inhibitor
XMAYWYJOQHXEEK,CYP11B1,INHIBITOR,Cytochrome P450 11B1 inhibitor
XMAYWYJOQHXEEK,CYP11B2,INHIBITOR,Cytochrome P450 11B2 inhibitor
XMAYWYJOQHXEEK,CYP17A1,INHIBITOR,Cytochrome P450 17A1 inhibitor
XMAYWYJOQHXEEK,CYP11A1,INHIBITOR,Cytochrome P450 11A1 inhibitor
GYDJEQRTZSCIOI,PLG,INHIBITOR,Plasminogen inhibitor
DBABZHXKTCFAPX,SLC22A6,INHIBITOR,Solute carrier family 22 member 6 inhibitor
DBABZHXKTCFAPX,SLC22A8,INHIBITOR,Solute carrier family 22 member 8 inhibitor
DBABZHXKTCFAPX,SLC22A11,INHIBITOR,Solute carrier family 22 member 11 inhibitor
XUFQPHANEAPEMJ,HRH2,ANTAGONIST,Histamine H2 receptor antagonist
DHMTURDWPRKSOA,FNTA,INHIBITOR,Protein farnesyltransferase inhibitor
DHMTURDWPRKSOA,FNTB,INHIBITOR,Protein farnesyltransferase inhibitor
FJLBFSROUSIWMA,CYP11B1,INHIBITOR,"Cytochrome P450 11B1, mitochondrial inhibitor"
KGSXMPPBFPAXLY,AGTR1,ANTAGONIST,Type-1 angiotensin II receptor antagonist
NCDNCNXCDXHOMX,pol,INHIBITOR,Human immunodeficiency virus type 1 protease inhibitor
NCDNCNXCDXHOMX,CYP3A4,INHIBITOR,Cytochrome P450 3A inhibitor
NCDNCNXCDXHOMX,CYP3A5,INHIBITOR,Cytochrome P450 3A inhibitor
NCDNCNXCDXHOMX,CYP3A43,INHIBITOR,Cytochrome P450 3A inhibitor
NCDNCNXCDXHOMX,CYP3A7,INHIBITOR,Cytochrome P450 3A inhibitor
XGALLCVXEZPNRQ,EGFR,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor
UGJMXCAKCUNAIE,CACNA1H,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA2D1,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1C,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA2D3,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1S,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA2D2,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1D,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1A,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1B,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1G,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA2D4,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1I,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1F,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNA1E,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNB4,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNB2,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNB1,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNB3,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNG7,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNG5,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNG2,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNG4,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNG8,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNG3,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNG6,MODULATOR,Voltage-gated calcium channel modulator
UGJMXCAKCUNAIE,CACNG1,MODULATOR,Voltage-gated calcium channel modulator
VPPJLAIAVCUEMN,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
VPPJLAIAVCUEMN,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
CHNUOJQWGUIOLD,AKR1B1,INHIBITOR,Aldose reductase inhibitor
YKPUWZUDDOIDPM,TRPV1,OPENER,Vanilloid receptor opener
GJPICJJJRGTNOD,EDNRB,ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist"
