ik14,target_gene,action_type,mechanism_of_action
MJIHNNLFOKEZEW,ATP4A,INHIBITOR,Potassium-transporting ATPase inhibitor
MJIHNNLFOKEZEW,ATP4B,INHIBITOR,Potassium-transporting ATPase inhibitor
MNJVRJDLRVPLFE,PTGS2,INHIBITOR,Cyclooxygenase-2 inhibitor
NNJVILVZKWQKPM,SCN1A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN5A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN4A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN7A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN2A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN9A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN3A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN11A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN8A,BLOCKER,Sodium channel alpha subunit blocker
NNJVILVZKWQKPM,SCN10A,BLOCKER,Sodium channel alpha subunit blocker
GZUITABIAKMVPG,ESR1,MODULATOR,Estrogen receptor modulator
HIFJCPQKFCZDDL,PTGIR,AGONIST,Prostanoid IP receptor agonist
RAPZEAPATHNIPO,HTR2A,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist
RAPZEAPATHNIPO,HTR2C,ANTAGONIST,Serotonin 2c (5-HT2c) receptor antagonist
RAPZEAPATHNIPO,DRD2,ANTAGONIST,Dopamine D2 receptor antagonist
RCINICONZNJXQF,TUBB4B,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBB1,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBA3C,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBA4A,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBB3,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBA1A,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBB4A,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBB8,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBB,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBA1B,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBA1C,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBA3E,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBB2A,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBB2B,INHIBITOR,Tubulin inhibitor
RCINICONZNJXQF,TUBB6,INHIBITOR,Tubulin inhibitor
GMVPRGQOIOIIMI,PTGER1,AGONIST,Prostanoid EP1 receptor agonist
GMVPRGQOIOIIMI,PTGER2,AGONIST,Prostanoid EP2 receptor agonist
YJYPHIXNFHFHND,MTNR1A,AGONIST,Melatonin receptor agonist
YJYPHIXNFHFHND,MTNR1B,AGONIST,Melatonin receptor agonist
YJYPHIXNFHFHND,HTR2C,ANTAGONIST,Serotonin 2c (5-HT2c) receptor antagonist
WAEXFXRVDQXREF,HDAC1,INHIBITOR,Histone deacetylase 1 inhibitor
WAEXFXRVDQXREF,HDAC3,INHIBITOR,Histone deacetylase 3 inhibitor
WAEXFXRVDQXREF,HDAC6,INHIBITOR,Histone deacetylase 6 inhibitor
WAEXFXRVDQXREF,HDAC2,INHIBITOR,Histone deacetylase 2 inhibitor
HEFNNWSXXWATRW,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
HEFNNWSXXWATRW,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
OLBCVFGFOZPWHH,GABRA1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRB2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRG2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRB3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRA4,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRG3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRA3,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRP,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRD,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRG1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRB1,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRE,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRA2,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRA5,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
OLBCVFGFOZPWHH,GABRA6,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator
QYSPLQLAKJAUJT,PTGS2,INHIBITOR,Cyclooxygenase inhibitor
QYSPLQLAKJAUJT,PTGS1,INHIBITOR,Cyclooxygenase inhibitor
RJKFOVLPORLFTN,PGR,AGONIST,Progesterone receptor agonist
WINHZLLDWRZWRT,CSF1R,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor
WINHZLLDWRZWRT,KDR,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor
WINHZLLDWRZWRT,KIT,INHIBITOR,Stem cell growth factor receptor inhibitor
WINHZLLDWRZWRT,PDGFRB,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor
WINHZLLDWRZWRT,PDGFRA,INHIBITOR,Platelet-derived growth factor receptor alpha inhibitor
WINHZLLDWRZWRT,FLT1,INHIBITOR,Vascular endothelial growth factor receptor 1 inhibitor
WINHZLLDWRZWRT,FLT4,INHIBITOR,Vascular endothelial growth factor receptor 3 inhibitor
WINHZLLDWRZWRT,FLT3,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor
WINHZLLDWRZWRT,RET,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor
VNFPBHJOKIVQEB,ERG11,INHIBITOR,Cytochrome P450 51 inhibitor
RFHAOTPXVQNOHP,ERG11,INHIBITOR,Cytochrome P450 51 inhibitor
XMXHEBAFVSFQEX,DRD2,ANTAGONIST,Dopamine D2 receptor antagonist
XMXHEBAFVSFQEX,HTR2A,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist
XEYBRNLFEZDVAW,PTGER1,AGONIST,Prostaglandin E2 receptor agonist
XEYBRNLFEZDVAW,PTGER4,AGONIST,Prostaglandin E2 receptor agonist
XEYBRNLFEZDVAW,PTGER2,AGONIST,Prostaglandin E2 receptor agonist
XEYBRNLFEZDVAW,PTGER3,AGONIST,Prostaglandin E2 receptor agonist
IAKHMKGGTNLKSZ,TUBB4B,INHIBITOR,Tubulin inhibitor
