IK14,Disease,depmap_dep_lin,depmap_selectivity,depmap_has
XUZMWHLSFXCVMG,Primary Biliary Cholangitis,0.0,0.0,0
RYYVLZVUVIJVGH,Apnea of Prematurity,0.0,0.0,0
KZSKGLFYQAYZCO,Primary Sclerosing Cholangitis,0.0,0.0,0
DCYBPMFXJCWXNB,"Leukemia, Myeloid, Acute",-0.6968691698344578,0.0483371424231579,1
CUHVIMMYOGQXCV,Rapid Atrial Fibrillation; Heart Rate Control,0.0,0.0,0
VLULRUCCHYVXOH,metastatic colorectal cancer,-0.12486437089016368,0.020813020246898947,1
KTUFNOKKBVMGRW,Loiasis,0.0,0.0,0
KTBSXLIQKWEBRB,Treatment of Graft-Versus-Host Disease,0.0,0.0,0
WHXMKTBCFHIYNQ,Amyotrophic Lateral Sclerosis,0.0,0.0,0
NHTKGYOMICWFQZ,Tract Cancer,0.0,0.0,0
LCFFREMLXLZNHE,Pemphigus,0.0,0.0,0
VUJZFNSWCNSGDV,Nasopharyngeal Carcinoma,0.0,0.0,0
WAEXFXRVDQXREF,Cutaneous T-Cell Lymphoma/Mycosis Fungoides,-1.3167188063375805,-0.09369108925171243,1
ISBHYKVAFKTATD,Atopic Dermatitis,0.0,0.0,0
BZZKEPGENYLQSC,Granulomatous Colitis; Crohn's Disease; Crohn's Enteritis; Granulomatous Enteritis,0.0,0.0,0
ONIQOQHATWINJY,Thyroid Cancer,-0.1194412416294027,-0.004838641995433435,1
WQZGKKKJIJFFOK,Urinary Tract Infections,0.0,0.0,0
CUHVIMMYOGQXCV,Withdrawal Syndrome,0.0,0.0,0
CTPOHARTNNSRSR,Pulmonary Arterial Hypertension,0.0,0.0,0
URCMKDJBULWNAI,Cough,0.0,0.0,0
LNEPOXFFQSENCJ,Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline,0.0,0.0,0
XYFPWWZEPKGCCK,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,0.0,0.0,0
MBOMYENWWXQSNW,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,0.0,0.0,0
WOSKHXYHFSIKNG,Thyroid Cancer,-0.1194412416294027,0.06479733933660475,1
PSIFNNKUMBGKDQ,NAFLD - Nonalcoholic Fatty Liver Disease,-0.08939982249660766,-0.022667256201687788,1
HMABYWSNWIZPAG,Endometrial Cancer,-0.18685696513899464,0.022428073780887986,1
MLDQJTXFUGDVEO,Thyroid Cancer,-0.6024071813563389,-0.42277495386236574,1
GEJDGVNQKABXKG,Tourette Syndrome,0.0,0.0,0
UHTHHESEBZOYNR,Thyroid Cancer,-0.26431767888590607,0.090559200256905,1
YFHRCLAKZBDRHN,"Polycystic Kidney, Autosomal Dominant",-0.27201239413107,-0.11471573185287073,1
HKTBYUWLRDZAJK,Prostate Cancer,0.03475097873018242,0.03067005014571355,1
JGPMMRGNQUBGND,Duchenne muscular dystrophy,0.0,0.0,0
JUSFANSTBFGBAF,Stomach Neoplasms,0.0,0.0,0
JUSFANSTBFGBAF,Cancer of Stomach,0.0,0.0,0
KDGFLJKFZUIJMX,Lung Cancer,-0.07767852166784511,0.010142174799151249,1
IEDVJHCEMCRBQM,Idiopathic Pulmonary Fibrosis,0.0,0.0,0
PKWRMUKBEYJEIX,Solid Tumors,0.0,0.0,0
PNDKCRDVVKJPKG,Nonalcoholic Steatohepatitis,0.0,0.0,0
PNDKCRDVVKJPKG,Nonalcoholic Steatohepatitis; Liver Cirrhosis; Non-alcoholic Fatty Liver Disease,-0.06312572699414633,0.020344263925641662,1
CMSMOCZEIVJLDB,Blood Cancer,0.0,0.0,0
NGYNBSHYFOFVLS,Disease Progression in Chronic Obstructive Pulmonary Disease,0.0,0.0,0
XAUDJQYHKZQPEU,Acute Myeloid Leukemia,-0.5878162354736143,0.007886673931410626,1
ZHKNLJLMDFQVHJ,diabeTes,0.0,0.0,0
WKDNQONLGXOZRG,Alzheimer's Disease,0.0,0.0,0
XZWYZXLIPXDOLR,Type 2 Diabetes,0.0,0.0,0
XZXHXSATPCNXJR,Advanced Pancreatic Cancer,-0.18925638633428166,0.008170132697129046,1
WHMMKPWGWNYYFE,Acute Leukemia,-0.06608338919575225,0.012331694846842878,1
AHJRHEGDXFFMBM,Breast Cancer,-1.6440829492340658,-0.39816403262546696,1
JHDKZFFAIZKUCU,Acute Myeloid Leukemia,-1.4231809007573857,-0.20015318367151758,1
VSZGPKBBMSAYNT,Nonalcoholic Steatohepatitis,0.0,0.0,0
