Drug_Clean,chembl_pref_name,chembl_smiles,chembl_id,match_type
SPN-810,MOLINDONE,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,CHEMBL460,exact
Tipifarnib,TIPIFARNIB,Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C,CHEMBL289228,exact
vincristine,VINCRISTINE,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CHEMBL90555,exact
vitamin D3,CHOLECALCIFEROL,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,CHEMBL1042,exact
ASP3662,CLOFUTRIBEN,Cn1c(-c2ccc(C(N)=O)cc2F)nnc1C(C)(C)Oc1c(F)cc(Cl)cc1F,CHEMBL5314513,exact
AZD5363,CAPIVASERTIB,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1,CHEMBL2325741,exact
afatinib,AFATINIB,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,CHEMBL1173655,exact
Artefenomel,ARTEFENOMEL,c1cc([C@H]2CC[C@]3(CC2)OO[C@]2(O3)C3CC4CC(C3)CC2C4)ccc1OCCN1CCOCC1,CHEMBL1828820,exact
atorvastatin,ATORVASTATIN,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,CHEMBL1487,exact
Cysteamine Bitartrate,CYSTEAMINE BITARTRATE,NCCS.O=C(O)[C@H](O)[C@@H](O)C(=O)O,CHEMBL1200577,exact
Domperidone,DOMPERIDONE,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,CHEMBL219916,exact
E6201,E-6201,CCNc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\[C@@H](C)[C@H](C)OC2=O,CHEMBL1097999,exact
Evacetrapib,EVACETRAPIB,Cc1cc(C)c2c(c1)[C@@H](N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nnn(C)n1)CCCN2C[C@H]1CC[C@H](C(=O)O)CC1,CHEMBL2017179,exact
ezetimibe,EZETIMIBE,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,CHEMBL1138,exact
GTx-024,ENOBOSARM,C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL1738889,exact
Idasanutlin,IDASANUTLIN,COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,CHEMBL2402737,exact
ketamine,KETAMINE,CNC1(c2ccccc2Cl)CCCCC1=O,CHEMBL742,exact
LY3023414,SAMOTOLISIB,CO[C@@H](C)Cn1c(=O)n(C)c2cnc3ccc(-c4cncc(C(C)(C)O)c4)cc3c21,CHEMBL4297181,exact
melatonin,MELATONIN,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,CHEMBL45,exact
ranolazine,RANOLAZINE,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,CHEMBL1404,exact
TAK-117,SERABELISIB,Nc1nc2cc(-c3ccc4ncc(C(=O)N5CCOCC5)n4c3)ccc2o1,CHEMBL3935857,exact
TH-4000 (Tarloxotinib),TARLOXOTINIB,Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(Cl)c(Br)c3)ncnc2cn1,CHEMBL4297661,paren_inner
tamoxifen,TAMOXIFEN,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CHEMBL83,exact
testosterone,TESTOSTERONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,CHEMBL386630,exact
selepressin,SELEPRESSIN,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCC(N)=O)NC1=O,CHEMBL1817709,exact
Aspirin,ASPIRIN,CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,exact
capecitabine,CAPECITABINE,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,CHEMBL1773,exact
Curcumin,CURCUMIN,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,CHEMBL140,exact
eplerenone,EPLERENONE,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,CHEMBL1095097,exact
fentanyl,FENTANYL,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,CHEMBL596,exact
ME-344,ME-344,Cc1c(O)ccc2c1OC[C@@H](c1ccc(O)cc1)[C@H]2c1ccc(O)cc1,CHEMBL5314386,exact
regorafenib,REGORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,CHEMBL1946170,exact
telbivudine,TELBIVUDINE,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,CHEMBL374731,exact
topotecan,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,CHEMBL84,exact
vinorelbine,VINORELBINE,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,CHEMBL553025,exact
selinexor,SELINEXOR,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1,CHEMBL3545185,exact
ABT-089,POZANICLINE,Cc1ncccc1OC[C@@H]1CCCN1,CHEMBL127071,exact
Akt Inhibitor GSK2141795,UPROSERTIB,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)oc1Cl,CHEMBL3137336,exact
siponimod,SIPONIMOD,CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,CHEMBL2336071,exact
Busulfan,BUSULFAN,CS(=O)(=O)OCCCCOS(C)(=O)=O,CHEMBL820,exact
Cabazitaxel,CABAZITAXEL,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,CHEMBL1201748,exact
fexinidazole,FEXINIDAZOLE,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,CHEMBL1631694,exact
Ganetespib,GANETESPIB,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,CHEMBL2103879,exact
HMPL-004,ANDROGRAPHOLIDE,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,CHEMBL186141,exact
JNJ-38518168,TOREFORANT,Cc1cc(C)c2nc(-c3cnc(NCCCC4CCN(C)CC4)nc3C)[nH]c2c1,CHEMBL3301609,exact
MK-7622,MK-7622,Cc1ccc(Cc2cc3c(=O)n([C@H]4CCCC[C@@H]4O)cnc3c3ccccc23)cn1,CHEMBL4078588,exact
melphalan,MELPHALAN,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,CHEMBL852,exact
plerixafor,PLERIXAFOR,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1,CHEMBL18442,exact
prasugrel,PRASUGREL,CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2,CHEMBL1201772,exact
tadalafil,TADALAFIL,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,CHEMBL779,exact
Temodar,TEMOZOLOMIDE,Cn1nnc2c(C(N)=O)ncn2c1=O,CHEMBL810,exact
trametinib,TRAMETINIB,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,CHEMBL2103875,exact
Vismodegib,VISMODEGIB,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,CHEMBL473417,exact
defactinib (VS-6063),DEFACTINIB,CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3nccnc3N(C)S(C)(=O)=O)n2)cc1,CHEMBL3137331,paren_base
TZP-102,TZP-102,CC(C)C[C@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C2CC2)NC[C@@H](C)Oc2ccccc2CC[C@H](C)NC1=O,CHEMBL4594424,exact
Bortezomib,BORTEZOMIB,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,CHEMBL325041,exact
clofarabine,CLOFARABINE,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,CHEMBL1750,exact
Dasatinib,DASATINIB,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,CHEMBL5416410,exact
desipramine,DESIPRAMINE,CNCCCN1c2ccccc2CCc2ccccc21,CHEMBL72,exact
fluoxetine,FLUOXETINE,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CHEMBL41,exact
Memantine Hydrochloride (HCl),MEMANTINE HYDROCHLORIDE,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl,CHEMBL1699,paren_base
olanzapine,OLANZAPINE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CHEMBL715,exact
pimecrolimus,PIMECROLIMUS,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CHEMBL1200686,exact
simvastatin,SIMVASTATIN,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,CHEMBL1064,exact
lisdexamfetamine,LISDEXAMFETAMINE,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,CHEMBL1201222,exact
galeterone,GALETERONE,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(n3cnc4ccccc43)=CC[C@@H]12,CHEMBL2105738,exact
AFQ056,MAVOGLURANT,COC(=O)N1CC[C@@H]2[C@H]1CCC[C@@]2(O)C#Cc1cccc(C)c1,CHEMBL3087515,exact
BN83495,IROSUSTAT,NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3,CHEMBL286738,exact
daptomycin,DAPTOMYCIN,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,CHEMBL387675,exact
Erlotinib,ERLOTINIB,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,exact
GSK1605786A,VERCIRNON SODIUM,CC(C)(C)c1ccc(S(=O)(=O)[N-]c2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1.[Na+],CHEMBL3039505,exact
gefitinib,GEFITINIB,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL939,exact
hydroxyurea,HYDROXYUREA,NC(=O)NO,CHEMBL467,exact
lenalidomide,LENALIDOMIDE,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CHEMBL848,exact
ondansetron,ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46,exact
sunitinib,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CHEMBL535,exact
Tivantinib,TIVANTINIB,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12,CHEMBL2103882,exact
tolvaptan,TOLVAPTAN,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,CHEMBL344159,exact
ABT-888,VELIPARIB,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,CHEMBL506871,exact
AZD8931,SAPITINIB,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,CHEMBL2408045,exact
apremilast,APREMILAST,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,CHEMBL514800,exact
delamanid,DELAMANID,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,CHEMBL218650,exact
everolimus,EVEROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CHEMBL1908360,exact
gabapentin,GABAPENTIN,NCC1(CC(=O)O)CCCCC1,CHEMBL940,exact
LY500307,ERTEBEREL,Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H]3CCC[C@@H]32)cc1,CHEMBL278703,exact
lorazepam,LORAZEPAM,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,CHEMBL580,exact
mesalamine,MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,CHEMBL704,exact
progesterone,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL103,exact
rosuvastatin calcium,ROSUVASTATIN CALCIUM,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],CHEMBL1744447,exact
anastrozole,ANASTROZOLE,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,CHEMBL1399,exact
paricalcitol,PARICALCITOL,C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@H]2/C(=C/C=C3C[C@@H](O)C[C@H](O)C3)CCC[C@]12C,CHEMBL1200622,exact
duloxetine,DULOXETINE,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,CHEMBL1175,exact
tucatinib,TUCATINIB,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,CHEMBL3989868,exact
empagliflozin,EMPAGLIFLOZIN,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,CHEMBL2107830,exact
ganciclovir,GANCICLOVIR,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,CHEMBL182,exact
KVD824,FENIRALSTAT,COCc1nn(Cc2ccc(Cn3cc(F)ccc3=O)cc2)cc1C(=O)NCc1nccc(OC)c1F,CHEMBL5095064,exact
AR100DP1,OVATODIOLIDE,C=C1C(=O)O[C@@H]2/C=C(\C)C[C@H]3C=C(CC/C=C(\C)CC[C@@H]12)C(=O)O3,CHEMBL4650359,exact
Cobimetinib,COBIMETINIB,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,CHEMBL2146883,exact
duvelisib,DUVELISIB,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,CHEMBL3039502,exact
Entecavir (ETV),ENTECAVIR,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21.O,CHEMBL5314362,paren_base
SAR439859,AMCENESTRANT,O=C(O)c1ccc2c(c1)CCCC(c1ccc(Cl)cc1Cl)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,CHEMBL4475463,exact
AZD1775 only,ADAVOSERTIB,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,CHEMBL1976040,qualifier_strip (only)
perampanel,PERAMPANEL,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,CHEMBL1214124,exact
LY3499446,LY-3499446,C=CC(=O)N1CCN(c2ncnc3c(F)c(-c4ccc(F)c5sc(N)nc45)c(Cl)cc23)CC1,CHEMBL5095252,exact
valganciclovir,VALGANCICLOVIR,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21,CHEMBL1201314,exact
enzalutamide,ENZALUTAMIDE,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,CHEMBL1082407,exact
apixaban,APIXABAN,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,CHEMBL231779,exact
RO5285119,BALOVAPTAN,CN1Cc2cc(Cl)ccc2-n2c(nnc2[C@H]2CC[C@H](Oc3ccccn3)CC2)C1,CHEMBL4297183,exact
EMA401,OLODANRIGAN,COc1ccc2c(c1OCc1ccccc1)C[C@@H](C(=O)O)N(C(=O)C(c1ccccc1)c1ccccc1)C2,CHEMBL34124,exact
Gemcabene,GEMCABENE,CC(C)(CCCCOCCCCC(C)(C)C(=O)O)C(=O)O,CHEMBL2110686,exact
Thiamine,THIAMINE,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.[Cl-],CHEMBL1588,exact
apalutamide,APALUTAMIDE,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F,CHEMBL3183409,exact
leuprolide,LEUPROLIDE,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,CHEMBL1201199,exact
Abiraterone,ABIRATERONE,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,CHEMBL254328,exact
Apatinib,RIVOCERANIB,N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1,CHEMBL3186534,exact
edoxaban,EDOXABAN,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,CHEMBL1269025,exact
Elenbecestat,ELENBECESTAT,C[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SC[C@H]12,CHEMBL4204869,exact
INCB057643,INCB-057643,CN1C(=O)C(C)(C)Oc2c(-c3cn(C)c(=O)c4[nH]ccc34)cc(S(C)(=O)=O)cc21,CHEMBL4594412,exact
loxapine,LOXAPINE,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,CHEMBL831,exact
idelalisib,IDELALISIB,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,CHEMBL2216870,exact
gilteritinib,GILTERITINIB,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1,CHEMBL3301622,exact
Taselisib,TASELISIB,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,CHEMBL2387080,exact
Obeticholic Acid (OCA),OBETICHOLIC ACID,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,CHEMBL566315,paren_base
PF-05175157,PF-05175157,Cc1nc2ccc(C(=O)N3CCC4(CC3)CC(=O)c3c(cnn3C(C)C)C4)cc2[nH]1,CHEMBL3359265,exact
morphine,MORPHINE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CHEMBL70,exact
myo-Inositol 5%,INOSITOL,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,CHEMBL1222251,dosage_strip
Dovitinib,DOVITINIB,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,CHEMBL522892,exact
ponatinib,PONATINIB,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,CHEMBL1171837,exact
carmustine,CARMUSTINE,O=NN(CCCl)C(=O)NCCCl,CHEMBL513,exact
isotretinoin,ISOTRETINOIN,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,CHEMBL547,exact
panobinostat,PANOBINOSTAT,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,CHEMBL483254,exact
Bardoxolone Methyl:,BARDOXOLONE METHYL,COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,CHEMBL1762621,special_char_strip
cinacalcet,CINACALCET,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,CHEMBL1201284,exact
eribulin,ERIBULIN,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,CHEMBL1683590,exact
leflunomide,LEFLUNOMIDE,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,CHEMBL960,exact
tacrolimus,TACROLIMUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O,CHEMBL3989887,exact
dronedarone,DRONEDARONE,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,CHEMBL184412,exact
etravirine,ETRAVIRINE,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,CHEMBL308954,exact
nilotinib,NILOTINIB,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,CHEMBL255863,exact
sitaxentan,SITAXENTAN,Cc1cc2c(cc1CC(=O)c1sccc1S(=O)(=O)Nc1onc(C)c1Cl)OCO2,CHEMBL282724,exact
amoxicillin,AMOXICILLIN,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CHEMBL1082,exact
baloxavir marboxil,BALOXAVIR MARBOXIL,COC(=O)OCOc1c2n(ccc1=O)N([C@@H]1c3ccccc3SCc3c1ccc(F)c3F)[C@@H]1COCCN1C2=O,CHEMBL4297503,exact
bempedoic acid,BEMPEDOIC ACID,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,CHEMBL3545313,exact
clopidogrel,CLOPIDOGREL,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,CHEMBL1771,exact
dapagliflozin,DAPAGLIFLOZIN,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,CHEMBL429910,exact
daridorexant,DARIDOREXANT,COc1ccc(-n2nccn2)c(C(=O)N2CCC[C@@]2(C)c2nc3c(C)c(Cl)ccc3[nH]2)c1,CHEMBL4297590,exact
desflurane,DESFLURANE,FC(F)OC(F)C(F)(F)F,CHEMBL1200733,exact
desloratadine,DESLORATADINE,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,CHEMBL1172,exact
esomeprazole,ESOMEPRAZOLE,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,CHEMBL1201320,exact
fezolinetant,FEZOLINETANT,Cc1nsc(-c2nnc3n2CCN(C(=O)c2ccc(F)cc2)[C@@H]3C)n1,CHEMBL3608680,exact
propofol,PROPOFOL,CC(C)c1cccc(C(C)C)c1O,CHEMBL526,exact
remimazolam,REMIMAZOLAM,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,CHEMBL4297526,exact
ribavirin,RIBAVIRIN,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,CHEMBL1643,exact
sevoflurane,SEVOFLURANE,FCOC(C(F)(F)F)C(F)(F)F,CHEMBL1200694,exact
tizanidine,TIZANIDINE,Clc1ccc2nsnc2c1NC1=NCCN1,CHEMBL1079,exact
allopurinol,ALLOPURINOL,Oc1ncnc2[nH]ncc12,CHEMBL1467,exact
