aact_name,clean,nontherap_reason,n_trials
68Ga-FAPI,68Ga-FAPI,radiotracer/imaging,15
Placebo MDI,Placebo MDI,ext:placebo,15
Saline injection,Saline injection,ext:saline,15
Lactated Ringer,Lactated Ringer,ext:ringer,15
0.9% Saline,0.9% Saline,ext:saline,14
Sodium chloride 0.9%,Sodium chloride 0.9%,canonical:Sodium Chloride,14
0.9%sodium chloride,0.9%sodium chloride,canonical:Sodium Chloride,14
Intravenous Placebo,Intravenous Placebo,ext:placebo,14
Sterile water,Sterile water,ext:sterile water,14
Placebo Nasal Spray,Placebo Nasal Spray,ext:placebo,14
0.9% Normal Saline,0.9% Normal Saline,ext:saline,14
IV Placebo,IV Placebo,ext:placebo,14
Placebo - Concentrate,Placebo - Concentrate,ext:placebo,14
Placebo to indacaterol,Placebo to indacaterol,ext:placebo,14
Ringer lactate,Ringer lactate,ext:ringer,13
Normal Saline (Placebo),Normal Saline (Placebo),ext:placebo,13
mannitol,mannitol,ext:mannitol,13
Hypertonic Saline,Hypertonic Saline,ext:saline,13
placebo patch,placebo patch,ext:placebo,13
Placebo Capsules,Placebo Capsules,ext:placebo,13
saline placebo,saline placebo,ext:placebo,12
Placebo Drug,Placebo Drug,ext:placebo,12
Placebo administration,Placebo administration,ext:placebo,12
placebo comparator,placebo comparator,ext:placebo,12
Normal Saline (0.9% NaCl),Normal Saline (0.9% NaCl),ext:saline,12
Placebo DPI,Placebo DPI,ext:placebo,12
68Ga-PSMA,68Ga-PSMA,radiotracer/imaging,12
Matched Placebo,Matched Placebo,ext:placebo,12
Saline Solution for Injection,Saline Solution for Injection,ext:saline,12
Placebo Ophthalmic Solution,Placebo Ophthalmic Solution,ext:placebo,11
Dextrose 5% in water,Dextrose 5% in water,ext:dextrose,11
Placebo single dose,Placebo single dose,ext:placebo,11
Oxygen gas,Oxygen gas,ext:oxygen,11
Vehicle foam,Vehicle foam,ext:vehicle,11
"Normal Saline Flush, 0.9% Injectable Solution","Normal Saline Flush, 0.9% Injectable Solution",ext:saline,11
Inhaled placebo,Inhaled placebo,ext:placebo,11
Isotonic Saline,Isotonic Saline,ext:saline,11
placebo treatment,placebo treatment,ext:placebo,11
"NaCl 0,9%","NaCl 0,9%",ext:nacl,11
Sucrose,Sucrose,ext:sucrose,11
Placebo Group,Placebo Group,ext:placebo,11
Saline infusion,Saline infusion,ext:saline,11
0.9% sodium chloride solution,0.9% sodium chloride solution,canonical:Sodium Chloride,11
Saline Injection,Saline Injection,ext:saline,10
Placebo (for alirocumab),Placebo (for alirocumab),ext:placebo,10
Placebo - IV,Placebo - IV,ext:placebo,10
Placebo - SC,Placebo - SC,ext:placebo,10
Ringer's lactate,Ringer's lactate,ext:ringer,10
Placebo (Normal Saline),Placebo (Normal Saline),ext:placebo,10
Lactated Ringer's solution,Lactated Ringer's solution,ext:ringer,10
Placebo; oral,Placebo; oral,ext:placebo,10
placebo tablet,placebo tablet,ext:placebo,10
Saline (0.9% NaCl),Saline (0.9% NaCl),ext:saline,10
Placebo ointment,Placebo ointment,ext:placebo,10
Vehicle Lotion,Vehicle Lotion,ext:vehicle,10
Intranasal Placebo,Intranasal Placebo,ext:placebo,10
Intravenous placebo,Intravenous placebo,ext:placebo,10
oral placebo,oral placebo,ext:placebo,10
placebo for risankizumab,placebo for risankizumab,ext:placebo,9
Placebo to match filgotinib,Placebo to match filgotinib,ext:placebo,9
Fludeoxyglucose F-18,Fludeoxyglucose F-18,radiotracer/imaging,9
placebo cream,placebo cream,ext:placebo,9
Normal Saline 0.9% Infusion Solution Bag,Normal Saline 0.9% Infusion Solution Bag,ext:saline,9
saline 0.9%,saline 0.9%,ext:saline,9
Vehicle Control,Vehicle Control,ext:vehicle,9
FDG,FDG,radiotracer/imaging,9
Placebo (normal saline),Placebo (normal saline),ext:placebo,9
5% Dextrose,5% Dextrose,ext:dextrose,9
placebo group,placebo group,ext:placebo,9
Placebo drug,Placebo drug,ext:placebo,9
Placebo ophthalmic solution,Placebo ophthalmic solution,ext:placebo,9
Placebo for Upadacitinib,Placebo for Upadacitinib,ext:placebo,9
placebo capsules,placebo capsules,ext:placebo,9
Sodium Chloride Injection,Sodium Chloride Injection,canonical:Sodium Chloride,8
Normal saline solution,Normal saline solution,ext:saline,8
Placebo Solution,Placebo Solution,ext:placebo,8
Placebo to tiotropium,Placebo to tiotropium,ext:placebo,8
Placebo mouthwash,Placebo mouthwash,ext:placebo,8
Normal saline infusion,Normal saline infusion,ext:saline,8
Placebo semaglutide,Placebo semaglutide,ext:placebo,8
matched placebo,matched placebo,ext:placebo,8
Sterile saline,Sterile saline,ext:saline,8
Placebo (for Rimonabant),Placebo (for Rimonabant),ext:placebo,8
68Ga-DOTATATE,68Ga-DOTATATE,radiotracer/imaging,8
physiological saline,physiological saline,ext:saline,8
Iron Sucrose,Iron Sucrose,ext:sucrose,8
Placebo Comparator: Placebo,Placebo Comparator: Placebo,ext:placebo,8
Placebo (vehicle) nasal spray,Placebo (vehicle) nasal spray,ext:placebo,8
vehicle gel,vehicle gel,ext:vehicle,8
Placebo treatment,Placebo treatment,ext:placebo,8
Vehicle ointment,Vehicle ointment,ext:vehicle,8
placebo tablets,placebo tablets,ext:placebo,8
0.9%NaCl,0.9%NaCl,ext:nacl,8
18F-DOPA,18F-DOPA,radiotracer/imaging,7
Vehicle control,Vehicle control,ext:vehicle,7
TDF Placebo,TDF Placebo,ext:placebo,7
Physiologic saline,Physiologic saline,ext:saline,7
0.9 % saline,0.9 % saline,ext:saline,7
Placebo suspension,Placebo suspension,ext:placebo,7
Moxifloxacin placebo,Moxifloxacin placebo,ext:placebo,7
Placebo Oral,Placebo Oral,ext:placebo,7
Placebo medication,Placebo medication,ext:placebo,7
Placebo Infusion,Placebo Infusion,ext:placebo,7
placebo pill,placebo pill,ext:placebo,7
Vehicle Topical Gel,Vehicle Topical Gel,ext:vehicle,7
Hyperbaric Oxygen,Hyperbaric Oxygen,ext:oxygen,7
Potassium Chloride,Potassium Chloride,ext:potassium chloride,7
Placebo cagrilintide,Placebo cagrilintide,ext:placebo,7
Placebo MDPI,Placebo MDPI,ext:placebo,7
placebo solution,placebo solution,ext:placebo,7
placebo nasal spray,placebo nasal spray,ext:placebo,7
Vehicle (placebo),Vehicle (placebo),ext:placebo,7
18F-PSMA-1007,18F-PSMA-1007,radiotracer/imaging,7
Placebo (Saline),Placebo (Saline),ext:placebo,7
SC Placebo,SC Placebo,ext:placebo,7
Placebo Pill,Placebo Pill,ext:placebo,7
Water for injection,Water for injection,ext:water for injection,7
glucose,glucose,ext:glucose,7
100% Oxygen,100% Oxygen,ext:oxygen,7
0.9% Sodium chloride,0.9% Sodium chloride,canonical:Sodium Chloride,7
Calcium Chloride,Calcium Chloride,ext:calcium chloride,7
Placebo to Ertugliflozin,Placebo to Ertugliflozin,ext:placebo,7
IV normal saline,IV normal saline,ext:saline,7
Lansoprazole Placebo,Lansoprazole Placebo,ext:placebo,7
Sodium Chloride 9mg/mL,Sodium Chloride 9mg/mL,canonical:Sodium Chloride,7
Placebo BID,Placebo BID,ext:placebo,7
Saline Nasal Spray,Saline Nasal Spray,ext:saline,7
Saline spray,Saline spray,ext:saline,7
Placebo SL Tablet,Placebo SL Tablet,ext:placebo,7
Placebo Cap,Placebo Cap,ext:placebo,7
Placebo pills,Placebo pills,ext:placebo,7
Placebo Arm,Placebo Arm,ext:placebo,7
18F-AV-1451,18F-AV-1451,radiotracer/imaging,7
Isotonic NaCl,Isotonic NaCl,ext:nacl,6
Vehicle (Placebo),Vehicle (Placebo),ext:placebo,6
Placebo to match,Placebo to match,ext:placebo,6
177Lu-DOTATOC,177Lu-DOTATOC,radiotracer/imaging,6
Dextrose 5%,Dextrose 5%,ext:dextrose,6
Normal saline injection,Normal saline injection,ext:saline,6
Relugolix placebo,Relugolix placebo,ext:placebo,6
Nitrogen,Nitrogen,ext:nitrogen,6
Placebo oral solution,Placebo oral solution,ext:placebo,6
177Lu-DOTATATE,177Lu-DOTATATE,radiotracer/imaging,6
Sterile Saline,Sterile Saline,ext:saline,6
Control (placebo) group,Control (placebo) group,ext:placebo,6
Placebo (sugar pill),Placebo (sugar pill),ext:placebo,6
Normal saline 0.9%,Normal saline 0.9%,ext:saline,6
0.9% NaCl solution,0.9% NaCl solution,ext:nacl,6
Normal saline placebo,Normal saline placebo,ext:placebo,6
perillyl alcohol,perillyl alcohol,ext:alcohol,6
placebo control,placebo control,ext:placebo,6
Motexafin Gadolinium,Motexafin Gadolinium,ext:gadolinium,6
Isotonic Sodium Chloride,Isotonic Sodium Chloride,canonical:Sodium Chloride,6
Placebo inhalation,Placebo inhalation,ext:placebo,6
Placebo Cannabis,Placebo Cannabis,ext:placebo,6
Placebo (SC),Placebo (SC),ext:placebo,6
Isotonic saline solution,Isotonic saline solution,ext:saline,6
Placebo (vehicle),Placebo (vehicle),ext:placebo,6
vehicle,vehicle,ext:vehicle,6
Placebo Oral Solution,Placebo Oral Solution,ext:placebo,6
Placebo of LCZ696,Placebo of LCZ696,ext:placebo,6
11C-ER176,11C-ER176,radiotracer/imaging,6
Placebo transdermal patch,Placebo transdermal patch,ext:placebo,6
[68Ga]Ga-PentixaFor,[68Ga]Ga-PentixaFor,radiotracer/imaging,6
Lactated Ringers,Lactated Ringers,ext:ringer,6
AMG 386 Placebo,AMG 386 Placebo,ext:placebo,6
IV placebo,IV placebo,ext:placebo,6
0.9 % NaCl,0.9 % NaCl,ext:nacl,6
Placebo to Indacaterol,Placebo to Indacaterol,ext:placebo,6
Sodium Lactate,Sodium Lactate,canonical:Sodium Lactate,6
68Ga-P16-093,68Ga-P16-093,radiotracer/imaging,6
intranasal placebo,intranasal placebo,ext:placebo,6
64Cu-SAR-bisPSMA,64Cu-SAR-bisPSMA,radiotracer/imaging,6
Placebo for upadacitinib,Placebo for upadacitinib,ext:placebo,6
Normal Saline 10 mL Injection,Normal Saline 10 mL Injection,ext:saline,6
18F-DCFPyL Injection,18F-DCFPyL Injection,radiotracer/imaging,6
[18F]PI-2620,[18F]PI-2620,radiotracer/imaging,6
Delgocitinib cream vehicle,Delgocitinib cream vehicle,ext:vehicle,6
0.9% NaCl physiological saline,0.9% NaCl physiological saline,ext:saline,6
Administration of placebo,Administration of placebo,ext:placebo,6
Everolimus Placebo,Everolimus Placebo,ext:placebo,6
normal saline 0.9%,normal saline 0.9%,ext:saline,6
Sodium chloride (placebo),Sodium chloride (placebo),canonical:Sodium Chloride,6
VC005 Tablets Placebo,VC005 Tablets Placebo,ext:placebo,6
Placebo + SOC,Placebo + SOC,ext:placebo,5
Placebo arm,Placebo arm,ext:placebo,5
18F-fluciclovine,18F-fluciclovine,radiotracer/imaging,5
Alcohol (Ethanol),Alcohol (Ethanol),ext:ethanol,5
Placebo (SAD),Placebo (SAD),ext:placebo,5
Liraglutide 3 mg placebo,Liraglutide 3 mg placebo,ext:placebo,5
[18F]FluorThanatrace,[18F]FluorThanatrace,radiotracer/imaging,5
F-18 FDG,F-18 FDG,radiotracer/imaging,5
5% dextrose in water,5% dextrose in water,ext:dextrose,5
placebo infusion,placebo infusion,ext:placebo,5
Placebo Oil,Placebo Oil,ext:placebo,5
Sodium Glucose Co-transporter 2 (SGLT2) Inhibitor,Sodium Glucose Co-transporter 2 (SGLT2) Inhibitor,ext:glucose,5
Placebo for MAD,Placebo for MAD,ext:placebo,5
Placebo for SAD,Placebo for SAD,ext:placebo,5
hypertonic saline,hypertonic saline,ext:saline,5
Placebo Film,Placebo Film,ext:placebo,5
18F fluciclovine,18F fluciclovine,radiotracer/imaging,5
Hyperbaric Oxygen Therapy,Hyperbaric Oxygen Therapy,ext:oxygen,5
Sodium chloride solution,Sodium chloride solution,canonical:Sodium Chloride,5
alcohol,alcohol,ext:alcohol,5
HS-10374-matched placebo tablets,HS-10374-matched placebo tablets,ext:placebo,5
FTC/TDF Placebo,FTC/TDF Placebo,ext:placebo,5
Placebo matched to atacicept,Placebo matched to atacicept,ext:placebo,5
Potassium chloride,Potassium chloride,ext:potassium chloride,5
