aact_name,clean,nontherap_reason,n_trials
Placebo matching 600 mg Spesolimab,Placebo matching 600 mg Spesolimab,ext:placebo,1
Placebo matching 1200 mg Spesolimab,Placebo matching 1200 mg Spesolimab,ext:placebo,1
Lidocaine Spray: Each ml contained 10 mg lidocaine and ethanol. Applied to the local site to provide anesthesia,Lidocaine Spray: Each ml contained 10 mg lidocaine and ethanol. Applied to the local site to provide anesthesia,ext:ethanol,1
Prescribe placebo tablets,Prescribe placebo tablets,ext:placebo,1
Placebo matching Chromium Picolinate,Placebo matching Chromium Picolinate,ext:placebo,1
2 capsules Ibuprofen and 1 placebo,2 capsules Ibuprofen and 1 placebo,ext:placebo,1
capsule Chlorpheniramine 4mg and 1 Placebo,capsule Chlorpheniramine 4mg and 1 Placebo,ext:placebo,1
TBI-223 Placebo,TBI-223 Placebo,ext:placebo,1
"0.5% cholorbutanol, saline","0.5% cholorbutanol, saline",ext:saline,1
Placebo for infusions,Placebo for infusions,ext:placebo,1
Placebo for prednisolone,Placebo for prednisolone,ext:placebo,1
[18F]FMISO-PET with contrast-enhanced MRI,[18F]FMISO-PET with contrast-enhanced MRI,radiotracer/imaging,1
23.4% Sodium Chloride,23.4% Sodium Chloride,canonical:Sodium Chloride,1
GT0918 tablets or placebo,GT0918 tablets or placebo,ext:placebo,1
8.4% Sodium Bicarbonate,8.4% Sodium Bicarbonate,ext:sodium bicarbonate,1
Matching Placebos for GST-HG141 tablets,Matching Placebos for GST-HG141 tablets,ext:placebo,1
13N Amonia,13N Amonia,radiotracer/imaging,1
Respirogen Micro-Oxygen,Respirogen Micro-Oxygen,ext:oxygen,1
"Placebo, Part 2 of the study","Placebo, Part 2 of the study",ext:placebo,1
"Placebo, Part 1 of the study","Placebo, Part 1 of the study",ext:placebo,1
Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,Nitric Oxide 0.5 % / Nitrogen 99.5 % Gas for Inhalation,ext:nitrogen,1
DFD-03 Vehicle Lotion 0%,DFD-03 Vehicle Lotion 0%,ext:vehicle,1
Tazorac Vehicle Cream 0%,Tazorac Vehicle Cream 0%,ext:vehicle,1
[68Ga] Ga-DO3A-VS-Cys40-Exendin-4 (GLP-1 receptor tracer),[68Ga] Ga-DO3A-VS-Cys40-Exendin-4 (GLP-1 receptor tracer),radiotracer/imaging,1
[68Ga] Ga-DO3A-VS-Cys40-Tuna-2 (glucagon receptor tracer),[68Ga] Ga-DO3A-VS-Cys40-Tuna-2 (glucagon receptor tracer),radiotracer/imaging,1
Iloperidone Placebo,Iloperidone Placebo,ext:placebo,1
HT-101 placebo,HT-101 placebo,ext:placebo,1
HT-102 placebo,HT-102 placebo,ext:placebo,1
"IV Placebo, non-active","IV Placebo, non-active",ext:placebo,1
Full dose Pantoprazole plus matching placebo,Full dose Pantoprazole plus matching placebo,ext:placebo,1
"Placebo (subcutaneous, single dose)","Placebo (subcutaneous, single dose)",ext:placebo,1
"Placebo (intravenous, single dose)","Placebo (intravenous, single dose)",ext:placebo,1
"Placebo (intravenous, multiple dose)","Placebo (intravenous, multiple dose)",ext:placebo,1
Normal Saline Placebo Infusion,Normal Saline Placebo Infusion,ext:placebo,1
Placebo-matched Moxifloxacin,Placebo-matched Moxifloxacin,ext:placebo,1
Placebo-matched CBP-307,Placebo-matched CBP-307,ext:placebo,1
Tafasitamab placebo,Tafasitamab placebo,ext:placebo,1
Placebo hydrogel,Placebo hydrogel,ext:placebo,1
Part C: Placebo,Part C: Placebo,ext:placebo,1
Part B:Placebo,Part B:Placebo,ext:placebo,1
placebo of AD-2081,placebo of AD-2081,ext:placebo,1
placebo of AD-208,placebo of AD-208,ext:placebo,1
Part A:Placebo,Part A:Placebo,ext:placebo,1
Half Dose Pantoprazole plus matching placebo,Half Dose Pantoprazole plus matching placebo,ext:placebo,1
Diammonium Glycyrrhizinate Placebo,Diammonium Glycyrrhizinate Placebo,ext:placebo,1
Magnesium Isoglycyrrhizinate Placebo,Magnesium Isoglycyrrhizinate Placebo,ext:placebo,1
Sodium Bicarbonate 8.4% Solution for Injection,Sodium Bicarbonate 8.4% Solution for Injection,ext:sodium bicarbonate,1
Local Saline Infusion,Local Saline Infusion,ext:saline,1
Placebo plus enzalutamide,Placebo plus enzalutamide,ext:placebo,1
RL-007 Matching Placebo,RL-007 Matching Placebo,ext:placebo,1
Placebo inhaled,Placebo inhaled,ext:placebo,1
ARQ-252 Vehicle cream,ARQ-252 Vehicle cream,ext:vehicle,1
"Contrast Dye, Iodinated","Contrast Dye, Iodinated",ext:contrast,1
BEBT-701 Injection Placebo（0.9% Sodium Chloride Injection）,BEBT-701 Injection Placebo（0.9% Sodium Chloride Injection）,canonical:Sodium Chloride,1
nasal saline,nasal saline,ext:saline,1
89Zr-daratumumab PET/CT,89Zr-daratumumab PET/CT,radiotracer/imaging,1
Placebo Fisetin,Placebo Fisetin,ext:placebo,1
Hypertonic (10%) saline,Hypertonic (10%) saline,ext:saline,1
AICH-placebo,AICH-placebo,ext:placebo,1
Placebo (TCl),Placebo (TCl),ext:placebo,1
Placebo (drinking water),Placebo (drinking water),ext:placebo,1
Placebo ELLIPTA,Placebo ELLIPTA,ext:placebo,1
Dextrose 5% and Lidocaine,Dextrose 5% and Lidocaine,ext:dextrose,1
Recombinant Human Follitropin Alfa 、Fructose 、Tetyacycline Hydrochloride Capsules、Cetrorelix Acetate Powder,Recombinant Human Follitropin Alfa 、Fructose 、Tetyacycline Hydrochloride Capsules、Cetrorelix Acetate Powder,ext:fructose,1
Hypertonic Saturated Saline Mouth Rinse Active Arm,Hypertonic Saturated Saline Mouth Rinse Active Arm,ext:saline,1
Remdesivir Placebo,Remdesivir Placebo,ext:placebo,1
Aviptadil Placebo,Aviptadil Placebo,ext:placebo,1
Chinese medicine compound placebo combined with symptomatic treatments,Chinese medicine compound placebo combined with symptomatic treatments,ext:placebo,1
89Zr-CD147,89Zr-CD147,radiotracer/imaging,1
1.8% lidocaine plus 0.76% sodium bicarbonate,1.8% lidocaine plus 0.76% sodium bicarbonate,ext:sodium bicarbonate,1
Omega-3 Polyunsaturated Fatty Acids (Fish Oil 1000 mg (contains 500 mg DHA & 100 mg EPA)) or placebo capsules.,Omega-3 Polyunsaturated Fatty Acids (Fish Oil 1000 mg (contains 500 mg DHA & 100 mg EPA)) or placebo capsules.,ext:placebo,1
DOTATOC-68Ga PET at 6 months,DOTATOC-68Ga PET at 6 months,radiotracer/imaging,1
DOTATOC-68Ga PET initial,DOTATOC-68Ga PET initial,radiotracer/imaging,1
Placebo (Ambrisentan-matching),Placebo (Ambrisentan-matching),ext:placebo,1
Dextrose 20 % in 500 ML Injection,Dextrose 20 % in 500 ML Injection,ext:dextrose,1
PET scanner with injection of 18 FDG (18F-2-fluoro-2-deoxy-D-glucose) (radiolabel),PET scanner with injection of 18 FDG (18F-2-fluoro-2-deoxy-D-glucose) (radiolabel),radiotracer/imaging,1
Placebo（normal saline）,Placebo（normal saline）,ext:placebo,1
Liraglutide (Saxenda) 6Mg/Ml Inj Pen 3Ml or Placebo,Liraglutide (Saxenda) 6Mg/Ml Inj Pen 3Ml or Placebo,ext:placebo,1
Strawberry juice as (placebo),Strawberry juice as (placebo),ext:placebo,1
Matching Placebo for Upadacitinib,Matching Placebo for Upadacitinib,ext:placebo,1
89Zr-panitumumab,89Zr-panitumumab,radiotracer/imaging,1
[18F]F13640,[18F]F13640,radiotracer/imaging,1
Continuous infusion placebo,Continuous infusion placebo,ext:placebo,1
Sodium Lactated Ringer's Injection,Sodium Lactated Ringer's Injection,canonical:Sodium Lactate,1
Approved dosing regimen placebo,Approved dosing regimen placebo,ext:placebo,1
Placebo for ABBV-2B04,Placebo for ABBV-2B04,ext:placebo,1
Sterile Water as control,Sterile Water as control,ext:sterile water,1
177Lu-DFC413,177Lu-DFC413,radiotracer/imaging,1
68Ga-NNS309,68Ga-NNS309,radiotracer/imaging,1
Placebo of the CKD-495 150mg,Placebo of the CKD-495 150mg,ext:placebo,1
Placebo of the Rebamipide 100mg,Placebo of the Rebamipide 100mg,ext:placebo,1
Placebo for ABBV-47D11,Placebo for ABBV-47D11,ext:placebo,1
Magnesium sulfate dose through real weight group,Magnesium sulfate dose through real weight group,ext:magnesium sulfate,1
Magnesium sulfate dose through corrected ideal weight group,Magnesium sulfate dose through corrected ideal weight group,ext:magnesium sulfate,1
[18F]-JNJ-64413739,[18F]-JNJ-64413739,radiotracer/imaging,1
Artemisiae argyi folium 95% ethanol ext.(20→1) 60mg,Artemisiae argyi folium 95% ethanol ext.(20→1) 60mg,ext:ethanol,1
Zilretta Injectable Product or Placebo,Zilretta Injectable Product or Placebo,ext:placebo,1
Placebo for Pregabalin,Placebo for Pregabalin,ext:placebo,1
Placebo for BAY1817080,Placebo for BAY1817080,ext:placebo,1
Darbepoetin alfa-matching placebo,Darbepoetin alfa-matching placebo,ext:placebo,1
MT-6548-matching placebo,MT-6548-matching placebo,ext:placebo,1
Trigger point injection with normal saline,Trigger point injection with normal saline,ext:saline,1
68Ga-G23,68Ga-G23,radiotracer/imaging,1
Placebo Mucoadhesive Buccal Tablet,Placebo Mucoadhesive Buccal Tablet,ext:placebo,1
68Ga-G21,68Ga-G21,radiotracer/imaging,1
Erector Spinae (ESP) Block with placebo,Erector Spinae (ESP) Block with placebo,ext:placebo,1
Radiation: 131I-MIBG,Radiation: 131I-MIBG,radiotracer/imaging,1
"lidocaine, bupivacaine, hyaluronidase , saline","lidocaine, bupivacaine, hyaluronidase , saline",ext:saline,1
"valacyclovir, chenodeoxycholic acid, and enalaprilat, after polysorbate 80 and placebo","valacyclovir, chenodeoxycholic acid, and enalaprilat, after polysorbate 80 and placebo",ext:placebo,1
"pravastatin and chenodeoxycholic acid, after metformin and placebo","pravastatin and chenodeoxycholic acid, after metformin and placebo",ext:placebo,1
Placebo tabletes,Placebo tabletes,ext:placebo,1
Preservative-free saline,Preservative-free saline,ext:saline,1
Placebo of HL301 tablet,Placebo of HL301 tablet,ext:placebo,1
111In-IPN01087 Low dose,111In-IPN01087 Low dose,radiotracer/imaging,1
111In-IPN01087 High dose,111In-IPN01087 High dose,radiotracer/imaging,1
Placebo- C,Placebo- C,ext:placebo,1
Vehicle of LEO 90100 foam,Vehicle of LEO 90100 foam,ext:vehicle,1
2-[18F]-FA PET/CT,2-[18F]-FA PET/CT,radiotracer/imaging,1
Phentolamine Ophthalmic Solution Vehicle (Placebo),Phentolamine Ophthalmic Solution Vehicle (Placebo),ext:placebo,1
Placebo (Added 4/2020),Placebo (Added 4/2020),ext:placebo,1
Placebo (Not used as of 4/2020),Placebo (Not used as of 4/2020),ext:placebo,1
Placebo of HL237 tablet,Placebo of HL237 tablet,ext:placebo,1
Empagliflozin 10mg oral tablet and placebo pen injector matching semaglutide,Empagliflozin 10mg oral tablet and placebo pen injector matching semaglutide,ext:placebo,1
inhalation of %100 oxygen + intravenous midazolam,inhalation of %100 oxygen + intravenous midazolam,ext:oxygen,1
Placebo matching empagliflozin and placebo pen injector matching semaglutide,Placebo matching empagliflozin and placebo pen injector matching semaglutide,ext:placebo,1
Inhalation of Nitrous oxide (Laughing gas) + intravenous saline,Inhalation of Nitrous oxide (Laughing gas) + intravenous saline,ext:saline,1
Sham iPACK block with 20ml normal saline,Sham iPACK block with 20ml normal saline,ext:saline,1
Control Cream with Saline,Control Cream with Saline,ext:saline,1
Placebo Cream with Naloxone,Placebo Cream with Naloxone,ext:placebo,1
Placebo Cream with Saline,Placebo Cream with Saline,ext:placebo,1
"Alpha-interferon, abidol, ribavirin, Buzhong Yiqi plus and minus formula, Huhuang Detoxicity Paste, Baimu Qingre Jiedu Paste and 5% glucose","Alpha-interferon, abidol, ribavirin, Buzhong Yiqi plus and minus formula, Huhuang Detoxicity Paste, Baimu Qingre Jiedu Paste and 5% glucose",ext:glucose,1
Psilocybin + Placebo,Psilocybin + Placebo,ext:placebo,1
WXG placebo,WXG placebo,ext:placebo,1
ALXN2050-matching Placebo,ALXN2050-matching Placebo,ext:placebo,1
Tetramethylpyrazine nitrone (TBN) tablet / Placebo,Tetramethylpyrazine nitrone (TBN) tablet / Placebo,ext:placebo,1
"Placebo, 0.9% saline solution","Placebo, 0.9% saline solution",ext:placebo,1
"Placebo for ""Deficiency of Qi and Yin""","Placebo for ""Deficiency of Qi and Yin""",ext:placebo,1
"Placebo for ""Deficiency of Qi and Yang""","Placebo for ""Deficiency of Qi and Yang""",ext:placebo,1
TCM placebo and conventional drug,TCM placebo and conventional drug,ext:placebo,1
NaCl 0.9% NS,NaCl 0.9% NS,canonical:NaCl 0.9%,1
NaCl 3% HS,NaCl 3% HS,ext:nacl,1
Placebo to FTC/TAF,Placebo to FTC/TAF,ext:placebo,1
"BVL-GSK098 capsule, placebo","BVL-GSK098 capsule, placebo",ext:placebo,1
"Giving 500 mL of normal saline intravenously as a bolus over 20 minutes, followed by 1,000 mL normal saline at 150 mL/hour","Giving 500 mL of normal saline intravenously as a bolus over 20 minutes, followed by 1,000 mL normal saline at 150 mL/hour",ext:saline,1
Magnesium Sulfate & bupivacaine,Magnesium Sulfate & bupivacaine,ext:magnesium sulfate,1
Treatment B (Placebo): Nasal spray with no active dose (Dymista vehicle) at Visit 5,Treatment B (Placebo): Nasal spray with no active dose (Dymista vehicle) at Visit 5,ext:placebo,1
Treatment B (Placebo): Nasal spray with no active dose (Dymista vehicle) at Visit 3,Treatment B (Placebo): Nasal spray with no active dose (Dymista vehicle) at Visit 3,ext:placebo,1
Glucon-D 99.4% (Placebo),Glucon-D 99.4% (Placebo),ext:placebo,1
Pioglitazone placebo tablet,Pioglitazone placebo tablet,ext:placebo,1
Placebo/TMPS,Placebo/TMPS,ext:placebo,1
Placebo 500 mg Tablets + Prednisone 20mg Tablets,Placebo 500 mg Tablets + Prednisone 20mg Tablets,ext:placebo,1
Placebo Azathioprine,Placebo Azathioprine,ext:placebo,1
Sodium Bicarbonate 150Meq/L/D5W Inj,Sodium Bicarbonate 150Meq/L/D5W Inj,ext:sodium bicarbonate,1
Placebo Prednisone,Placebo Prednisone,ext:placebo,1
One day with a dose of active THC cannabis paired with alcohol,One day with a dose of active THC cannabis paired with alcohol,ext:alcohol,1
One day with a dose of placebo cannabis paired with alcohol,One day with a dose of placebo cannabis paired with alcohol,ext:placebo,1
Placebo to Frespaciguat,Placebo to Frespaciguat,ext:placebo,1
Placebo Ribavirin,Placebo Ribavirin,ext:placebo,1
Placebo Nitazoxanide,Placebo Nitazoxanide,ext:placebo,1
Placebo Hydroxychloroquine,Placebo Hydroxychloroquine,ext:placebo,1
control group was induced with midazolam 0.05 mg/kg followed by normal saline maintenance of 0.1 ml·kg-1·h-1,control group was induced with midazolam 0.05 mg/kg followed by normal saline maintenance of 0.1 ml·kg-1·h-1,ext:saline,1
dl-Methylphenidate plus Cannabidiol Placebo solution,dl-Methylphenidate plus Cannabidiol Placebo solution,ext:placebo,1
[18F] AV-133 PET Imaging,[18F] AV-133 PET Imaging,radiotracer/imaging,1
Ondansetron 16 mg with Placebo,Ondansetron 16 mg with Placebo,ext:placebo,1
Sodium Chloride 0.9% or 5% Dextrose Intravenous,Sodium Chloride 0.9% or 5% Dextrose Intravenous,canonical:Sodium Chloride,1
Sodium Chloride 0.9% Injection,Sodium Chloride 0.9% Injection,canonical:Sodium Chloride,1
Gallium 68 Dotatate,Gallium 68 Dotatate,radiotracer/imaging,1
Placebo (for liraglutide),Placebo (for liraglutide),ext:placebo,1
Placebo concentrate for solution for infusion,Placebo concentrate for solution for infusion,ext:placebo,1
Nivolumab-Placebo,Nivolumab-Placebo,ext:placebo,1
Ipilimumab-Placebo,Ipilimumab-Placebo,ext:placebo,1
Placebo of NICOTINE Transdermal patch,Placebo of NICOTINE Transdermal patch,ext:placebo,1
Savolitinib + Placebo,Savolitinib + Placebo,ext:placebo,1
ARD-885 Placebo Tablet,ARD-885 Placebo Tablet,ext:placebo,1
minocycline (200 mg daily) and NAC (1200 mg daily) followed by placebo,minocycline (200 mg daily) and NAC (1200 mg daily) followed by placebo,ext:placebo,1
Placebo followed by minocycline (200 mg daily) and NAC (1200 mg daily),Placebo followed by minocycline (200 mg daily) and NAC (1200 mg daily),ext:placebo,1
OCA Placebo,OCA Placebo,ext:placebo,1
Bezafibrate 400 mg Placebo,Bezafibrate 400 mg Placebo,ext:placebo,1
Bezafibrate 200 mg Placebo,Bezafibrate 200 mg Placebo,ext:placebo,1
placebo for lvarmacitinib,placebo for lvarmacitinib,ext:placebo,1
Finlândia Association + finasteride placebo,Finlândia Association + finasteride placebo,ext:placebo,1
"Misoprostol, placebo","Misoprostol, placebo",ext:placebo,1
Stage 1: Placebo (double-blinded),Stage 1: Placebo (double-blinded),ext:placebo,1
BBT-401-1S or Placebo,BBT-401-1S or Placebo,ext:placebo,1
18F-FMPP,18F-FMPP,radiotracer/imaging,1
TJ107 placebo,TJ107 placebo,ext:placebo,1
Sodium Bicarbonate Tablets,Sodium Bicarbonate Tablets,ext:sodium bicarbonate,1
68Ga-ICAM-1pep,68Ga-ICAM-1pep,radiotracer/imaging,1
sodium bicarbonate Ringer injection,sodium bicarbonate Ringer injection,ext:ringer,1
"Patch, Placebo","Patch, Placebo",ext:placebo,1
Transversus abdominus plane placebo,Transversus abdominus plane placebo,ext:placebo,1
Placebo to risperidone,Placebo to risperidone,ext:placebo,1
Pembrolizumab placebo (saline),Pembrolizumab placebo (saline),ext:placebo,1
Olaparib matching placebo,Olaparib matching placebo,ext:placebo,1
NaCl 9 MG/ML Injectable Solution,NaCl 9 MG/ML Injectable Solution,ext:nacl,1
Placebo (sterline saline 0.9%),Placebo (sterline saline 0.9%),ext:placebo,1
Copper-64 labeled (64Cu-) FAP-2286,Copper-64 labeled (64Cu-) FAP-2286,radiotracer/imaging,1
0.9% physiological saline,0.9% physiological saline,ext:saline,1
"saline infusion, ketoprofen, paracetamol","saline infusion, ketoprofen, paracetamol",ext:saline,1
Vehicle of ADX-102 Topical Dermal Cream,Vehicle of ADX-102 Topical Dermal Cream,ext:vehicle,1
Placebo Bufei Huatan granule,Placebo Bufei Huatan granule,ext:placebo,1
Normal saline 0.9% IV infusion,Normal saline 0.9% IV infusion,ext:saline,1
Placebo Yifei Qinghua granule,Placebo Yifei Qinghua granule,ext:placebo,1
"Nacl 0,9 %","Nacl 0,9 %",ext:nacl,1
"Low Osmolar Contrast Material, 300-399 Mg/Ml Iodine Concentration, Per Ml","Low Osmolar Contrast Material, 300-399 Mg/Ml Iodine Concentration, Per Ml",ext:contrast,1
"700mg BID (1400mg total daily) IMT-002, D-methyldopa, active formulation in capsule or Placebo, microcrystalline cellulose in capsule","700mg BID (1400mg total daily) IMT-002, D-methyldopa, active formulation in capsule or Placebo, microcrystalline cellulose in capsule",ext:placebo,1
"350mg BID (700mg total daily) IMT-002, D-methyldopa, active formulation in capsule or Placebo, microcrystalline cellulose in capsule","350mg BID (700mg total daily) IMT-002, D-methyldopa, active formulation in capsule or Placebo, microcrystalline cellulose in capsule",ext:placebo,1
"1050mg QD (1050mg total daily) IMT-002, D-methyldopa, active formulation in capsule or Placebo, microcrystalline cellulose in capsule","1050mg QD (1050mg total daily) IMT-002, D-methyldopa, active formulation in capsule or Placebo, microcrystalline cellulose in capsule",ext:placebo,1
"1050mg BID (2100mg total daily) IMT-002, D-methyldopa, active formulation in capsule or Placebo, microcrystalline cellulose in capsule","1050mg BID (2100mg total daily) IMT-002, D-methyldopa, active formulation in capsule or Placebo, microcrystalline cellulose in capsule",ext:placebo,1
Placebo to ACV,Placebo to ACV,ext:placebo,1
Placebo to LET,Placebo to LET,ext:placebo,1
Placebo (ziltivekimab),Placebo (ziltivekimab),ext:placebo,1
Placebo to VGCV,Placebo to VGCV,ext:placebo,1
Placebo / Clazakizumab,Placebo / Clazakizumab,ext:placebo,1
KHK4827-Placebo,KHK4827-Placebo,ext:placebo,1
18F-2-fluoro-2-deoxy-D-glucose,18F-2-fluoro-2-deoxy-D-glucose,radiotracer/imaging,1
placebo+chemotherapy,placebo+chemotherapy,ext:placebo,1
Placebo to match CILO,Placebo to match CILO,ext:placebo,1
Placebo-LDE phase 2,Placebo-LDE phase 2,ext:placebo,1
Placebo to match FIR,Placebo to match FIR,ext:placebo,1
Placebo to match SEL,Placebo to match SEL,ext:placebo,1
sterile normal saline,sterile normal saline,ext:saline,1
89Zr-TAK-164,89Zr-TAK-164,radiotracer/imaging,1
Pradigastat Tablets 20mg matching Placebo,Pradigastat Tablets 20mg matching Placebo,ext:placebo,1
Camrelizumab;Pemetrexed and Carboplatin;Placebo,Camrelizumab;Pemetrexed and Carboplatin;Placebo,ext:placebo,1
Pradigastat Tablets 40mg matching Placebo,Pradigastat Tablets 40mg matching Placebo,ext:placebo,1
Placebo for GS3-007a dry suspension,Placebo for GS3-007a dry suspension,ext:placebo,1
Placebo to match Jaktinib,Placebo to match Jaktinib,ext:placebo,1
Placebo to match Hydroxycarbamide,Placebo to match Hydroxycarbamide,ext:placebo,1
Placebo-LDE,Placebo-LDE,ext:placebo,1
Isocaloric dextrose placebo,Isocaloric dextrose placebo,ext:placebo,1
Placebo of FX06,Placebo of FX06,ext:placebo,1
Placebo sugar pill caplet,Placebo sugar pill caplet,ext:placebo,1
Stage 2-Placebo,Stage 2-Placebo,ext:placebo,1
177Lu-EB-PSMA-617,177Lu-EB-PSMA-617,radiotracer/imaging,1
placebo capsule (vitamin c),placebo capsule (vitamin c),ext:placebo,1
0.9% saline and succinyl choline 1mg/ kg,0.9% saline and succinyl choline 1mg/ kg,ext:saline,1
Placebo C,Placebo C,ext:placebo,1
HPP737 or placebo,HPP737 or placebo,ext:placebo,1
AZD9833 placebo,AZD9833 placebo,ext:placebo,1
Placebo Dose 2,Placebo Dose 2,ext:placebo,1
Placebo with Remdesivir,Placebo with Remdesivir,ext:placebo,1
Enteral oxygen therapy,Enteral oxygen therapy,ext:oxygen,1
Placebo 40 mL Saline 0.9%,Placebo 40 mL Saline 0.9%,ext:placebo,1
Placebo (Vehicle Cream),Placebo (Vehicle Cream),ext:placebo,1
"Nicotine patch, oral mecamylamine, placebo","Nicotine patch, oral mecamylamine, placebo",ext:placebo,1
[18F] CFA,[18F] CFA,radiotracer/imaging,1
Traditional Chinese medicine granules placebo,Traditional Chinese medicine granules placebo,ext:placebo,1
MET409 Placebo,MET409 Placebo,ext:placebo,1
Placebo (Cohort 3),Placebo (Cohort 3),ext:placebo,1
Placebo (Cohorts 1 and 2),Placebo (Cohorts 1 and 2),ext:placebo,1
Magnesium sulfate versus ketamine,Magnesium sulfate versus ketamine,ext:magnesium sulfate,1
Placebo Oral Tablet with calcium and clomiphene citrate,Placebo Oral Tablet with calcium and clomiphene citrate,ext:placebo,1
99mTc-pertechnetate aerosol,99mTc-pertechnetate aerosol,radiotracer/imaging,1
VB19055 placebo,VB19055 placebo,ext:placebo,1
[18F]F AraG,[18F]F AraG,radiotracer/imaging,1
64Cu-DOTA-TLX592,64Cu-DOTA-TLX592,radiotracer/imaging,1
Placebo tablets similar to rosuvastatin 20mg tablets,Placebo tablets similar to rosuvastatin 20mg tablets,ext:placebo,1
Vehicle TDS,Vehicle TDS,ext:vehicle,1
"ALK diluent 0,3% human albumin","ALK diluent 0,3% human albumin",ext:diluent,1
[68Ga]Ga-NOTA-RF,[68Ga]Ga-NOTA-RF,radiotracer/imaging,1
TAK-510 Placebo,TAK-510 Placebo,ext:placebo,1
preoperative normal saline inhalation,preoperative normal saline inhalation,ext:saline,1
Fucicort® Lipid cream vehicle,Fucicort Lipid cream vehicle,ext:vehicle,1
PF-06651600 Placebo,PF-06651600 Placebo,ext:placebo,1
Placebo PF-06700841,Placebo PF-06700841,ext:placebo,1
Nalfurafine Hydrochloride+Placebo,Nalfurafine Hydrochloride+Placebo,ext:placebo,1
Placebo of Levosimendan,Placebo of Levosimendan,ext:placebo,1
Placebo with enzalutamide,Placebo with enzalutamide,ext:placebo,1
GX-I7 vehicle,GX-I7 vehicle,ext:vehicle,1
Placebo oral tablet preoperative administration,Placebo oral tablet preoperative administration,ext:placebo,1
Warfarin Potassium placebo,Warfarin Potassium placebo,ext:placebo,1
Edoxaban placebo,Edoxaban placebo,ext:placebo,1
"placebo (control, normal saline)","placebo (control, normal saline)",ext:placebo,1
IV Sodium Chloride 0.9 %,IV Sodium Chloride 0.9 %,canonical:Sodium Chloride,1
"[18F]Fluoropivalate ([18F]Fluoro-2,2-Dimethylpropionic Acid)","[18F]Fluoropivalate ([18F]Fluoro-2,2-Dimethylpropionic Acid)",radiotracer/imaging,1
Dextrose 0,Dextrose 0,ext:dextrose,1
Dextrose 1,Dextrose 1,ext:dextrose,1
Placebo (Harmine),Placebo (Harmine),ext:placebo,1
Placebo (DMT),Placebo (DMT),ext:placebo,1
Saline vials or bags,Saline vials or bags,ext:saline,1
Placebo (NNC0194-0499 ),Placebo (NNC0194-0499 ),ext:placebo,1
Low contrast dose CT,Low contrast dose CT,ext:contrast,1
Conventional CT (contrast agent),Conventional CT (contrast agent),ext:contrast,1
Gemcitabine combined with carboplatin plus placebo,Gemcitabine combined with carboplatin plus placebo,ext:placebo,1
Part A and B: Placebo,Part A and B: Placebo,ext:placebo,1
Corsodyl® Alcohol free -0.2 % Chlorhexidine digluconate,Corsodyl Alcohol free -0.2 % Chlorhexidine digluconate,ext:alcohol,1
placebo for acetaminophen,placebo for acetaminophen,ext:placebo,1
placebo for ibuprofen,placebo for ibuprofen,ext:placebo,1
Active pharmacological placebo,Active pharmacological placebo,ext:placebo,1
SHAPE measurement using the ultrasound contrast agent Lumason (sulfur hexafluoride lipid-type A microspheres),SHAPE measurement using the ultrasound contrast agent Lumason (sulfur hexafluoride lipid-type A microspheres),ext:contrast,1
SHAPE measurement using the ultrasound contrast agent Sonazoid (perfluorobutane microbubbles),SHAPE measurement using the ultrasound contrast agent Sonazoid (perfluorobutane microbubbles),ext:contrast,1
18F-LY3546117 Injection,18F-LY3546117 Injection,radiotracer/imaging,1
[18F]F-AraG Imaging,[18F]F-AraG Imaging,radiotracer/imaging,1
177Lu-Dotatate PRRT,177Lu-Dotatate PRRT,radiotracer/imaging,1
99mTc-Fucoidan SPECT,99mTc-Fucoidan SPECT,radiotracer/imaging,1
Placebo for Brufen,Placebo for Brufen,ext:placebo,1
E2730-matched placebo,E2730-matched placebo,ext:placebo,1
"Placebo of Abilify 2, 5, 10, 15mg (Tablet)","Placebo of Abilify 2, 5, 10, 15mg (Tablet)",ext:placebo,1
ELC (matching placebo for ALIS),ELC (matching placebo for ALIS),ext:placebo,1
Recombinant Respiratory Syncytial Virus Vaccine (BARS13) /placebo,Recombinant Respiratory Syncytial Virus Vaccine (BARS13) /placebo,ext:placebo,1
Deposition of saline,Deposition of saline,ext:saline,1
Previously treated with EN3835 up to 1.74 mg or Placebo in EN3835-210 or the pivotal phase 3 studies,Previously treated with EN3835 up to 1.74 mg or Placebo in EN3835-210 or the pivotal phase 3 studies,ext:placebo,1
Placebo for Camostat Mesilate,Placebo for Camostat Mesilate,ext:placebo,1
NPC-09 placebo,NPC-09 placebo,ext:placebo,1
Poly-ICLC (Hiltonol®) or Placebo,Poly-ICLC (Hiltonol) or Placebo,ext:placebo,1
Placebo 150 mg tablets,Placebo 150 mg tablets,ext:placebo,1
70% Ethanol Alcohol,70% Ethanol Alcohol,ext:ethanol,1
Vaginal placebo,Vaginal placebo,ext:placebo,1
Oral Upadacitinib Placebo,Oral Upadacitinib Placebo,ext:placebo,1
Placebo in combination with nivolumab,Placebo in combination with nivolumab,ext:placebo,1
11C-Trimethoprim,11C-Trimethoprim,radiotracer/imaging,1
Vehicle Opthalmic Solution,Vehicle Opthalmic Solution,ext:vehicle,1
"Methylprednisolone, Placebo","Methylprednisolone, Placebo",ext:placebo,1
