smiles,inchikey,drug_name,chembl_id,drugbank_id,drug_targets_symbols,drug_targets_ensembl,drug_targets_enst,n_targets,n_ensembl_targets,n_enst_targets
CC(=O)O.CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(N)=O)C(C)C,LBIUKNXYUXOWFF-CRYSLBJVSA-N,Afamelanotide,CHEMBL4297213,,MC1R,ENSG00000258839,ENST00000539976;ENST00000555147;ENST00000555427;ENST00000639847;ENST00000928269,1,1,5
CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl,KFYRPLNVJVHZGT-UHFFFAOYSA-N,Amitriptyline,CHEMBL1200964,,SLC6A2;SLC6A4,ENSG00000108576;ENSG00000103546,ENST00000219833;ENST00000379906;ENST00000414754;ENST00000561820;ENST00000566163;ENST00000567238;ENST00000568529;ENST00000568943;ENST00000574918;ENST00000682050;ENST00000865255;ENST00000261707;ENST00000394821;ENST00000401766;ENST00000578609;ENST00000579221;ENST00000650711;ENST00000855095;ENST00000855096;ENST00000855097;ENST00000855098;ENST00000855099;ENST00000855100;ENST00000958994;ENST00000958995,2,2,25
CC(=O)O.CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@@H](C(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,MAYUSRUHXFWITM-GBRHMYBBSA-N,Bremelanotide,CHEMBL4297533,,MC4R,,,1,0,0
CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](C)NC1=O,HDHDTKMUACZDAA-PHNIDTBTSA-N,Setmelanotide,CHEMBL3301624,,MC4R,ENSG00000166603,ENST00000299766,1,1,1
COc1ccccc1OCC(O)COC(N)=O,GNXFOGHNGIVQEH-UHFFFAOYSA-N,Methocarbamol,CHEMBL1201117,,CA1,ENSG00000133742,ENST00000431316;ENST00000517429;ENST00000517590;ENST00000517618;ENST00000518233;ENST00000518341;ENST00000519129;ENST00000519991;ENST00000520093;ENST00000520663;ENST00000520692;ENST00000520990;ENST00000521679;ENST00000521846;ENST00000522389;ENST00000522579;ENST00000522662;ENST00000522814;ENST00000523022;ENST00000523712;ENST00000523858;ENST00000523953;ENST00000524324;ENST00000542576;ENST00000626824;ENST00000875459;ENST00000875460;ENST00000875461,1,1,28
CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,XGMPVBXKDAHORN-RBWIMXSLSA-N,Triamcinolone,CHEMBL1200449,,NR3C1,ENSG00000113580,ENST00000231509;ENST00000343796;ENST00000394464;ENST00000394466;ENST00000415690;ENST00000424646;ENST00000502500;ENST00000502892;ENST00000503201;ENST00000503701;ENST00000504336;ENST00000504572;ENST00000505058;ENST00000508760;ENST00000510170;ENST00000514699;ENST00000652686;ENST00000870492;ENST00000870493;ENST00000870494;ENST00000870495;ENST00000870496;ENST00000870497;ENST00000870498;ENST00000870499;ENST00000935689;ENST00000935690;ENST00000971221;ENST00000971222;ENST00000971223,1,1,30
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,LWQQLNNNIPYSNX-UROSTWAQSA-N,Calcipotriene,CHEMBL1200666,,VDR,ENSG00000111424,ENST00000229022;ENST00000395324;ENST00000546653;ENST00000547065;ENST00000548664;ENST00000549336;ENST00000550314;ENST00000550325;ENST00000891950,1,1,9
CCOc1ccc(Cc2cc([C@@H]3O[C@H](SC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,QKDRXGFQVGOQKS-CRSSMBPESA-N,Sotagliflozin,CHEMBL3039507,,SLC5A1;SLC5A2,ENSG00000100170;ENSG00000140675,ENST00000330498;ENST00000419665;ENST00000562006;ENST00000564197;ENST00000565446;ENST00000567051;ENST00000568188;ENST00000568891;ENST00000569576;ENST00000865380,2,2,10
CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1.O=C1CC[C@@H](C(=O)O)N1,YHIUPZFKHZTLSH-LXYIGGQGSA-N,Ertugliflozin,CHEMBL5315054,,SLC5A2,,,1,0,0
O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,ZKLPARSLTMPFCP-OAQYLSRUSA-N,Levocetirizine,CHEMBL1201191,,HRH1,ENSG00000196639,ENST00000397056;ENST00000413416;ENST00000431010;ENST00000438284;ENST00000903200;ENST00000903201;ENST00000903202;ENST00000903203;ENST00000903204;ENST00000903205;ENST00000903206;ENST00000903207;ENST00000958939;ENST00000958940;ENST00000958941,1,1,15
