NCT_ID,Drug_Clean,Disease,is_cytotoxic,disease_is_oncology,safety_cytotoxic_cap,cap_reason
NCT03657095,Esuberaprost,Pulmonary Arterial Hypertension,0,0,0,
NCT03372603,GSK2798745,Cough,0,0,0,
NCT03628391,haloperidol,Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline,0,0,0,
NCT03506373,ibrutinib,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,0,0,0,
NCT03467217,losartan,NAFLD - Nonalcoholic Fatty Liver Disease,0,0,0,
NCT03572478,rucaparib,Endometrial Cancer,0,1,0,
NCT03530293,valbenazine,Tourette Syndrome,0,0,0,
NCT03523728,Venglustat,"Polycystic Kidney, Autosomal Dominant",0,0,0,
NCT03517566,ZPL389,Atopic Dermatitis,0,0,0,
NCT03690141,eFT508,Prostate Cancer,0,1,0,
NCT03603288,idebenone,Duchenne muscular dystrophy,0,0,0,
NCT03061708,AZD2014,Stomach Neoplasms,0,1,0,
NCT03082833,AZD2014,Cancer of Stomach,0,1,0,
NCT03131206,alectinib,Lung Cancer,0,1,0,
NCT02759120,Antimicrobial therapy: Co-trimoxazole or Doxycycline,Idiopathic Pulmonary Fibrosis,0,0,0,
NCT02587962,birinapant,Solid Tumors,0,1,0,
NCT03028740,Cenicriviroc,Nonalcoholic Steatohepatitis,0,0,0,
NCT03059446,Cenicriviroc,Nonalcoholic Steatohepatitis; Liver Cirrhosis; Non-alcoholic Fatty Liver Disease,0,0,0,
NCT02999854,cyclophosphamide,Blood Cancer,0,1,0,
NCT03170232,Danirixin,Disease Progression in Chronic Obstructive Pulmonary Disease,0,0,0,
NCT03063203,decitabine,Acute Myeloid Leukemia,1,1,1,cytotoxic_managed_toxicity
NCT03071692,K-877,diabeTes,0,0,0,
NCT02972658,Lanabecestat,Alzheimer's Disease,0,0,0,
NCT02932475,metformin,Type 2 Diabetes,0,0,0,
NCT02902484,nintedanib,Advanced Pancreatic Cancer,0,1,0,
NCT03176277,ONO-7475 once daily,Acute Leukemia,0,1,0,
NCT02907918,Palbociclib,Breast Cancer,0,1,0,
NCT03151408,Pracinostat,Acute Myeloid Leukemia,0,1,0,
NCT03053050,oseltamivir,Nonalcoholic Steatohepatitis,0,0,0,
NCT03053063,oseltamivir,Nonalcoholic Steatohepatitis,0,0,0,
NCT02960217,UX007,Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),0,0,0,
NCT03154333,diacerein 1%,epidermolysis bullosa,0,0,0,
NCT02723786,mycophenolic acid,Kidney Transplantation (Status Post),0,0,0,
NCT02771626,CB-839,With Melanoma,0,1,0,
NCT02858362,Ezutromid,Duchenne Muscular Dystrophy,0,0,0,
NCT02641639,Fosbretabulin,Subjects With Platinum Resistant Ovarian Cancer,0,1,0,
NCT02603146,hydroxychloroquine,Rheumatoid Arthritis,0,0,0,
NCT02817906,lumateperone,Alzheimer's Disease,0,0,0,
NCT02703272,ibrutinib,Hodgkin Lymphoma,0,1,0,
NCT02814019,idebenone,Duchenne Muscular Dystrophy (DMD),0,0,0,
NCT02783573,Lanabecestat,Alzheimer's Disease,0,0,0,
NCT02587351,metoprolol,Chronic Obstructive Pulmonary Disease,0,0,0,
NCT02847650,PF-06649751,Parkinson's Disease,0,0,0,
NCT02862600,perhexiline,"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",0,0,0,
NCT02691182,SPN-810,Attention Deficit Hyperactivity Disorder (ADHD),0,0,0,
NCT02779777,Tipifarnib,Myelodysplastic Syndromes,0,0,0,
NCT02687815,vitamin D3,Asthma,0,0,0,
NCT02372578,ASP3662,Painful Diabetic Peripheral Neuropathy (PDPN),0,0,0,
NCT02449655,AZD2014,Advanced Gastric Adenocarcinoma,0,1,0,
NCT02595840,afatinib,Non-small-cell Lung Cancer With Somatic EGFR Mutations,0,1,0,
NCT02497612,Artefenomel,Plasmodium Falciparum Infection,0,0,0,
NCT02699385,Domperidone,Gastroenteritis,0,0,0,
NCT02418000,E6201,AML; MDS; CMML,0,0,0,
NCT02260648,Evacetrapib,Hypercholesterolemia,0,0,0,
NCT02368691,GTx-024,Breast Cancer,0,1,0,
NCT02545283,Idasanutlin,Acute Myeloid Leukemia,0,1,0,
NCT02431663,ketamine,Status Epilepticus,0,0,0,
NCT02443337,LY3023414,Lung Cancer,0,1,0,
NCT02332928,melatonin,for Cancer,0,1,0,
NCT02147834,ranolazine,Angina,0,0,0,
NCT02393209,TAK-117,Lung Cancer,0,1,0,
NCT02449681,TH-4000 (Tarloxotinib),Treatment of Patients With Recurrent or Metastatic Squamous Cell Carcinoma,0,1,0,
NCT02454842,TH-4000 (Tarloxotinib),Lung Cancer,0,1,0,
NCT02418572,testosterone,Infertility; Poor Ovarian Response,0,0,0,
NCT02599961,UX007,Glucose Transporter Type 1 Deficiency Syndrome,0,0,0,
NCT02337478,vincristine,Acute Myeloid Leukemia,1,1,1,cytotoxic_managed_toxicity
NCT02454855,melatonin,Metastatic Cancer,0,1,0,
NCT02095717,Curcumin,Prostate Cancer,0,1,0,
NCT02260635,Evacetrapib,Hypercholesterolemia,0,0,0,
NCT02565147,Heparin,Acute Myocardial Infarction,0,0,0,
NCT02245737,Lanabecestat,Alzheimer's Disease,0,0,0,
NCT02100007,ME-344,Solid Tumors,0,1,0,
NCT02313909,rivaroxaban,Stroke,0,0,0,
NCT02119676,ruxolitinib,Colorectal Cancer,0,1,0,
NCT02058108,telbivudine,Chronic Hepatitis B,0,0,0,
NCT02147873,birinapant,Myelodysplastic Syndrome (MDS); Chronic Myelomonocytic Leukemia (CMML),0,1,0,
NCT01905592,niraparib,Breast Cancer,0,1,0,
NCT02138786,selinexor,Richter's Transformation,0,0,0,
NCT01756053,ABT-089,Nicotine Addiction,0,0,0,
NCT01793298,ASM-024,Asthma,0,0,0,
NCT01907815,Akt Inhibitor GSK2141795,Acute Myeloid Leukemia,0,1,0,
NCT02029274,siponimod,Active Dermatomyositis,0,0,0,
NCT02204332,Cabazitaxel,Metastatic Colorectal Cancer,1,1,1,cytotoxic_managed_toxicity
NCT01980199,fexinidazole,Visceral Leishmaniasis,0,0,0,
NCT01777256,GSK2586184,Systemic Lupus Erythematosus,0,0,0,
NCT01798485,Ganetespib,NSCLC,0,1,0,
NCT01882764,HMPL-004,Ulcerative Colitis,0,0,0,
NCT01805791,HMPL-004,Ulcerative Colitis,0,0,0,
NCT01774604,Indomethacin,Post-ERCP Acute Pancreatitis,0,0,0,
NCT01862224,JNJ-38518168,Rheumatoid Arthritis,0,0,0,
NCT01849874,"MEK162, MEK inhibitor",Peritoneal Cancer,0,1,0,
NCT01852110,MK-7622,Alzheimer's Disease,0,0,0,
NCT01794000,prasugrel,Sickle Cell Disease,0,0,0,
NCT01865084,tadalafil,"Muscular Dystrophy, Duchenne",0,0,0,
NCT02085304,Temodar,Glioblastoma,1,1,1,cytotoxic_managed_toxicity
NCT01944943,Vismodegib,cell Lymphoma,0,1,0,
NCT01870609,defactinib (VS-6063),Malignant Pleural Mesothelioma,0,1,0,
NCT01318642,AMG,Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable,0,1,0,
NCT01646125,AUY922,NSCLC,0,1,0,
NCT01556347,Bortezomib,heart transplant rejection,0,0,0,
NCT01596699,clofarabine,Myeloid Malignancy; Bone Marrow Failure Syndrome; Transfusion-dependent Red Blood Cell (RBC) Defect; Congenital Immunodeficiency; Metabolic Disease; Severe Immune Dysregulation,1,0,1,cytotoxic_managed_toxicity
NCT01571895,DF2156A,Bullous Pemphigoid,0,0,0,
NCT01514864,Dasatinib,Advanced Cancer,0,1,0,
NCT01719861,desipramine,Lung Cancer,0,1,0,
NCT01975727,dexamethasone,Postoperative Nausea and Vomiting; Vomiting,0,0,0,
NCT01687998,Evacetrapib,Cardiovascular Diseases,0,0,0,
NCT01679951,JNJ-38518168,Rheumatoid Arthritis,0,0,0,
NCT01687478,olanzapine,Treatment-resistant Depression,0,0,0,
NCT01771198,simvastatin,Rhinosinusitis,0,0,0,
NCT01436175,lisdexamfetamine,Major Depressive Disorder,0,0,0,
NCT01709734,galeterone,Prostate Cancer,0,1,0,
NCT01348087,AFQ056,Fragile X Syndrome,0,0,0,
NCT01433354,AFQ056,Fragile X Syndrome,0,0,0,
NCT01442714,azacitidine,Leukemia; Acute Myeloid Leukemia (AML); Myelodysplastic Syndromes (MDS),1,1,1,cytotoxic_managed_toxicity
NCT01385293,BKM120,Prostate Cancer,0,1,0,
NCT01230970,BN83495,Breast Cancer,0,1,0,
NCT01216241,daptomycin,Febrile Neutropenia,0,0,0,
NCT01177540,decitabine,Acute Myelogenous Leukemia,1,1,1,cytotoxic_managed_toxicity
NCT01316939,GSK1605786A,Crohn's Disease,0,0,0,
NCT01318993,GSK1605786A,Crohn's Disease,0,0,0,
NCT01405846,gefitinib,Lung Cancer; Head and Neck Cancer,0,1,0,
NCT01103583,hydroxyurea,Multiple Sclerosis,0,0,0,
NCT01467076,Inhaled PGE1,newborn respiratory distress syndrome,0,0,0,
NCT01387958,LCQ908,Hepatitis C,0,0,0,
NCT01275248,ondansetron,Obsessive-compulsive Disorder,0,0,0,
NCT01391611,pazopanib eye drops,Gastrointestinal Stromal Tumor (GIST),0,1,0,
NCT01287221,rifampin,Multiple System Atrophy,0,0,0,
NCT01244191,Tivantinib,Lung Cancer,0,1,0,
NCT01386372,tolvaptan,Hyponatremia,0,0,0,
NCT01362348,pazopanib eye drops,wet macular degeneration,0,0,0,
NCT01130246,"A-002, varespladib methyl",Acute Coronary Syndrome,0,0,0,
NCT01205828,ABT-888,Liver Cancer,0,1,0,
NCT01059448,AMG,rheumatoid arthritis,0,0,0,
NCT01151215,AZD8931,Breast Cancer,0,1,0,
NCT01285310,apremilast,Patients With Rheumatoid Arthritis,0,0,0,
NCT01251354,BN83495,Endometrial Cancer,0,1,0,
NCT01131351,delamanid,Tuberculosis,0,0,0,
NCT00991939,dexamethasone,Immune Thrombocytopenic Purpura,0,0,0,
NCT01067144,gabapentin,Pain; Breast Cancer; Lung Cancer,0,1,0,
NCT01097707,LY500307,Benign Prostatic Hyperplasia,0,0,0,
NCT01038739,mesalamine,Diverticulitis,0,0,0,
NCT00822900,progesterone,Traumatic Brain Injury,0,0,0,
NCT01055067,Tivantinib,Non-CNS Germ Cell Tumors (Seminomas and Nonseminomas),0,1,0,
NCT01012414,paricalcitol,Coronary Artery Disease; Chronic Kidney Disease; Hypovitaminosis D; Secondary Hyperparathyroidism,0,0,0,
NCT01061671,simvastatin,Moderate and Severe COPD,0,0,0,
NCT01227512,tolvaptan,Hyponatremia; Dilutional Hyponatremia; Inappropriate ADH Syndrome,0,0,0,
NCT05611749,duloxetine,Acute Post-operative Pain; Chronic Post Operative Pain; Narcotic Use; Opioid Use; Opioid Addiction,0,0,0,
NCT05695378,KM-819,Multiple System Atrophy,0,0,0,
NCT05583110,tucatinib,Metastatic Breast Cancer,0,1,0,
NCT05930938,Xevinapant,Neck Cancer,0,1,0,
NCT05360264,decitabine,refracTory pAncreaTic cancEr,1,1,1,cytotoxic_managed_toxicity
NCT05036317,empagliflozin,Postprandial Hypoglycemia,0,0,0,
NCT04706507,ganciclovir,respiratory failure,0,0,0,
NCT05055258,KVD824,"Angioedema, Hereditary, Types I and II",0,0,0,
NCT04820842,TAK-994,Narcolepsy Type 1 (NT 1),0,0,0,
NCT04398134,ABI-H2158,Chronic Hepatitis B,0,0,0,
NCT04220411,AR100DP1,"Dermatitis, Atopic",0,0,0,
NCT04214418,Cobimetinib,Gastrointestinal Cancer,0,1,0,
NCT04209621,duvelisib,Ibrutinib-Resistant Chronic Lymphocytic Leukemia,0,1,0,
NCT04220632,Itacitinib,"GVHD,Acute",0,0,0,
NCT04478266,SAR439859,Advanced Breast Cancer,0,1,0,
NCT04096560,TAK-994,Narcolepsy Type 1 (NT1); Narcolepsy Type 2 (NT2),0,0,0,
NCT03718143,AZD1775 only,Acute Myeloid Leukemia,0,1,0,
NCT03953677,Dexmedetomidine,Septic Shock; Vasopressor Resistance,0,0,0,
NCT03377309,perampanel,Amyotrophic Lateral Sclerosis,0,0,0,
NCT04165031,LY3499446,Advanced Solid Tumor; Non-Small Cell Lung Cancer; Colorectal Cancer,0,1,0,
NCT03301415,valganciclovir,Congenital Cytomegalovirus Infection,0,0,0,
NCT03531827,enzalutamide,Prostate Cancer,0,1,0,
NCT03192215,apixaban,Stroke,0,0,0,
NCT03504917,RO5285119,Autism Spectrum Disorder,0,0,0,
NCT03729297,cabozantinib,Gland Cancer,0,1,0,
NCT03297294,EMA401,Painful Diabetic Neuropathy,0,0,0,
NCT03436420,Gemcabene,Non-Alcoholic Fatty Liver Disease,0,0,0,
NCT03397446,lisdexamfetamine,Bulimia Nervosa,0,0,0,
NCT03450707,Thiamine,Cardiac Arrest,0,0,0,
NCT03093272,apalutamide,Prostate Cancer,0,1,0,
NCT03373422,BAY1128688,Endometriosis,0,0,0,
NCT03131453,CNP520,Alzheimer's Disease,0,0,0,
NCT03381118,cytarabine,Acute Myeloid Leukemia,1,1,1,cytotoxic_managed_toxicity
NCT03094195,EMA401,Post-herpetic Neuralgia,0,0,0,
NCT02722369,hydroxychloroquine,Lung Cancer,0,1,0,
NCT02874651,Apatinib,Nasopharyngeal Carcinoma,0,1,0,
