row_idx,NCT_ID,Drug,SMILES,tdc_dili,tdc_ames,tdc_carcinogen,tdc_skin_reaction
2042,NCT02278341,Roxadustat,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,0.7379255212051574,0.4541213381513426,0.3589722172203462,0.4088103191407957
2043,NCT01968213,Rucaparib,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.6512163634842433,0.5538896734643604,0.20917988733202272,0.463696795123318
2044,NCT02038036,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0.590222081261988,0.413448029604937,0.19582549015905013,0.4362206045174722
2045,NCT02087059,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0.590222081261988,0.413448029604937,0.19582549015905013,0.4362206045174722
2046,NCT02292446,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0.590222081261988,0.413448029604937,0.19582549015905013,0.4362206045174722
2047,NCT02320149,Sarecycline,CON(C)Cc1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.6219468352735857,0.3537044990249318,0.19891669322339542,0.4663943414192563
2048,NCT02322866,Sarecycline,CON(C)Cc1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,0.6219468352735857,0.3537044990249318,0.19891669322339542,0.4663943414192563
2049,NCT02067949,Simvastatin,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.24432946524255314,0.44543469419861076,0.15801952517390674,0.4524767835003134
2050,NCT02173457,Sitagliptin,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0.4744718955622351,0.3385919432752331,0.2096276251741803,0.3916533325377943
2051,NCT02226003,Sitagliptin,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,0.4744718955622351,0.3385919432752331,0.2096276251741803,0.3916533325377943
2052,NCT02032875,Sofosbuvir,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,0.662526544996059,0.4022343876340852,0.3216115394668596,0.42274118557839757
2053,NCT02032888,Sofosbuvir,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,0.662526544996059,0.4022343876340852,0.3216115394668596,0.42274118557839757
2054,NCT02032901,Sofosbuvir,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,0.662526544996059,0.4022343876340852,0.3216115394668596,0.42274118557839757
2055,NCT02074514,Sofosbuvir,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,0.662526544996059,0.4022343876340852,0.3216115394668596,0.42274118557839757
2056,NCT02231749,Sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,0.7356889477048818,0.4612743374480266,0.4473913085726911,0.5061631773335438
2057,NCT01824290,Tadalafil,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,0.6988069850583624,0.6077827172487462,0.06920059791090907,0.4692130206979071
2058,NCT02019420,Tedizolid phosphate,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](COP(=O)(O)O)OC4=O)cc3F)cn2)n1,0.7430426957152446,0.4497753381200493,0.1836647745860188,0.4029308437529895
2059,NCT02201108,Teriflunomide,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,0.5148397192157352,0.2824106223612819,0.42882063612672755,0.4230786962269948
2060,NCT02203253,Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,0.4883408827463648,0.2764002862296721,0.10333238649196866,0.5497495467853684
2061,NCT01930591,Ticagrelor,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,0.602106850767401,0.5111669047743921,0.27350915941446546,0.43200886369358005
2062,NCT01911364,Tiotropium,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,0.5116267210456632,0.42157482481388253,0.1178879213757385,0.38587479472295516
2063,NCT01976364,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,0.5593661095017894,0.3842867629570237,0.12657325095068145,0.3255542532012707
2064,NCT02281552,Tofacitinib,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,0.5593661095017894,0.3842867629570237,0.12657325095068145,0.3255542532012707
2065,NCT02251275,Tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,0.6367059975934217,0.32047058983137494,0.17774959632340778,0.3407462380654479
2066,NCT02201251,Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,0.4697562620727954,0.5924104523700838,0.26444865708390564,0.6905765988184643
