aact_name,pref_name,ik14,standard_inchi_key
Epirubicin (post-operative),EPIRUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-VTZDEGQISA-N
S-Amlodipine 2.5mg,LEVAMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-KRWDZBQOSA-N
propranolol gel,PROPRANOLOL,AQHHHDLHHXJYJD,AQHHHDLHHXJYJD-UHFFFAOYSA-N
beraprost sodium(BPS),BERAPROST SODIUM,YTCZZXIRLARSET,YTCZZXIRLARSET-VJRSQJMHSA-M
migalastat HCl 20 mg,MIGALASTAT,LXBIFEVIBLOUGU,LXBIFEVIBLOUGU-DPYQTVNSSA-N
Oral all-trans retinoic acid (ATRA),TRETINOIN,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-YCNIQYBTSA-N
Intravenous Citalopram,CITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-UHFFFAOYSA-N
pramipexole extended release,PRAMIPEXOLE,FASDKYOPVNHBLU,FASDKYOPVNHBLU-ZETCQYMHSA-N
Migalastat HCl,MIGALASTAT,LXBIFEVIBLOUGU,LXBIFEVIBLOUGU-DPYQTVNSSA-N
ibuprofen intravenous,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
Dexamethasone (Oral),DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Methylphenidate Hydrochloride Extended Release Capsules,METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Methylphenidate 40 mg,METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Tobradex,DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Nurofen Plus®,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
NGX-1998,CAPSAICIN,YKPUWZUDDOIDPM,YKPUWZUDDOIDPM-SOFGYWHQSA-N
methylphenidate (Ritalin®),METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
doxorubicin hydrochloride injection,DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
131 I-MIBG,IOBENGUANE I 131,PDWUPXJEEYOOTR,PDWUPXJEEYOOTR-JRGAVVOBSA-N
iv ibuprofen,IBUPROFEN,HEFNNWSXXWATRW,HEFNNWSXXWATRW-UHFFFAOYSA-N
SPD544,METHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-UHFFFAOYSA-N
Lansoprazole (Takepron OD),LANSOPRAZOLE,MJIHNNLFOKEZEW,MJIHNNLFOKEZEW-UHFFFAOYSA-N
Liothyronine Sodium,LIOTHYRONINE,AUYYCJSJGJYCDS,AUYYCJSJGJYCDS-LBPRGKRZSA-N
Atropine (0.01mg/kg),ATROPINE,RKUNBYITZUJHSG,RKUNBYITZUJHSG-SPUOUPEWSA-N
pramipexole extended release tablet,PRAMIPEXOLE,FASDKYOPVNHBLU,FASDKYOPVNHBLU-ZETCQYMHSA-N
Myocet (Non-pegylated liposomal doxorubicin (NPLD)),DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
albuterol inhalation powder,ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Cipralex®,ESCITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-FQEVSTJZSA-N
citalopram (SSRI),CITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-UHFFFAOYSA-N
dexfenfluramine,DEXFENFLURAMINE,DBGIVFWFUFKIQN,DBGIVFWFUFKIQN-VIFPVBQESA-N
D-Ribose Powder,RIBOSE (PYRANOSE),SRBFZHDQGSBBOR,SRBFZHDQGSBBOR-TXICZTDVSA-N
Xenon Inhalation,XENON XE 127,FHNFHKCVQCLJFQ,FHNFHKCVQCLJFQ-AHCXROLUSA-N
Ritalin LA 30 mg,METHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-UHFFFAOYSA-N
Ritalin LA 20 mg,METHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-UHFFFAOYSA-N
Ketoconazole tablet,LEVOKETOCONAZOLE,XMAYWYJOQHXEEK,XMAYWYJOQHXEEK-ZEQKJWHPSA-N
Qutenza (8% capsaicin),CAPSAICIN,YKPUWZUDDOIDPM,YKPUWZUDDOIDPM-SOFGYWHQSA-N
ruxolitinib tablets,RUXOLITINIB,HFNKQEVNSGCOJV,HFNKQEVNSGCOJV-OAHLLOKOSA-N
levofolinate,SODIUM LEVOFOLINATE,FSDMNNPYPVJNAT,FSDMNNPYPVJNAT-NJHZPMQHSA-L
