molregno,gene
1277553,RAF1
674436,RAF1
453578,ADA
1377883,ALDH5A1
1991,ALDH5A1
15217,ALDH5A1
161281,SLC6A4
3283141,SLC6A4
674273,SLC6A4
674661,SLC6A4
674732,SLC6A4
345595,SLC6A4
549372,SLC6A4
674560,SLC6A4
675033,SLC6A4
674546,SLC6A4
1038357,SLC6A4
674749,SLC6A4
675017,SLC6A4
674915,SLC6A4
155045,SLC6A4
675679,SLC6A4
674279,SLC6A4
543658,SLC6A4
2197716,SLC6A4
2335035,SLC6A4
674443,SLC6A4
675107,SLC6A4
674283,SLC6A4
361469,PDGFRB
674436,PDGFRB
485100,PDGFRB
2832031,SSTR1
675409,AVPR1B
550857,PPARG
62701,PPARG
666,PPARG
674711,PPARG
33202,PPARG
674964,PPARG
675369,SCTR
675494,SCTR
3283085,SCTR
675696,PPARA
2994,PPARA
28331,PPARA
16415,PPARA
100310,PPARA
2882636,TXNRD1
674428,XDH
647206,XDH
395607,XDH
394229,VKORC1
33727,VKORC1
394231,VKORC1
674723,VKORC1
674830,VKORC1
94571,ALDH2
361469,KIT
675684,KIT
1277553,KIT
674436,KIT
450864,KIT
485100,KIT
437583,CCR5
78303,HRH2
675002,HRH2
674900,HRH2
1672366,HRH2
1382812,HRH2
1620,HRH2
1383722,HRH2
674939,HRH2
524710,HRH2
377715,DPP4
675125,DPP4
399873,DPP4
675694,DPP4
674350,HTR1A
1510461,HTR1A
674889,HTR1A
155006,HTR1A
1038357,HTR1A
72873,PPIA
675528,SERPINC1
675454,SERPINC1
675574,SERPINC1
675608,SERPINC1
675515,SERPINC1
675473,SERPINC1
675462,SERPINC1
674595,SERPINC1
82983,TYMS
1537653,TYMS
598447,TYMS
368538,TYMS
675627,IGF1R
675637,IGF1R
675577,IL1R1
675607,TSHR
675540,TSHR
675393,MC2R
675376,MC2R
1376054,MC2R
675424,MC2R
93895,DHODH
96107,DHODH
674813,TH
5638,KCNH2
1532645,KCNH2
630439,KCNH2
546564,KCNH2
675464,GRIN2A
705811,GRIN2A
328158,TYR
13474,TYR
674436,FLT3
450864,FLT3
675381,GHR
675591,GHR
675474,GHR
125294,VDR
430124,VDR
674617,VDR
674573,VDR
63252,VDR
1926758,VDR
674761,VDR
453121,CYP19A1
337366,CYP19A1
374548,CYP19A1
674325,CYP19A1
6317,CYP19A1
674773,SCN5A
674563,SCN5A
341382,SCN5A
675609,INSR
675451,INSR
675618,INSR
675534,INSR
675594,INSR
675436,INSR
675446,INSR
675366,INSR
675589,INSR
675383,INSR
675478,INSR
675386,INSR
675441,INSR
675445,INSR
1376661,INSR
35271,ileS
2197586,ileS
674468,HTR1D
1590760,HTR1D
674954,HTR1D
674552,HTR1D
196215,HTR1D
674472,HTR1D
1410635,HTR1D
674983,HTR1D
675101,HTR1D
27111,HTR1D
59519,HTR2A
80209,HTR2A
550303,HTR2A
2261,HTR2A
674587,HTR2A
6216,HTR2A
674749,HTR2A
1535336,HTR2A
152751,HTR2A
155006,HTR2A
1926823,HTR2A
675011,HTR2A
675106,HTR2A
1038355,HTR2A
675003,HTR2A
27610,HTR2A
674370,HTR2A
674443,HTR2A
34197,HTR2A
2197565,HTR2A
468656,HTR2A
1379630,HTR2A
674420,HTR2A
1678284,HTR2A
364141,HTR2A
7714,HTR2A
3859,HTR2A
674937,HTR2A
2335118,HTR2A
13949,HTR2A
5970,HTR2A
674867,HTR2A
209829,HTR2A
2197695,HTR2A
706035,HTR2A
674899,HTR2A
799627,HTR2A
2197704,HTR2A
59519,HTR2C
1369607,HTR2C
674377,HTR2C
674889,HTR2C
27610,HTR2C
674443,HTR2C
34197,HTR2C
2197565,HTR2C
1678284,HTR2C
7714,HTR2C
5970,HTR2C
674867,HTR2C
674749,HTR2C
706035,HTR2C
674899,HTR2C
799627,HTR2C
2197704,HTR2C
1535336,HTR2C
80209,HTR2C
674587,HTR2C
675106,HTR2C
675011,HTR2C
674282,murA
2831993,GCGR
2831992,GCGR
1926908,REN
1285394,PTGFR
132003,PTGFR
674750,PTGFR
674847,PTGFR
674914,PTGFR
699456,PTGFR
674672,ESR2
674712,ESR2
158276,ESR2
675413,NPR1
675008,DPEP1
418401,DNMT3A
675080,DNMT3A
418401,DNMT1
675080,DNMT1
626453,NR3C2
674493,NR3C2
674961,NR3C2
328201,NR3C2
674543,NR3C2
421032,NR3C2
365248,NR3C2
405365,NR3C2
699470,PTGIR
7494,PTGIR
94408,PTGIR
2197566,ADORA2A
675434,CSF3R
675363,CSF3R
86042,SLC29A1
252155,SV2A
675788,KLKB1
675554,KLKB1
244450,RARG
244450,RARB
244450,RARA
23522,fas
33809,GGCX
430546,PPPK-DHPS
675007,PPPK-DHPS
62111,SRC
33576,SRC
317124,SLC6A3
675143,SLC6A3
674328,SLC6A3
543,SLC6A3
8838,SLC6A3
675686,SLC6A3
