IK14,Disease,mendel_clinvar,mendel_ot_causal,mendel_max,depmap_dep_lin,depmap_selectivity,mi_raw,mi_within_disease_pct,mi_genetics,_depmap_has,_mi_route
NDAUXUAQIAJITI,asthma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
KDGFLJKFZUIJMX,"Carcinoma, Non-Small-Cell Lung",0.0,0.0,0.0,-0.07767852166784511,0.010142174799151249,0.07767852166784511,1.0,0.0,1,depmap
KDGFLJKFZUIJMX,Non-Small Cell Lung Cancer,0.0,0.0,0.0,-0.07767852166784511,0.010142174799151249,0.07767852166784511,0.0,0.8786863375545856,1,depmap
KDGFLJKFZUIJMX,Cancer,0.0,0.660273566653157,0.660273566653157,0.0,0.0,0.909034187865218,1.0,0.909034187865218,0,genetics
OFCNXPDARWKPPY,Depression,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
YBBLVLTVTVSKRW,Breast Cancer,0.0,0.0,0.0,-0.0492118307572316,-0.03621052123357958,0.0492118307572316,0.4230769230769231,0.0,1,depmap
YBBLVLTVTVSKRW,Advanced Breast Cancer,0.0,0.0,0.0,-0.0492118307572316,-0.03621052123357958,0.0492118307572316,0.14285714285714285,0.0,1,depmap
QNZCBYKSOIHPEH,Deep Vein Thrombosis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
QNZCBYKSOIHPEH,atrial fibrillation,0.0,0.0,0.0,0.0,0.0,0.0521424845008356,0.75,0.0521424845008356,0,genetics
IMOZEMNVLZVGJZ,Psoriatic Arthritis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
XUKUURHRXDUEBC,Prostate Cancer,0.0,0.0,0.0,-1.079897492512321,-0.26112340718894345,1.079897492512321,0.9285714285714286,0.0,1,depmap
XUKUURHRXDUEBC,schizophrenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
XUKUURHRXDUEBC,Ischemic Stroke,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
YXSLJKQTIDHPOT,Muscle Relaxation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
NMUSYJAQQFHJEW,"Leukemia, Myeloid, Acute",1.0,0.0,1.0,-0.5878162354736143,0.007886673931410626,0.5878162354736143,0.0,0.0,1,depmap
NMUSYJAQQFHJEW,Myelodysplastic Syndromes,0.0,0.0,0.0,0.0,0.0,0.607930797611621,1.0,0.607930797611621,0,genetics
LMEKQMALGUDUQG,Rheumatoid Arthritis,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0,genetics
XUZMWHLSFXCVMG,Uveitis,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0,genetics
XUZMWHLSFXCVMG,"Diabetes Mellitus, Type 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
