zone_name,n_trials,n_fail,observed_fail_rate,mean_pred_prob
"[0,0.05)",62,2,0.03225806451612903,0.041813279748685254
"[0.05,0.10)",965,51,0.05284974093264249,0.07630012007279204
"[0.10,0.20)",1048,122,0.11641221374045801,0.1540727741537026
"[0.20,0.30)",715,210,0.2937062937062937,0.2399133012573229
"[0.30,0.50)",258,125,0.4844961240310077,0.3734459477634054
"[0.50,1]",85,65,0.7647058823529411,0.6070392062198121
