zone_name,n_trials,n_fail,observed_fail_rate,observed_safety_fail_rate,observed_efficacy_fail_rate,mean_pred_prob,mean_p_safety,mean_p_efficacy
GREEN (low-risk),1531,154,0.10058785107772697,0.03375527426160337,0.06784386617100371,0.11191521877104622,0.004351182189825219,0.09199394349377356
ORANGE (high-safety-risk-only),89,33,0.3707865168539326,0.3707865168539326,0.0,0.2529409317715756,0.4601182383457004,0.10068148964732679
YELLOW (high-efficacy-risk),1391,386,0.2774982027318476,0.0019860973187686196,0.2774982027318476,0.2374402255432679,0.00865622995684017,0.2539100486338818
RED (dual-risk),122,2,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.270839404766754,0.4170353700619729,0.2363610993538281
