row_idx,y,p,NCT_ID,safety_cytotoxic_cap,cap_reason,p_adj
133,0,0.00015042299709236073,NCT02847650,0,,0.00015042299709236073
243,1,0.11098852736019371,NCT05695378,0,,0.11098852736019371
244,1,0.8983032021737862,NCT05583110,0,,0.8983032021737862
245,1,0.00015899742335112436,NCT05930938,0,,0.00015899742335112436
246,1,0.0015156078317225547,NCT05360264,1,cytotoxic_managed_toxicity,0.0015156078317225547
248,1,0.0021995397937777895,NCT04706507,0,,0.0021995397937777895
249,1,0.0045826485190261605,NCT05055258,0,,0.0045826485190261605
250,1,0.004853221903767467,NCT04820842,0,,0.004853221903767467
251,1,0.0010598199999821184,NCT04398134,0,,0.0010598199999821184
252,1,0.01949373159870786,NCT04220411,0,,0.01949373159870786
254,1,0.2026412947121631,NCT04209621,0,,0.2026412947121631
256,1,0.4709515922487292,NCT04220632,0,,0.4709515922487292
258,1,0.004853221903767467,NCT04096560,0,,0.004853221903767467
259,1,0.39158102890328783,NCT03718143,0,,0.39158102890328783
260,1,0.041396525615103034,NCT03953677,0,,0.041396525615103034
261,1,0.0012733110829484208,NCT03377309,0,,0.0012733110829484208
262,1,0.0006962341963064652,NCT04165031,0,,0.0006962341963064652
263,1,0.07731825083658336,NCT03301415,0,,0.07731825083658336
264,1,0.43435266809059075,NCT03531827,0,,0.43435266809059075
267,1,0.13152101653607562,NCT03729297,0,,0.13152101653607562
269,1,0.11825151546836721,NCT03436420,0,,0.11825151546836721
272,1,0.7685813523541217,NCT03093272,0,,0.7685813523541217
273,1,0.01324704542297844,NCT03373422,0,,0.01324704542297844
274,1,0.9985867015627559,NCT03131453,0,,0.9985867015627559
275,1,0.0010108372855936922,NCT03381118,1,cytotoxic_managed_toxicity,0.0010108372855936922
277,1,0.002391866740021829,NCT02722369,0,,0.002391866740021829
278,1,0.06003753958096501,NCT02874651,0,,0.06003753958096501
279,1,0.0016698229263600293,NCT02618577,0,,0.0016698229263600293
280,1,0.9968842024598719,NCT02956486,0,,0.9968842024598719
281,1,0.08842155287447814,NCT02711137,0,,0.08842155287447814
282,1,0.010887934305468054,NCT02820519,0,,0.010887934305468054
283,1,0.7967840697522494,NCT02585388,0,,0.7967840697522494
285,1,0.1590719857119018,NCT02439138,0,,0.1590719857119018
286,1,0.018255559750646556,NCT02495233,0,,0.018255559750646556
287,1,0.8005213431714907,NCT02585388,0,,0.8005213431714907
288,1,0.7832175148170792,NCT02457910,0,,0.7832175148170792
289,1,0.002470134365508073,NCT02443194,0,,0.002470134365508073
293,1,0.01569205178178046,NCT02173756,0,,0.01569205178178046
294,1,0.003122917066879188,NCT01954082,0,,0.003122917066879188
295,1,0.17766556780941167,NCT01808950,0,,0.17766556780941167
296,1,0.022123123682483738,NCT01888965,0,,0.022123123682483738
297,1,0.064551226100954,NCT01761747,0,,0.064551226100954
299,1,0.004274749887160236,NCT01266070,0,,0.004274749887160236
300,1,0.9990399885986541,NCT01560585,0,,0.9990399885986541
301,1,0.0005369505227658261,NCT00978432,0,,0.0005369505227658261
302,1,0.0005824740598143395,NCT01792635,0,,0.0005824740598143395
303,1,0.2073328713142551,NCT01631279,0,,0.2073328713142551
305,1,0.014520994013014751,NCT01611662,1,cytotoxic_managed_toxicity,0.014520994013014751
306,1,0.029728340983810886,NCT01319539,0,,0.029728340983810886
307,1,0.0002663495573817339,NCT01351675,0,,0.0002663495573817339
308,1,0.21177712392825104,NCT01491633,0,,0.21177712392825104
309,1,0.5989191299380016,NCT01483690,1,cytotoxic_managed_toxicity,0.15
310,1,0.662691195465112,NCT01483690,1,cytotoxic_managed_toxicity,0.15
311,1,0.01451491336269243,NCT01277510,0,,0.01451491336269243
312,1,0.10677130519936213,NCT01388647,0,,0.10677130519936213
313,1,0.001940165763197331,NCT01151137,0,,0.001940165763197331
314,1,0.2601543932081688,NCT01108458,0,,0.2601543932081688
315,1,0.00021873658182556413,NCT01127542,0,,0.00021873658182556413
316,1,0.0036493763244998334,NCT01179737,0,,0.0036493763244998334
317,1,0.0008274444373702261,NCT01204853,0,,0.0008274444373702261
318,1,0.0008356282379553645,NCT01210443,0,,0.0008356282379553645
319,1,0.07168482515061056,NCT00796510,0,,0.07168482515061056
320,0,0.0004676650143590884,NCT07194694,0,,0.0004676650143590884
321,0,0.0006127451836965085,NCT06576882,0,,0.0006127451836965085
322,0,0.01041739385997233,NCT06318481,0,,0.01041739385997233
323,0,2.2939712110329497e-05,NCT06192108,0,,2.2939712110329497e-05
324,0,2.234256586357865e-05,NCT06415773,0,,2.234256586357865e-05
325,0,0.0006671386229972719,NCT07028697,0,,0.0006671386229972719
326,0,0.0001863613437759153,NCT07289945,0,,0.0001863613437759153
327,0,1.273284247395617e-05,NCT05214911,0,,1.273284247395617e-05
328,0,0.001939479149235183,NCT07326904,0,,0.001939479149235183
329,0,0.0013437761474908716,NCT06590870,0,,0.0013437761474908716
330,0,0.012029023981399777,NCT06206408,0,,0.012029023981399777
331,0,0.002258981930336272,NCT06685679,0,,0.002258981930336272
332,0,0.003094960178171214,NCT05486416,0,,0.003094960178171214
333,0,0.00020976364147522278,NCT06391931,0,,0.00020976364147522278
334,0,0.016329055490589058,NCT06714669,0,,0.016329055490589058
335,0,0.0001787228198815077,NCT06744777,0,,0.0001787228198815077
336,0,7.531730239343013e-05,NCT07289945,0,,7.531730239343013e-05
337,0,0.00943404238478413,NCT06466369,0,,0.00943404238478413
338,0,0.11256616944146222,NCT06258785,0,,0.11256616944146222
339,0,1.659790474837171e-05,NCT05761574,0,,1.659790474837171e-05
340,0,2.3595264306705066e-05,NCT05586971,0,,2.3595264306705066e-05
341,0,2.223969387270113e-05,NCT06088043,0,,2.223969387270113e-05
342,0,2.223969387270113e-05,NCT06108544,0,,2.223969387270113e-05
343,0,6.51695835756895e-05,NCT05861427,0,,6.51695835756895e-05
344,0,0.0009723660147804017,NCT05878093,0,,0.0009723660147804017
345,0,0.0005920994190896799,NCT06165679,0,,0.0005920994190896799
346,0,0.0004749328430268456,NCT06616441,0,,0.0004749328430268456
347,0,9.853010192760304e-05,NCT05682326,0,,9.853010192760304e-05
348,0,0.0006305111226421407,NCT06010693,0,,0.0006305111226421407
349,0,2.9137584172974733e-05,NCT05988671,0,,2.9137584172974733e-05
350,0,1.5281999820966333e-05,NCT05763875,0,,1.5281999820966333e-05
351,0,0.00023000376569133927,NCT05692154,0,,0.00023000376569133927
352,0,0.00041546309639380475,NCT05690698,0,,0.00041546309639380475
353,0,0.00014141738874032787,NCT05754996,0,,0.00014141738874032787
354,0,2.7385200492804707e-05,NCT05794555,0,,2.7385200492804707e-05
355,0,0.023643361825433036,NCT05763823,0,,0.023643361825433036
356,0,0.00024790147452846516,NCT06846307,0,,0.00024790147452846516
357,0,0.0011719404984469307,NCT06103188,0,,0.0011719404984469307
358,0,0.0012679915402349046,NCT05680129,0,,0.0012679915402349046
360,0,0.00015063967938652663,NCT06297954,0,,0.00015063967938652663
361,0,0.006095740013625379,NCT05458609,0,,0.006095740013625379
362,0,0.0008009350129104727,NCT05630833,0,,0.0008009350129104727
363,0,0.00015948967915280663,NCT05680870,0,,0.00015948967915280663
364,0,6.531145281605802e-05,NCT06165679,0,,6.531145281605802e-05
365,0,0.0002645532985001721,NCT06091436,0,,0.0002645532985001721
366,0,0.00032442374696752186,NCT05615025,0,,0.00032442374696752186
367,0,0.0006493936859692488,NCT05836545,0,,0.0006493936859692488
368,0,0.0008143164609307936,NCT06013345,0,,0.0008143164609307936
369,0,0.0028701934368874425,NCT05810038,0,,0.0028701934368874425
370,0,0.0016527835643764615,NCT05779241,0,,0.0016527835643764615
371,0,0.01285957580407152,NCT05773846,0,,0.01285957580407152
372,0,0.0001570494779852527,NCT05615025,0,,0.0001570494779852527
373,0,0.0005624904294890249,NCT06103825,0,,0.0005624904294890249
374,0,0.001901975174313736,NCT05753670,0,,0.001901975174313736
375,0,0.00013247349907376333,NCT06135415,0,,0.00013247349907376333
376,0,0.0035393962975440113,NCT06278402,0,,0.0035393962975440113
377,0,0.0022832684271153958,NCT06215820,0,,0.0022832684271153958
378,0,0.0022832684271153958,NCT06215859,0,,0.0022832684271153958
379,0,0.0007789999555913319,NCT05811676,0,,0.0007789999555913319
380,0,2.7566802900399052e-05,NCT06288685,0,,2.7566802900399052e-05
381,0,3.4459073403704545e-05,NCT06122649,0,,3.4459073403704545e-05
382,0,0.0007403508223385784,NCT05639946,0,,0.0007403508223385784
383,0,0.0009422057594596191,NCT05726097,0,,0.0009422057594596191
384,0,0.0015351968478500887,NCT05174065,0,,0.0015351968478500887
385,0,0.0026179595687742955,NCT05216263,0,,0.0026179595687742955
386,0,8.485046988951651e-05,NCT05311475,0,,8.485046988951651e-05
387,0,8.997568974317644e-05,NCT05292586,0,,8.997568974317644e-05
388,0,0.04065882617921271,NCT05656027,0,,0.04065882617921271
389,0,0.0004676650143590884,NCT05624151,0,,0.0004676650143590884
390,0,0.00027060985145236944,NCT05430217,0,,0.00027060985145236944
391,0,0.00017686350526655579,NCT05485805,0,,0.00017686350526655579
392,0,4.721729525342796e-05,NCT05439616,0,,4.721729525342796e-05
394,0,0.00024130699025642354,NCT05196347,0,,0.00024130699025642354
395,0,0.008043632324222763,NCT05438875,0,,0.008043632324222763
396,0,0.0011579867926398732,NCT05364190,0,,0.0011579867926398732
397,0,0.00011387470759027636,NCT05950061,0,,0.00011387470759027636
398,0,0.002546230156501299,NCT05617820,0,,0.002546230156501299
399,0,0.000687384699780876,NCT05570292,0,,0.000687384699780876
400,0,0.0015473355128468728,NCT05620641,0,,0.0015473355128468728
402,0,0.0010186721174271546,NCT05475665,0,,0.0010186721174271546
403,0,0.0010186721174271546,NCT05476354,0,,0.0010186721174271546
404,0,2.8378926303043863e-05,NCT03941860,0,,2.8378926303043863e-05
405,0,0.009208388095241344,NCT05233566,0,,0.009208388095241344
406,0,8.69722865063222e-06,NCT05291598,0,,8.69722865063222e-06
407,0,0.012858487619492815,NCT05629390,0,,0.012858487619492815
408,0,0.9509896137718113,NCT05167825,0,,0.9509896137718113
409,0,0.00013759715649009607,NCT05137717,0,,0.00013759715649009607
410,0,0.0038647023874724936,NCT05174416,0,,0.0038647023874724936
411,0,0.008001248690266576,NCT05414175,0,,0.008001248690266576
413,0,0.011813190133125597,NCT04979806,0,,0.011813190133125597
414,0,0.004142149133799533,NCT04826692,0,,0.004142149133799533
415,0,0.0002884874046266794,NCT05280496,0,,0.0002884874046266794
416,0,0.0017968254252161483,NCT05413369,0,,0.0017968254252161483
417,0,0.0005743157236275824,NCT05722951,0,,0.0005743157236275824
418,0,0.16650269967408773,NCT05097326,0,,0.16650269967408773
419,0,0.0004820559457610899,NCT05097326,0,,0.0004820559457610899
420,0,0.000266385897986577,NCT05424445,0,,0.000266385897986577
421,0,0.00025523089647934503,NCT05355974,0,,0.00025523089647934503
422,0,0.16235153143682274,NCT05027802,0,,0.16235153143682274
423,0,0.0024136403933980423,NCT05223166,0,,0.0024136403933980423
424,0,0.0168501342986121,NCT05458128,0,,0.0168501342986121
425,0,0.0030221503284872634,NCT05478174,0,,0.0030221503284872634
426,0,0.0028701934368874425,NCT05399485,0,,0.0028701934368874425
427,0,0.0001931601363312334,NCT05369793,0,,0.0001931601363312334
428,0,3.2824777746295165e-05,NCT05301517,0,,3.2824777746295165e-05
429,0,0.0009614035377227085,NCT05950061,0,,0.0009614035377227085
430,0,0.0001278831791633579,NCT05072704,0,,0.0001278831791633579
431,0,3.739153578998908e-05,NCT04937881,0,,3.739153578998908e-05
432,0,0.0027452444654326863,NCT06146478,0,,0.0027452444654326863
433,0,0.06586631634709586,NCT05429671,0,,0.06586631634709586
434,0,0.004517652572433957,NCT07043049,0,,0.004517652572433957
435,0,0.0007418207746178417,NCT05601882,0,,0.0007418207746178417
436,0,5.721946630032591e-05,NCT06248931,0,,5.721946630032591e-05
437,0,0.42794828108503646,NCT05320575,0,,0.42794828108503646
438,0,2.3002109759042334e-05,NCT05658380,0,,2.3002109759042334e-05
439,0,8.203641927931595e-05,NCT06948513,0,,8.203641927931595e-05
441,0,2.3595264306705066e-05,NCT04956432,0,,2.3595264306705066e-05
442,0,0.0026179595687742955,NCT04829747,0,,0.0026179595687742955
443,0,0.006014144700459031,NCT04476420,0,,0.006014144700459031
444,0,0.0004676650143590884,NCT04825704,0,,0.0004676650143590884
445,0,0.0004676650143590884,NCT04974385,0,,0.0004676650143590884
446,0,0.024801444109338027,NCT05171179,0,,0.024801444109338027
448,0,0.000672545137576006,NCT04345796,0,,0.000672545137576006
449,0,0.0009593984172691075,NCT06754410,0,,0.0009593984172691075
450,0,0.0007255768856987632,NCT04847947,0,,0.0007255768856987632
452,0,0.010577247444336326,NCT06120725,0,,0.010577247444336326
455,0,1.712124452185099e-05,NCT04765371,0,,1.712124452185099e-05
456,0,9.956104260512443e-05,NCT04707352,0,,9.956104260512443e-05
457,0,1.9428343953030643e-05,NCT04636671,0,,1.9428343953030643e-05
458,0,7.579435114274593e-05,NCT04655144,0,,7.579435114274593e-05
460,0,2.890040743804606e-05,NCT04976777,0,,2.890040743804606e-05
461,0,2.3533657878426188e-05,NCT05564286,0,,2.3533657878426188e-05
462,0,0.0010064953703925739,NCT05001555,0,,0.0010064953703925739
463,0,3.168331539193183e-05,NCT04940390,0,,3.168331539193183e-05
464,0,0.00020756689063892276,NCT05083923,0,,0.00020756689063892276
465,0,0.03518458825160621,NCT04504812,0,,0.03518458825160621
466,0,0.0018054637350724018,NCT04730037,0,,0.0018054637350724018
467,0,0.00010996240940468556,NCT04345796,0,,0.00010996240940468556
468,0,0.16201590860735107,NCT04934722,0,,0.16201590860735107
470,0,0.43243959917662683,NCT04774380,1,cytotoxic_managed_toxicity,0.15
471,0,0.009307920470423305,NCT04878016,1,cytotoxic_managed_toxicity,0.009307920470423305
473,0,1.0999836971224802e-05,NCT05185284,0,,1.0999836971224802e-05
474,0,0.0004374218404420962,NCT05137184,0,,0.0004374218404420962
475,0,0.003965172901422563,NCT05848492,0,,0.003965172901422563
476,0,0.00014077855958263632,NCT04629703,0,,0.00014077855958263632
477,0,5.743629580068299e-05,NCT04615624,0,,5.743629580068299e-05
478,0,5.743629580068299e-05,NCT04752475,0,,5.743629580068299e-05
479,0,3.069465919816704e-05,NCT05093621,0,,3.069465919816704e-05
480,0,0.01500606297393225,NCT04935359,1,cytotoxic_managed_toxicity,0.01500606297393225
481,0,0.2497435954652381,NCT04842604,0,,0.2497435954652381
482,0,0.0008364047881018992,NCT04918862,0,,0.0008364047881018992
483,0,6.66315667807769e-05,NCT05087615,0,,6.66315667807769e-05
484,0,0.018599003909265836,NCT04750707,0,,0.018599003909265836
485,0,0.00013124179230734924,NCT04819776,0,,0.00013124179230734924
486,0,0.0018402270168915284,NCT04684238,0,,0.0018402270168915284
488,0,0.00014770602294790678,NCT04955158,0,,0.00014770602294790678
490,0,0.00853458618953444,NCT04874935,0,,0.00853458618953444
491,0,0.006667528305390869,NCT07079540,0,,0.006667528305390869
492,0,2.930885541190395e-05,NCT04591353,0,,2.930885541190395e-05
493,0,0.00031164798494372973,NCT04775225,0,,0.00031164798494372973
494,0,5.4155574851461895e-05,NCT04985942,0,,5.4155574851461895e-05
495,0,5.4155574851461895e-05,NCT05061706,0,,5.4155574851461895e-05
496,0,0.00011239148518335739,NCT05061719,0,,0.00011239148518335739
497,0,0.007487183602717362,NCT04786873,0,,0.007487183602717362
500,0,0.0012616425007671323,NCT04221750,0,,0.0012616425007671323
501,0,0.0002262862394220631,NCT04807348,0,,0.0002262862394220631
502,0,0.00045415285584139855,NCT05137184,0,,0.00045415285584139855
503,0,7.614198227476942e-05,NCT04636671,0,,7.614198227476942e-05
505,0,3.0462937678210892e-05,NCT05087615,0,,3.0462937678210892e-05
506,0,0.002191437859301905,NCT04927312,0,,0.002191437859301905
507,0,0.004591898474322212,NCT04624750,0,,0.004591898474322212
508,0,0.00019383147082975934,NCT04515186,0,,0.00019383147082975934
509,0,0.012044380230040112,NCT05065190,0,,0.012044380230040112
510,0,2.5405751371346975e-05,NCT05276596,0,,2.5405751371346975e-05
512,0,0.0003603086945982708,NCT04779242,0,,0.0003603086945982708
513,0,0.00017882577378774105,NCT05087615,0,,0.00017882577378774105
514,0,3.2417349741581295e-05,NCT04765371,0,,3.2417349741581295e-05
515,0,0.026262713758528216,NCT04887506,0,,0.026262713758528216
516,0,0.00010765685295842401,NCT04411836,0,,0.00010765685295842401
517,0,0.00021900917498503505,NCT04711837,0,,0.00021900917498503505
518,0,0.0060709951690180505,NCT04958746,0,,0.0060709951690180505
519,0,6.917163917473624e-05,NCT04940689,0,,6.917163917473624e-05
520,0,0.5186318564863198,NCT04800172,0,,0.5186318564863198
521,0,0.052987263486636,NCT04676334,0,,0.052987263486636
522,0,0.0001270167687825584,NCT04921969,0,,0.0001270167687825584
523,0,0.39799769053561707,NCT04565990,0,,0.39799769053561707
524,0,0.10863382944324569,NCT04304261,0,,0.10863382944324569
525,0,0.0045589537114774665,NCT06413082,0,,0.0045589537114774665
526,0,0.00724690025560278,NCT04411836,0,,0.00724690025560278
527,0,4.8132879032662096e-05,NCT05385744,0,,4.8132879032662096e-05
528,0,1.6469341371983173e-05,NCT05093621,0,,1.6469341371983173e-05
529,0,0.0007782583667434611,NCT04635007,0,,0.0007782583667434611
531,0,6.518125843934731e-05,NCT04707768,0,,6.518125843934731e-05
534,0,0.013076630989942403,NCT05033886,0,,0.013076630989942403
536,0,0.0017555576731133609,NCT04472429,1,cytotoxic_managed_toxicity,0.0017555576731133609
538,0,0.00010352749775222995,NCT04429022,0,,0.00010352749775222995
540,0,0.00017244457280559186,NCT04401579,0,,0.00017244457280559186
544,0,0.0043289658653383025,NCT05175066,0,,0.0043289658653383025
545,0,0.00015766736755961497,NCT04258839,0,,0.00015766736755961497
546,0,0.1435624246352961,NCT03342027,0,,0.1435624246352961
547,0,0.008505265357044548,NCT04388319,0,,0.008505265357044548
548,0,0.54729361996338,NCT04338269,0,,0.54729361996338
