seed,fold,n,pos,single,single_prot,noisy_or
42,0,724,25,0.7241201716738197,0.7789985693848355,0.7399713876967096
42,1,548,22,0.7897511234013135,0.785257518147252,0.7821465606636708
42,2,720,22,0.6632912216723105,0.6738082834071374,0.6729617087783277
42,3,516,15,0.5827677977378576,0.586360612109115,0.734397870924817
42,4,585,16,0.8535259226713533,0.8472649384885764,0.8558875219683655
123,0,655,31,0.6800299834574027,0.7061879652605458,0.7642421422663358
123,1,514,13,0.6810993397819746,0.6672040534315984,0.7415937356057116
123,2,638,18,0.7116935483870968,0.7501344086021505,0.6637544802867383
123,3,662,16,0.8805630804953559,0.8616002321981423,0.7735584365325078
123,4,624,22,0.7151917849592269,0.7376925400181213,0.7261778918755664
456,0,670,23,0.7451784154290706,0.7584167730663263,0.7897654727504871
456,1,706,21,0.5867917970107751,0.5504344803614877,0.6371915189433437
456,2,525,17,0.6959240389069014,0.7336729967577582,0.6963872163038443
456,3,496,17,0.7020139997543903,0.6832248557042859,0.798907036718654
456,4,696,22,0.7283854869166442,0.7529336390612354,0.8806649581872135
789,0,489,18,0.7534795942439254,0.7587874498702524,0.855036565227648
789,1,595,32,0.5892817495559503,0.673734458259325,0.6997946269982238
789,2,596,16,0.8142780172413793,0.8421875,0.809375
789,3,704,11,0.725108225108225,0.7404565131837859,0.7640692640692641
789,4,709,23,0.6847192293066295,0.7255989352262644,0.7045569780707314
2024,0,598,21,0.7767186597342577,0.7876949740034662,0.8019724354213089
2024,1,682,25,0.750958904109589,0.7473059360730593,0.7445966514459665
2024,2,582,20,0.6767348754448399,0.6568950177935943,0.5991992882562278
2024,3,620,17,0.61335479465418,0.6596917373914739,0.7153448444054238
2024,4,611,17,0.7090017825311943,0.7233115468409587,0.7745593186769658
