NCT_ID,Disease,y,p,p_adj,is_offmech
NCT03170232,Disease Progression in Chronic Obstructive Pulmonary Disease,1,0.6030690816897162,0.6030690816897162,0
NCT03063203,Acute Myeloid Leukemia,1,0.5466949078099353,0.5466949078099353,0
NCT03071692,diabeTes,1,0.6987983596521976,0.6987983596521976,0
NCT02972658,Alzheimer's Disease,1,0.9928017374464057,0.9928017374464057,0
NCT02932475,Type 2 Diabetes,1,0.02835277196181335,0.02835277196181335,0
NCT02902484,Advanced Pancreatic Cancer,1,0.3238496099728055,0.3238496099728055,0
NCT03176277,Acute Leukemia,1,0.5270372208606385,0.5270372208606385,0
NCT02907918,Breast Cancer,1,0.031778353219325234,0.031778353219325234,0
NCT03151408,Acute Myeloid Leukemia,1,0.9692270404669914,0.9692270404669914,0
NCT02960217,Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),1,0.6540709937497841,0.6540709937497841,0
NCT03154333,epidermolysis bullosa,1,0.5929195422495825,0.5929195422495825,0
NCT02771626,With Melanoma,1,0.4463208477877593,0.4463208477877593,0
NCT02858362,Duchenne Muscular Dystrophy,1,0.46237462382548883,0.46237462382548883,0
NCT02641639,Subjects With Platinum Resistant Ovarian Cancer,1,0.41985628935334585,0.41985628935334585,0
NCT02603146,Rheumatoid Arthritis,1,0.688393915074254,0.688393915074254,0
NCT02817906,Alzheimer's Disease,1,0.9812754696675082,0.9812754696675082,0
NCT02703272,Hodgkin Lymphoma,1,0.3996993080658898,0.3996993080658898,0
NCT02814019,Duchenne Muscular Dystrophy (DMD),1,0.4668707257504682,0.4668707257504682,0
NCT02783573,Alzheimer's Disease,1,0.9958674307862662,0.9958674307862662,0
NCT02587351,Chronic Obstructive Pulmonary Disease,1,0.31594875136845246,0.5,1
NCT02847650,Parkinson's Disease,0,0.1823043385685303,0.1823043385685303,0
NCT02862600,"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",1,0.42051612217627177,0.42051612217627177,0
NCT02691182,Attention Deficit Hyperactivity Disorder (ADHD),1,0.3004257163588317,0.3004257163588317,0
NCT02779777,Myelodysplastic Syndromes,1,0.32416617512226986,0.32416617512226986,0
NCT02687815,Asthma,1,0.4496318370385374,0.5,1
NCT02372578,Painful Diabetic Peripheral Neuropathy (PDPN),1,0.570474879235278,0.570474879235278,0
NCT02449655,Advanced Gastric Adenocarcinoma,1,0.993437290156628,0.993437290156628,0
NCT02449655,Advanced Gastric Adenocarcinoma,1,0.9950687534774861,0.9950687534774861,0
NCT02699385,Gastroenteritis,1,0.5760703761036556,0.5760703761036556,0
NCT02418000,AML; MDS; CMML,1,0.6326928357697851,0.6326928357697851,0
NCT02368691,Breast Cancer,1,0.3477674933327991,0.3477674933327991,0
NCT02545283,Acute Myeloid Leukemia,1,0.9723313026267494,0.9723313026267494,0
NCT02443337,Lung Cancer,1,0.7997127472600616,0.7997127472600616,0
NCT02332928,for Cancer,1,0.4763172989764951,0.4763172989764951,0
NCT02393209,Lung Cancer,1,0.5546093628291077,0.5546093628291077,0
NCT02449681,Treatment of Patients With Recurrent or Metastatic Squamous Cell Carcinoma,1,0.5414111690764161,0.5414111690764161,0
NCT02454842,Lung Cancer,1,0.33455823341189606,0.33455823341189606,0
NCT02418572,Infertility; Poor Ovarian Response,1,0.5076614217899252,0.5076614217899252,0
NCT02599961,Glucose Transporter Type 1 Deficiency Syndrome,1,0.6233357054193389,0.6233357054193389,0
NCT02454855,Metastatic Cancer,1,0.6615479458849294,0.6615479458849294,0
NCT02095717,Prostate Cancer,1,0.7928258223194358,0.7928258223194358,0
NCT02245737,Alzheimer's Disease,1,0.9945042390689587,0.9945042390689587,0
NCT02100007,Solid Tumors,1,0.9492646806389086,0.9492646806389086,0
NCT02313909,Stroke,1,0.9850865827815184,0.9850865827815184,0
NCT02119676,Colorectal Cancer,1,0.7526272018872155,0.7526272018872155,0
NCT02147873,Myelodysplastic Syndrome (MDS); Chronic Myelomonocytic Leukemia (CMML),1,0.4328651457258956,0.4328651457258956,0
NCT02138786,Richter's Transformation,1,0.40475696002746053,0.40475696002746053,0
NCT01756053,Nicotine Addiction,1,0.6185962275722904,0.6185962275722904,0
NCT01793298,Asthma,1,0.2951644421319136,0.2951644421319136,0
NCT01907815,Acute Myeloid Leukemia,1,0.9920411731520261,0.9920411731520261,0
NCT02029274,Active Dermatomyositis,1,0.6323597368193844,0.6323597368193844,0
