row_idx,y,p,NCT_ID,Disease,Drug_Clean,Arm_Label,Phase,disease_is_oncology,is_combination,is_surrogate_pass,is_onc_cytotoxic_mono,efficacy_surgical_pass,surgical_reason,endpoint_physiology_score,is_offmech,effect_size_uncertainty,confidence_tier,p_adj
885,0,0.5697563999273383,NCT01651182,Perioperative Bleeding,Tranexamic Acid,Dose 1,Phase 3,0,0,0,0,0,,0.0,0,,unscored,0.5697563999273383
886,0,0.07081673069774559,NCT01652729,Type 2 Diabetes Mellitus,Sitagliptin,Sitagliptin 100mg,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.07081673069774559
887,0,0.018509810597716298,NCT01653262,epilepsy,Brivaracetam,Brivaracetam,Phase 3,0,0,0,0,0,,0.0,0,48.0,reliable,0.018509810597716298
888,1,0.29365000636744043,NCT01656252,Acute Myeloid Leukemia,Phase I- Cytarabine & Eltrombopag,Phase I- Cytarabine & Eltrombopag,Phase 2,1,0,0,0,0,,,0,24.0,reliable,0.29365000636744043
889,0,0.10160071322810471,NCT01657448,dysuria,Methenamine; Methylthioninium chloride,"Methenamine, Methylthioninium",Phase 3,0,1,0,0,0,,0.0,0,44.0,reliable,0.10160071322810471
890,0,0.30380368449406187,NCT01657448,dysuria,Phenazopyridine,Phenazopyridine,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.30380368449406187
891,0,0.08621441094405419,NCT01657604,Chronic Myeloid Leukemia,Nilotinib,Nilotinib,Phase 3,1,0,0,0,0,,0.0,0,18.0,reliable,0.08621441094405419
892,1,0.5697563999273383,NCT01658124,Gastrointestinal Bleeding,Tranexamic Acid,Tranexamic acid,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.5697563999273383
893,0,0.1270118783392472,NCT01661101,Myocardial Injury After Noncardiac Surgery (MINS),Dabigatran,Dabigatran,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.1270118783392472
894,0,0.19058847312824745,NCT01661101,Myocardial Injury After Noncardiac Surgery (MINS),Omeprazole,Omeprazole,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.19058847312824745
895,0,0.15318840222820312,NCT01662310,schizophrenia,Paliperidone,Paliperidone: Double blind (DB) phase,Phase 3,0,0,0,0,0,,0.0,0,70.0,low_confidence,0.15318840222820312
896,0,0.012092281237924165,NCT01663233,Essential Hypertension,Sacubitril; Valsartan,LCZ696 and amlodipine,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,18.0,reliable,0.012092281237924165
897,1,0.4735802735447354,NCT01664637,Diabetic Gastroparesis,Tzp-102,TZP-102 three times a day,Phase 2,0,0,0,0,0,,,0,,unscored,0.4735802735447354
898,0,0.1681594629517572,NCT01667419,Mutant Melanoma,Vemurafenib,Cohort 1 Vemurafenib,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.1681594629517572
899,0,0.08639792510684692,NCT01668797,schizophrenia,Brexpiprazole,Brexpiprazole (OPC-34712),Phase 3,0,0,0,0,0,,0.0,0,70.0,low_confidence,0.08639792510684692
900,0,0.007377682834855989,NCT01674530,chronic idiopathic constipation,Lubiprostone,Lubiprostone,Phase 3,0,0,0,0,0,,0.0,0,75.0,low_confidence,0.007377682834855989
902,0,0.0029089254055998763,NCT01675076,Hematoma,Dabigatran,Continued NOAC [Dabigatran],Phase 3,0,0,0,0,0,,,0,,unscored,0.0029089254055998763
903,0,0.006716523545034847,NCT01675076,Hematoma,Rivaroxaban,Continued NOAC [Rivaroxaban],Phase 3,0,0,0,0,0,,,0,,unscored,0.006716523545034847
904,0,0.00671974996026814,NCT01675076,Hematoma,Apixaban,Continued NOAC [Apixaban],Phase 3,0,0,0,0,0,,,0,,unscored,0.00671974996026814
905,0,0.007947648035409588,NCT01675167,Low back pain,Buprenorphine,Buprenorphine HCl Buccal Film,Phase 3,0,0,0,0,0,,0.0,0,84.0,low_confidence,0.007947648035409588
906,1,0.5303729029567628,NCT01677182,Bipolar Disorder,Ramelteon,Ramelteon (Dose 2),Phase 3,0,0,0,0,0,,,0,75.0,low_confidence,0.5303729029567628
907,0,0.003755715600472906,NCT01677923,Obesity,Metformin,Control with Metformin,Phase 3,0,0,0,0,0,,0.0,0,37.0,reliable,0.003755715600472906
908,1,0.10079547128172872,NCT01679951,Rheumatoid Arthritis,Toreforant,JNJ-38518168 (10 mg/d),Phase 2,0,1,0,0,0,,0.0,0,52.0,low_confidence,0.10079547128172872
909,0,0.17348123257362072,NCT01682083,Melanoma,Dabrafenib; Trametinib,Dabrafenib and trametinib,Phase 3,1,1,0,0,0,,0.0,0,,unscored,0.17348123257362072
910,0,0.003647422989644703,NCT01682759,Type 2 Diabetes Mellitus,Omarigliptin,Omarigliptin,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.003647422989644703
911,0,0.005462779686917638,NCT01682759,Type 2 Diabetes Mellitus,Glimepiride,Glimepiride,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.005462779686917638
912,1,0.3061944508718052,NCT01687478,Treatment-resistant Depression,Olanzapine,Olanzapine + Fluoxetine,Phase 3,0,1,0,0,0,,0.0,0,78.0,low_confidence,0.3061944508718052
913,1,0.5514549706767999,NCT01687998,Cardiovascular Diseases,Evacetrapib,Evacetrapib,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.5514549706767999
914,0,0.009815523530700988,NCT01689519,Metastatic Melanoma,Cobimetinib,Cobimetinib + Vemurafenib,Phase 3,1,1,0,0,0,,0.0,0,15.0,reliable,0.009815523530700988
915,0,0.054192760671583406,NCT01690299,psoriasis,Apremilast,Apremilast 30 mg plus placebo injection,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,45.0,reliable,0.054192760671583406
916,0,0.007966026780358905,NCT01691885,chronic obstructive pulmonary disease,Fluticasone Furoate; Vilanterol,A/B,Phase 3,0,1,0,0,0,,0.0,0,50.0,low_confidence,0.007966026780358905
917,0,0.05919625249547027,NCT01692678,liposarcoma or leiomyosarcoma,Trabectedin,Trabectedin (Part 1 and Part 2),Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.05919625249547027
918,0,0.03177752886441175,NCT01692678,liposarcoma or leiomyosarcoma,Dacarbazine,Dacarbazine (Part 2),Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.03177752886441175
919,0,0.018130208498598463,NCT01694277,Gastrointestinal Stromal Tumors,Masitinib,Masitinib,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.018130208498598463
920,0,0.008980010485149296,NCT01694277,Gastrointestinal Stromal Tumors,Sunitinib,Sunitinib,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.008980010485149296
921,0,0.19153694655293405,NCT01694732,Chronic Obstructive Pulmonary Disease,Varenicline,varenicline with counselling,Phase 3,0,0,0,0,0,,0.0,0,50.0,low_confidence,0.19153694655293405
922,0,0.4899815313245709,NCT01695135,Prostate Cancer,Abiraterone acetate,Abiraterone acetate plus prednisone,Phase 3,1,1,0,0,0,,0.0,0,22.0,reliable,0.4899815313245709
923,0,0.7510321355476672,NCT01696643,Opioid-Induced Constipation,Bevenopran,CB-5945,Phase 3,0,0,0,0,0,,,0,,unscored,0.7510321355476672
924,0,0.1835342765881904,NCT01697267,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis; Microscopic Polyangiitis; Wegener Granulomatosis,Azathioprine,Azathioprine Maintenance,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.1835342765881904
925,0,0.980845164375593,NCT01697566,Endometrial Cancer,Metformin,Metformin,Phase 3,1,0,1,0,1,endpoint_surrogate_pass,0.0,0,15.0,reliable,0.15
927,0,0.0831147865114203,NCT01702298,Type 2 Diabetes Mellitus,Sitagliptin; Simvastatin,Sitagliptin 100 mg/simvastatin 40 mg FDC,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.0831147865114203
928,0,0.022290655906716843,NCT01702532,smoking cessation,Nicotine,Nicotine Mouth Film,Phase 3,0,0,0,0,0,,0.0,0,59.0,low_confidence,0.022290655906716843
929,0,0.062405680550125,NCT01703221,Type 2 Diabetes Mellitus,Sitagliptin,Sitagliptin (Phase A) switching to Omarigliptin (Phase B),Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.062405680550125
930,0,0.003647422989644703,NCT01704261,Type 2 Diabetes Mellitus,Omarigliptin,Omarigliptin,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.003647422989644703
931,1,0.5146184377087457,NCT01704651,Ovarian Cancer; Fallopian Tube Cancer; Peritoneal Cancer,Alvimopan,Alvimopan,Phase 3,1,0,0,0,0,,,0,,unscored,0.5146184377087457
932,0,0.0036561365363690737,NCT01705145,cystic fibrosis,Ivacaftor,Ivacaftor,Phase 3,0,0,0,0,0,,0.0,0,38.0,reliable,0.0036561365363690737
934,0,0.0036561365363690737,NCT01707290,cystic fibrosis,Ivacaftor,Ivacaftor,Phase 3,0,0,0,0,0,,0.0,0,38.0,reliable,0.0036561365363690737
935,1,0.2593586539811642,NCT01707953,orthostatic hypotension,Midodrine,Midodrine,Phase 3,0,0,0,0,0,,0.0,0,18.0,reliable,0.2593586539811642
936,0,0.11742973450734943,NCT01708330,Nonviable pregnancy,Lidocaine,Lidocaine gel,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.11742973450734943
937,1,0.389694428501525,NCT01708798,Anthracycline-Induced Cardiotoxicity,Eplerenone,Eplerenone,Phase 2/3,0,0,0,0,0,,,0,,unscored,0.389694428501525
940,0,0.017455465847294686,NCT01709513,Hypercholesterolemia,Ezetimibe,Ezetimibe,Phase 3,0,0,0,0,0,,,0,22.0,reliable,0.017455465847294686
941,1,0.15311130692508465,NCT01709734,Prostate Cancer,galeterone,Dose Confirmation,Phase 2,1,0,0,0,0,,0.0,0,22.0,reliable,0.15311130692508465
942,0,0.05385119514571646,NCT01710137,nicotine dependence,Varenicline,Varenicline,Phase 3,0,0,0,0,0,,0.0,0,59.0,low_confidence,0.05385119514571646
943,0,0.19676887933156761,NCT01710358,Rheumatoid Arthritis,Baricitinib,Baricitinib,Phase 3,0,1,0,0,0,,0.0,0,52.0,low_confidence,0.19676887933156761
944,0,0.10509398905806829,NCT01711359,Rheumatoid Arthritis,Baricitinib; Methotrexate,Baricitinib + MTX,Phase 3,0,1,0,0,0,,0.0,0,52.0,low_confidence,0.10509398905806829
945,0,0.19676887933156761,NCT01711359,Rheumatoid Arthritis,Baricitinib,Baricitinib,Phase 3,0,1,0,0,0,,0.0,0,52.0,low_confidence,0.19676887933156761
946,1,0.9645074661333952,NCT01712074,Alzheimer's Disease,PF-05212377 (SAM-760),30 mg QD of PF-05212377,Phase 2,0,0,0,0,0,,0.0,0,60.0,low_confidence,0.9645074661333952
947,0,0.01631015924282233,NCT01712789,Multiple Myeloma,Pomalidomide,Pomalidomide plus Dexamethasone,Phase 3,1,1,0,0,0,,0.0,0,24.0,reliable,0.01631015924282233
948,0,0.5025252788936306,NCT01715207,Marfan syndrome,Aliskiren,Atenolol & Aliskiren,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,44.0,reliable,0.15
949,0,0.4899815313245709,NCT01715285,Prostate Cancer,Abiraterone acetate,Abiraterone acetate + Prednisone + ADT,Phase 3,1,1,0,0,0,,0.0,0,22.0,reliable,0.4899815313245709
951,1,0.3150237597131543,NCT01715805,Major Depressive Disorder,Cariprazine,Cariprazine + ADT (Double-Blind),Phase 3,0,0,0,0,0,,0.0,0,90.0,low_confidence,0.3150237597131543
953,0,0.019300925092380822,NCT01716624,neurogenic bladder,Oxybutynin,Oxybutynin,Phase 3,0,0,0,0,0,,0.0,0,54.0,low_confidence,0.019300925092380822
954,0,0.003647422989644703,NCT01717313,Type 2 Diabetes Mellitus,Omarigliptin,Omarigliptin,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.003647422989644703
957,0,0.6564008283104539,NCT01719770,Post-operative Shivering (Hypothermia),rocuronium,Rocuronium,Phase 3,0,0,0,0,0,,0.0,0,,unscored,0.6564008283104539
958,1,0.702910629969748,NCT01719861,Lung Cancer,Desipramine HCL,Desipramine HCl,Phase 2,1,0,0,0,0,,0.0,0,22.0,reliable,0.702910629969748
959,0,0.19676887933156761,NCT01721044,Rheumatoid Arthritis,Baricitinib,Baricitinib 2 mg,Phase 3,0,1,0,0,0,,0.0,0,52.0,low_confidence,0.19676887933156761
960,0,0.19676887933156761,NCT01721057,Rheumatoid Arthritis,Baricitinib,Baricitinib 2 mg,Phase 3,0,1,0,0,0,,0.0,0,52.0,low_confidence,0.19676887933156761
961,0,0.00776741814502372,NCT01721772,Metastatic Melanoma,Dacarbazine,"Dacarbazine, 1000 mg/m^2",Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.00776741814502372
962,0,0.004391230289422007,NCT01722487,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,Ibrutinib,Ibrutinib,Phase 3,1,0,0,0,0,,0.0,0,18.0,reliable,0.004391230289422007
963,0,0.011421342404319204,NCT01722487,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,Chlorambucil,Chlorambucil,Phase 3,1,0,0,0,0,,0.0,0,18.0,reliable,0.011421342404319204
964,0,0.39206020562319754,NCT01723904,Parkinson's Disease,Rotigotine,Rotigotine,Phase 3,0,0,0,0,0,,0.0,0,58.0,low_confidence,0.39206020562319754
965,0,0.008995539501143086,NCT01724346,Chronic Lymphocytic Leukemia,Ibrutinib,Chlorambucil,Phase 3,1,0,0,0,0,,0.0,0,24.0,reliable,0.008995539501143086
966,0,0.9408177099141982,NCT01724450,Anthracycline-Induced Cardiotoxicity,Carvedilol,Carvedilol,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,1.0,0,,unscored,0.15
967,0,0.008391419808136544,NCT01724528,Tumor Lysis Syndrome,Febuxostat,Febuxostat,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.008391419808136544
968,0,0.005923722387699499,NCT01724528,Tumor Lysis Syndrome,Allopurinol,Allopurinol,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.005923722387699499
971,0,0.24364519040378507,NCT01727726,Major Depressive Disorder,Brexpiprazole,Brexpiprazole + ADT,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,90.0,low_confidence,0.15
972,0,0.018509810597716298,NCT01728077,epilepsy,Brivaracetam,Brivaracetam,Phase 3,0,0,0,0,0,,0.0,0,48.0,reliable,0.018509810597716298
973,0,0.07487669083661899,NCT01728805,Cutaneous T-Cell Lymphoma,Vorinostat,Vorinostat,Phase 3,1,0,0,0,0,,0.0,0,18.0,reliable,0.07487669083661899
974,0,0.009390291977022514,NCT01729871,Atrial Fibrillation,rivaroxaban,rivaroxaban,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.009390291977022514
975,0,0.01972531548527417,NCT01730040,Hypercholesterolemia,Ezetimibe,Ezetimibe 10 mg + Atorvastatin 20 mg,Phase 3,0,1,0,0,0,,,0,22.0,reliable,0.01972531548527417
976,0,0.02555843618943158,NCT01730040,Hypercholesterolemia,Rosuvastatin,Rosuvastatin 40 mg,Phase 3,0,0,0,0,0,,,0,22.0,reliable,0.02555843618943158
977,0,0.01972531548527417,NCT01730040,Hypercholesterolemia,Ezetimibe,Ezetimibe 10 mg + Atorvastatin 40 mg,Phase 3,0,1,0,0,0,,,0,22.0,reliable,0.01972531548527417
978,0,0.01972531548527417,NCT01730053,Hypercholesterolemia,Ezetimibe,Ezetimibe 10 mg + Rosuvastatin 10 mg,Phase 3,0,1,0,0,0,,0.0,0,22.0,reliable,0.01972531548527417
979,0,0.01972531548527417,NCT01730053,Hypercholesterolemia,Ezetimibe,Ezetimibe 10 mg + Rosuvastatin 20 mg,Phase 3,0,1,0,0,0,,0.0,0,22.0,reliable,0.01972531548527417
980,1,0.024664285323553775,NCT01731431,Diabetes,Glyburide,Glyburide,Phase 3,0,0,0,0,0,,0.0,0,25.0,reliable,0.024664285323553775
982,1,0.03479639855366136,NCT01732822,Peripheral Artery Disease,Ticagrelor,Ticagrelor,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.03479639855366136
983,0,0.9937294668586102,NCT01732822,Peripheral Artery Disease,Clopidogrel,Clopidogrel,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.9937294668586102
984,0,0.07640153094947538,NCT01734044,Purpura; Idiopathic Thrombocytopenic Purpura,Dexamethasone,single treatment group,Phase 3,0,0,0,0,0,,0.0,0,29.0,reliable,0.07640153094947538
985,0,0.05435424218766949,NCT01734785,Type 2 Diabetes,Empagliflozin,Empagliflozin + Linagliptin high dose,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.05435424218766949
986,0,0.005285397014684596,NCT01734928,Multiple Myeloma,Pomalidomide,"Pomalidomide, Bortezomib and Low Dose Dexamethasone",Phase 3,1,1,0,0,0,,0.0,0,24.0,reliable,0.005285397014684596
987,0,0.6191139585286711,NCT01735669,Non-cephalic Presentation; Inhalation of Nitrous Oxide; Pregnancy Complications; Complications; Cesarean Section; Fetus or Neonate Affected by External Version Before Labor,Remifentanil,Remifentanil,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.6191139585286711
988,0,0.019353243874912694,NCT01736514,gout,febuxostat,febuxostat group,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.019353243874912694
989,0,0.013609683513357807,NCT01736514,gout,Allopurinol,allopurinol group,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.013609683513357807
990,0,0.5008393834921506,NCT01736891,Parkinson's Disease,Rasagiline,Rasagiline,Phase 3,0,0,0,0,0,,0.0,0,58.0,low_confidence,0.5008393834921506
991,1,0.2988055172393958,NCT01738178,Parkinson's Disease,Caffeine,Caffeine group,Phase 3,0,0,0,0,0,,0.0,0,58.0,low_confidence,0.2988055172393958
992,1,0.6666149961602692,NCT01738282,alcohol dependence,Baclofen,Baclofen,Phase 3,0,0,0,0,0,,0.0,0,59.0,low_confidence,0.6666149961602692
993,1,0.7703704759389594,NCT01739400,Pulmonary Arterial Hypertension,Macitentan,Macitentan,Phase 3,0,0,0,0,0,,,0,45.0,reliable,0.7703704759389594
994,0,0.3924946683437237,NCT01740427,Advanced Breast Cancer,Palbociclib,PD-0332991 + Letrozole,Phase 3,1,1,0,0,0,,0.0,0,15.0,reliable,0.3924946683437237
995,1,0.7246060172248407,NCT01741155,Patients With Non Small-cell Lung Cancer,Sovatelitide,Randomized Part: SPI-1620 & Docetaxel,Phase 2,1,1,0,0,0,,,0,,unscored,0.7246060172248407
996,0,0.0337532850253456,NCT01743651,Multiple Sclerosis,baclofen,Baclofen,Phase 3,0,0,0,0,0,,0.0,0,50.0,low_confidence,0.0337532850253456
997,0,0.052010008050611976,NCT01743651,Multiple Sclerosis,arbaclofen,Arbaclofen,Phase 3,0,0,0,0,0,,0.0,0,50.0,low_confidence,0.052010008050611976
998,0,0.15401671077379003,NCT01743729,dry eye syndrome,Lifitegrast,Lifitegrast,Phase 3,0,0,0,0,0,,0.0,0,49.0,low_confidence,0.15401671077379003
999,0,0.6529743839788431,NCT01746979,Metastatic or Locally Advanced Unresectable Pancreatic Adenocarcinoma,Evofosfamide,Gemcitabine plus TH-302,Phase 3,1,1,0,1,1,oncology_cytotoxic_monotherapy,0.0,0,15.0,reliable,0.15
1000,0,0.0035197145070463994,NCT01750190,anemia of chronic kidney disease,Roxadustat,Roxadustat,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,29.0,reliable,0.0035197145070463994
1001,0,0.3940665971632399,NCT01754259,"Diabetes, Type I; Diabetes, Type II; Angina; Coronary Artery Disease",Ranolazine,Ranolazine,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.3940665971632399
1002,0,0.003647422989644703,NCT01755156,Type 2 Diabetes Mellitus,Omarigliptin,Omarigliptin (Phase A) → Omarigliptin (Phase B),Phase 3,0,1,0,0,0,,0.0,0,25.0,reliable,0.003647422989644703
1003,0,0.001956223871150257,NCT01755728,PDA,Ibuprofen,Ibuprofen,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.001956223871150257
1004,0,0.005545686757229547,NCT01755728,PDA,Paracetamol,Paracetamol,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.005545686757229547
1005,1,0.41931410269589797,NCT01756053,Nicotine Addiction,Pozanicline,ABT-089,Phase 2,0,0,0,0,0,,0.0,0,59.0,low_confidence,0.41931410269589797
1006,0,0.5837335267067003,NCT01760954,Endometriosis,Elagolix,Elagolix 150 mg QD,Phase 3,0,0,0,0,0,,,0,,unscored,0.5837335267067003
1008,0,0.08588069427071877,NCT01762761,purpura,eltrombopag,Eltrombopag (ETB115),Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,44.0,reliable,0.08588069427071877
1009,0,0.0709510730792116,NCT01763164,Melanoma,Binimetinib,MEK162,Phase 3,1,0,0,0,0,,0.0,0,,unscored,0.0709510730792116
1010,0,0.031025196455647646,NCT01763164,Melanoma,Dacarbazine,Dacarbazine,Phase 3,1,0,0,0,0,,0.0,0,,unscored,0.031025196455647646
1011,0,0.009944530408207081,NCT01763827,Hyperlipidemia,Ezetimibe,Ezetimibe (Q2W),Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,22.0,reliable,0.009944530408207081
1012,0,0.009944530408207081,NCT01763827,Hyperlipidemia,Ezetimibe,Ezetimibe (QM),Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,22.0,reliable,0.009944530408207081
1013,0,0.011074144537027526,NCT01763866,Hyperlipidemia,Ezetimibe,A10 EZE (Q2W),Phase 3,0,1,0,0,0,,,0,22.0,reliable,0.011074144537027526
1014,0,0.011074144537027526,NCT01763866,Hyperlipidemia,Ezetimibe,A10 EZE (QM),Phase 3,0,1,0,0,0,,,0,22.0,reliable,0.011074144537027526
1015,0,0.011074144537027526,NCT01763866,Hyperlipidemia,Ezetimibe,A80 EZE (Q2W),Phase 3,0,1,0,0,0,,,0,22.0,reliable,0.011074144537027526
1016,0,0.011074144537027526,NCT01763866,Hyperlipidemia,Ezetimibe,A80 EZE (QM),Phase 3,0,1,0,0,0,,,0,22.0,reliable,0.011074144537027526
1017,0,0.009944530408207081,NCT01763905,Hyperlipidemia,Ezetimibe,Ezetimibe (Q2W),Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.009944530408207081
1018,0,0.009944530408207081,NCT01763905,Hyperlipidemia,Ezetimibe,Ezetimibe (QM),Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.009944530408207081
1019,0,0.09075237810925377,NCT01765296,Osteoarthritis,Celecoxib,Celecoxib,Phase 3,0,0,0,0,0,,0.0,0,80.0,low_confidence,0.09075237810925377
1021,0,0.01742200244194647,NCT01767519,overactive bladder,solifenacin,solifenacin,Phase 3,0,1,0,0,0,,0.0,0,72.0,low_confidence,0.01742200244194647
1022,1,0.6886812741785792,NCT01773785,Biliary Cancer,Sovatelitide; Docetaxel,SPI-1620 & Docetaxel,Phase 2,1,1,0,0,0,,,0,,unscored,0.6886812741785792
1023,1,0.3219677559294553,NCT01774604,Post-ERCP Acute Pancreatitis,Indomethacin,Indomethacin,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.3219677559294553
1024,0,0.6865576808012681,NCT01774721,NSCLC,Dacomitinib (PF-00299804),Dacomitinib (PF-00299804),Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.6865576808012681
1025,0,0.39954382114491394,NCT01774721,NSCLC,Gefitinib,gefitinib,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.39954382114491394
1026,0,0.11980130704515841,NCT01774838,Acute Coronary Syndrome; Unstable Angina,Prasugrel,Prasugrel,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.11980130704515841
1027,0,0.09310755992996442,NCT01774838,Acute Coronary Syndrome; Unstable Angina,Clopidogrel,Clopidogrel,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.09310755992996442
1028,0,0.17188944368058473,NCT01776424,Prevention & Control,"Rivaroxaban (Xarelto, BAY59-7939)",Rivaroxaban 2.5mg + Aspirin 100mg,Phase 3,0,1,0,0,0,,0.0,0,15.0,reliable,0.17188944368058473
1029,0,0.004705856370674248,NCT01776840,Mantle Cell Lymphoma,Ibrutinib,Treatment Arm B,Phase 3,1,1,0,0,0,,0.0,0,18.0,reliable,0.004705856370674248
1030,1,0.714849640551261,NCT01777256,Systemic Lupus Erythematosus,Solcitinib,GSK2586184 100 mg Arm,Phase 2,0,0,0,0,0,,0.0,0,44.0,reliable,0.714849640551261
1031,0,0.1862619654702658,NCT01778062,COPD,Indacaterol,Indacaterol,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,1.0,0,50.0,low_confidence,0.15
1032,0,0.010854715431426394,NCT01779271,Fever,Pelubiprofen,Pelubiprofen,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.010854715431426394
1033,0,0.012110470317023036,NCT01779271,Fever,Loxoprofen,Loxoprofen,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.012110470317023036
1034,0,0.014666199515266532,NCT01780987,Deep Vein Thrombosis; Pulmonary Embolism,Apixaban,Apixaban,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.014666199515266532
1035,0,0.036203902929708195,NCT01780987,Deep Vein Thrombosis; Pulmonary Embolism,Warfarin,UFH/Warfarin,Phase 3,0,1,0,0,0,,0.0,0,22.0,reliable,0.036203902929708195
1037,0,0.008245450741865237,NCT01787396,Type 2 Diabetes Mellitus,Gemigliptin; Metformin,Arm1,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.008245450741865237
1038,0,0.4495022539939617,NCT01790659,cutaneous Leishmaniasis,Paromomycin,Paromomycin,Phase 3,0,0,0,0,0,,0.0,0,20.0,reliable,0.4495022539939617
1039,0,0.15181948063336587,NCT01790997,Acute Ischemic Stroke,Aspirin,Treatment II,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.15181948063336587
1040,0,0.1793568538379478,NCT01790997,Acute Ischemic Stroke,Clopidogrel,Treatment III,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.1793568538379478
1042,0,0.012028510337346966,NCT01792804,Staphylococcus Aureus Infection,Clindamycin,Orally administered antibiotic [Clindamycin],Phase 3,0,0,0,0,0,,,0,,unscored,0.012028510337346966
1044,0,0.01230952190508313,NCT01792804,Staphylococcus Aureus Infection,Cloxacillin,Intravenously administered antibiotic [Cloxacillin],Phase 3,0,0,0,0,0,,,0,,unscored,0.01230952190508313
1045,0,0.010072356349516915,NCT01792804,Staphylococcus Aureus Infection,Cefazolin,Intravenously administered antibiotic [Cefazolin],Phase 3,0,0,0,0,0,,,0,,unscored,0.010072356349516915
1046,1,0.531897072360375,NCT01793298,Asthma,ASM-024,Healthy Subjects - ASM-024 Repeat Administration,Phase 2,0,0,0,0,0,,0.0,0,50.0,low_confidence,0.531897072360375
1047,0,0.3508492966380449,NCT01793480,Pain Related to Cancer,Methadone,fixed-dose of methadone,Phase 3,1,0,0,0,0,,0.0,0,,unscored,0.3508492966380449
1048,1,0.7695104390872762,NCT01794000,Sickle Cell Disease,Prasugrel,Prasugrel,Phase 3,0,0,0,0,0,,0.0,0,32.0,reliable,0.7695104390872762
