row_idx,y,p,NCT_ID,Disease,Drug_Clean,Arm_Label,Phase,disease_is_oncology,is_combination,is_surrogate_pass,is_onc_cytotoxic_mono,efficacy_surgical_pass,surgical_reason,endpoint_physiology_score,is_offmech,effect_size_uncertainty,confidence_tier,p_adj
242,0,0.369670669315014,NCT01202188,Chronic Obstructive Pulmonary Disease,tiotropium,tiotropium,Phase 3,0,0,0,0,0,,1.0,0,50.0,low_confidence,0.369670669315014
243,0,0.0015513248729254563,NCT01204294,"Diabetes Mellitus, Type 2",Linagliptin,A-GI+Lina,Phase 3,0,0,0,0,0,,0.0,0,19.0,reliable,0.0015513248729254563
244,0,0.003102854110075382,NCT01204294,"Diabetes Mellitus, Type 2",Metformin,SU+Met,Phase 3,0,0,0,0,0,,0.0,0,19.0,reliable,0.003102854110075382
245,0,0.003102854110075382,NCT01204294,"Diabetes Mellitus, Type 2",Metformin,A-GI+Met,Phase 3,0,0,0,0,0,,0.0,0,19.0,reliable,0.003102854110075382
246,0,0.4952921185326559,NCT01204749,Ovarian Cancer,Amg-517,AMG 386,Phase 3,1,1,0,1,1,oncology_cytotoxic_monotherapy,0.0,0,22.0,reliable,0.15
249,1,0.23745307931805884,NCT01205828,Liver Cancer,Veliparib; Temozolomide,Temozolomide and ABT-888 in HCC patients,Phase 2,1,1,0,0,0,,0.0,0,15.0,reliable,0.23745307931805884
250,0,0.02003669483400309,NCT01206010,smoking cessation,Varenicline,Varenicline + Active Tailored Dose,Phase 3,0,0,0,0,0,,0.0,0,59.0,low_confidence,0.02003669483400309
251,0,0.2922987223470499,NCT01208922,Traveler's Diarrhea,Ciprofloxacin,Group B,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.2922987223470499
252,0,0.08379385505159376,NCT01209208,Lymphocytic Colitis,Budesonide,A,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.08379385505159376
253,0,0.08783564525040043,NCT01209208,Lymphocytic Colitis,Mesalamine,B,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.08783564525040043
255,0,0.010468329033059599,NCT01211522,Delirium; Impaired Cognition; Long Term Psychologic Disorders,Haloperidol,Haloperidol,Phase 3,0,0,0,0,0,,0.0,0,18.0,reliable,0.010468329033059599
256,0,0.09023266723218015,NCT01211522,Delirium; Impaired Cognition; Long Term Psychologic Disorders,Ziprasidone,Ziprasidone,Phase 3,0,0,0,0,0,,0.0,0,18.0,reliable,0.09023266723218015
257,0,0.003233366964747951,NCT01212991,Metastatic Prostate Cancer,Enzalutamide,Enzalutamide,Phase 3,1,0,0,0,0,,0.0,0,15.0,reliable,0.003233366964747951
258,0,0.0015513248729254563,NCT01214239,"Diabetes Mellitus, Type 2",Linagliptin,Linagliptin,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,19.0,reliable,0.0015513248729254563
259,0,0.06264237451896816,NCT01214382,Roux en Y Gastric Bypass Surgery,Sertraline,Sertraline,Phase 3,0,0,0,0,0,,0.0,0,42.0,reliable,0.06264237451896816
260,0,0.42810522619858765,NCT01214421,Autosomal Dominant Polycystic Kidney Disease (ADPKD),Tolvaptan,Tolvaptan,Phase 3,0,0,0,0,0,,1.0,0,29.0,reliable,0.42810522619858765
261,0,0.0015513248729254563,NCT01215097,"Diabetes Mellitus, Type 2",Linagliptin,Linagliptin,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,19.0,reliable,0.0015513248729254563
262,1,0.3940665971632399,NCT01215253,Ischemic Cardiomyopathy; Nonischemic Cardiomyopathy; Heart Failure,Ranolazine,Ranolazine,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.3940665971632399
263,0,0.01591579641957452,NCT01216163,Pain,Acetaminophen,Treatment B,Phase 3,0,0,0,0,0,,0.0,0,88.0,low_confidence,0.01591579641957452
264,0,0.012539870030005871,NCT01217892,Type 2 Diabetes,dapagliflozin,1,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.012539870030005871
265,0,0.25383664360209013,NCT01218607,Mild Pulmonary Vascular Disease,Bosentan,Active,Phase 3,0,0,0,0,0,,1.0,0,44.0,reliable,0.25383664360209013
266,0,0.09697548855806024,NCT01222247,Pregnancy; Respiratory Distress Syndrome; Pregnancy Outcomes; Preterm Birth,Betamethasone,Betamethasone,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.09697548855806024
267,0,0.011583698788549798,NCT01222520,Hypertension,amlodipine,Telmisartan and amlodipine FDC,Phase 3,0,1,0,0,0,,0.0,0,25.0,reliable,0.011583698788549798
268,0,0.004523902185411663,NCT01223352,pulmonary arterial hypertension,bosentan,Bosentan 2 mg/Kg b.i.d.,Phase 3,0,0,0,0,0,,0.0,0,45.0,reliable,0.004523902185411663
269,0,0.0064697178750914314,NCT01224366,Type 2 Diabetes Mellitus,Vildagliptin,Vildagliptin,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.0064697178750914314
270,0,0.06155625351755871,NCT01225081,Type 2 Diabetes Mellitus,ipragliflozin,ASP group,Phase 3,0,1,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.06155625351755871
271,0,0.2667157584971564,NCT01226511,"Anxiety Neuroses; Anxiety States, Neurotic; Neuroses, Anxiety",Duloxetine,Duloxetine,Phase 3,0,0,0,0,0,,0.0,0,78.0,low_confidence,0.2667157584971564
272,1,0.42810522619858765,NCT01227512,Hyponatremia; Dilutional Hyponatremia; Inappropriate ADH Syndrome,tolvaptan,Tolvaptan 15-60mg,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.42810522619858765
273,0,0.6018454015515007,NCT01227655,Parkinson's Disease,BIA 9-1067,BIA 9-1067 25 mg once daily (QD).,Phase 3,0,1,0,0,0,,0.0,0,58.0,low_confidence,0.6018454015515007
276,0,0.4792557622645822,NCT01228747,Epilepsy; Generalized Tonic-Clonic Seizures,Levetiracetam,Levetiracetam,Phase 3,0,0,0,0,0,,0.0,0,44.0,reliable,0.4792557622645822
277,0,0.22774563682765375,NCT01229774,Coxarthrosis; Arthroplasties Hip Replacement; Perioperative Blood Loss,Etoricoxib,Etoricoxib,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.22774563682765375
278,0,0.1572906645538465,NCT01229774,Coxarthrosis; Arthroplasties Hip Replacement; Perioperative Blood Loss,Diclofenac,Diclofenac,Phase 3,0,0,0,0,0,,0.0,0,22.0,reliable,0.1572906645538465
279,0,0.41877939875672665,NCT01231347,Adenocarcinoma of the Pancreas; Advanced Solid Tumors; Cancer; Cancer of Pancreas; Cancer of the Pancreas; Metastases; Metastatic Cancer; Metastatic Pancreatic Cancer; Pancreas Cancer; Pancreatic Cancer; Bone Metastases; Endocrine Cancer; Oncology; Oncology Patients; Solid Tumors; Advanced Malignancy,Amg-517,AMG 479 12 mg/kg dose + gemcitabine,Phase 3,1,1,0,1,1,oncology_cytotoxic_monotherapy,0.0,0,15.0,reliable,0.15
284,0,0.01432423580362679,NCT01232283,plaque psoriasis,Apremilast,Apremilast,Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,45.0,reliable,0.01432423580362679
285,0,0.02294876178790749,NCT01232894,chronic obstructive pulmonary disease,Indacaterol,Indacaterol,Phase 3,0,0,0,0,0,,0.0,0,50.0,low_confidence,0.02294876178790749
286,0,0.0064697178750914314,NCT01233622,Type 2 Diabetes Mellitus,Vildagliptin,Vildagliptin (metformin + glimepiride),Phase 3,0,0,1,0,1,endpoint_surrogate_pass,0.0,0,25.0,reliable,0.0064697178750914314
287,0,0.24059614745124686,NCT01234337,Breast Cancer,"Sorafenib (Nexavar, BAY43-9006)","Sorafenib (Nexavar, BAY43-9006) + Capecitabine",Phase 3,1,1,0,1,1,oncology_cytotoxic_monotherapy,0.0,0,22.0,reliable,0.15
288,0,0.011345333216327826,NCT01235637,Procedural Pain,Alfentanil,Alfentanil,Phase 3,0,0,0,0,0,,0.0,0,81.0,low_confidence,0.011345333216327826
289,0,0.25962643731236174,NCT01236365,Type 1 Diabetes,Atorvastatin,Atorvastatin,Phase 3,0,0,0,0,0,,0.0,0,25.0,reliable,0.25962643731236174
290,1,0.9700879481737626,NCT01237587,Fibromyalgia,Duloxetine,Duloxetine,Phase 3,0,0,0,0,0,,0.0,0,90.0,low_confidence,0.9700879481737626
291,0,0.5501560568453698,NCT01237678,Patients With Advanced Solid Tumors and Extensive Stage Small Cell Lung Cancer,Carboplatin; Etoposide,Carboplatin and Etoposide,Phase 2,1,1,0,0,0,,,0,,unscored,0.5501560568453698
292,0,0.00252937834417379,NCT01239797,Multiple Myeloma,Dexamethasone,Lenalidomide + Dexamethasone,Phase 3,1,1,0,0,0,,,0,24.0,reliable,0.00252937834417379
294,0,0.02466853898586559,NCT01243177,epilepsy,Lacosamide,Lacosamide,Phase 3,0,0,0,0,0,,0.0,0,48.0,reliable,0.02466853898586559
295,0,0.003063108513458055,NCT01243424,Type 2 Diabetes,linagliptin,linagliptin,Phase 3,0,0,0,0,0,,0.0,0,25.0,reliable,0.003063108513458055
296,0,0.008595867867404048,NCT01243424,Type 2 Diabetes,glimepiride,glimepiride 1-4 mg QD,Phase 3,0,0,0,0,0,,0.0,0,25.0,reliable,0.008595867867404048
297,0,0.2775476671736435,NCT01243476,Myelodysplastic Syndrome,Lenalidomide,lenalidomide,Phase 3,0,0,0,0,0,,0.0,0,18.0,reliable,0.2775476671736435
298,0,0.38995443610409314,NCT01244815,Pediatric Bipolar Disorder,asenapine,Asenapine 10.0 mg BID,Phase 3,0,0,0,0,0,,0.0,0,78.0,low_confidence,0.38995443610409314
299,0,0.288851139237906,NCT01244828,schizophrenia,Asenapine,Asenapine,Phase 3,0,0,0,0,0,,0.0,0,70.0,low_confidence,0.288851139237906
301,0,0.07640153094947538,NCT01248585,Bone Metastases,Dexamethasone,Dexamethasone,Phase 3,0,0,0,0,0,,0.0,0,15.0,reliable,0.07640153094947538
302,1,0.8335787364266313,NCT01251354,Endometrial Cancer,Irosustat,BN83495,Phase 2,1,0,0,0,0,,0.0,0,15.0,reliable,0.8335787364266313
303,0,0.32881126244920356,NCT01251393,cocaine dependence,Biperiden,Biperiden,Phase 3,0,0,0,0,0,,0.0,0,59.0,low_confidence,0.32881126244920356
304,0,0.5132946751144793,NCT01251614,Plaque Psoriasis,Methotrexate,Methotrexate,Phase 3,0,0,0,0,0,,0.0,0,45.0,reliable,0.5132946751144793
305,0,0.011470901763279348,NCT01251822,constipation,Prucalopride,Prucalopride,Phase 3,0,0,0,0,0,,0.0,0,75.0,low_confidence,0.011470901763279348
306,0,0.08621441094405419,NCT01254188,Chronic Myeloid Leukemia,Nilotinib,Nilotinib,Phase 3,1,0,0,0,0,,0.0,0,18.0,reliable,0.08621441094405419
307,0,0.08849580994967826,NCT01254344,Infection; Surgical Site Infection,ertapenem sodium,Ertapenem sodium 1 g,Phase 3,0,0,0,0,0,,0.0,0,20.0,reliable,0.08849580994967826
